popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
6.1964,5.11013,6.1964,5.66213,6.73066,5.94437,5.93163,5.94437,5.41011,6.47863,All
6.2468,5.08953,6.2468,5.71254,6.78107,6.04581,6.02855,6.04581,5.51154,6.58007,All
6.25884,5.0855,6.25884,5.72458,6.7931,6.18951,6.18627,6.18951,5.65524,6.72377,All
6.30028,5.07162,6.30028,5.76602,6.83454,6.23476,6.23725,6.23476,5.7005,6.76902,All
6.32191,5.06438,6.32191,5.78765,6.85617,6.33321,6.33613,6.33321,5.79894,6.86747,All
6.35376,5.05372,6.35376,5.81949,6.88802,6.4769,6.47594,6.4769,5.94264,7.01117,All
6.38562,5.04306,6.38562,5.85135,6.91988,6.53934,6.53847,6.53934,6.00508,7.0736,All
6.40723,5.03582,6.40723,5.87297,6.9415,6.6206,6.62037,6.6206,6.08634,7.15487,All
6.44997,5.0573,6.44997,5.9157,6.98423,6.7643,6.76739,6.7643,6.23004,7.29857,All
6.46071,5.06547,6.46071,5.92645,6.99497,6.8588,6.86679,6.8588,6.32454,7.39306,All
6.51419,5.10611,6.51419,5.97992,7.04845,6.908,6.91939,6.908,6.37374,7.44227,All
6.51496,5.1067,6.51496,5.9807,7.04923,7.0517,7.07555,7.0517,6.51744,7.58597,All
6.56766,5.14675,6.56766,6.0334,7.10193,7.19386,7.23179,7.19386,6.6596,7.72813,All
6.58062,5.15659,6.58062,6.04635,7.11488,7.1954,7.23347,7.1954,6.66114,7.72966,All
6.62114,5.16761,6.62114,6.08688,7.1554,7.3391,7.38693,7.3391,6.80484,7.87336,All
6.64693,5.17399,6.64693,6.11267,7.18119,7.4828,7.52825,7.4828,6.94854,8.01706,All
6.67462,5.18084,6.67462,6.14035,7.20888,7.5453,7.58407,7.5453,7.01103,8.07956,All
6.71391,5.19056,6.71391,6.17965,7.24818,7.6265,7.64991,7.6265,7.09224,8.16076,All
6.72809,5.11489,6.72809,6.19383,7.26236,7.7702,7.74389,7.7702,7.23594,8.30446,All
6.78157,5.24899,6.78157,6.24731,7.31583,7.9139,7.80358,7.9139,7.37964,8.44816,All
