popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
6.27781,5.99123,6.27781,5.42644,7.12918,6.44967,6.55284,6.44967,5.59263,7.3067,All
6.29238,6.00999,6.29238,5.44053,7.14423,6.52959,6.6194,6.52959,5.66991,7.38926,All
6.35342,6.08585,6.35342,5.49956,7.20729,6.65653,6.76776,6.65653,5.79267,7.52039,All
6.35628,6.08941,6.35628,5.50232,7.21023,6.7188,6.85211,6.7188,5.85289,7.58471,All
6.41447,6.15854,6.41447,5.55859,7.27034,6.78347,6.91413,6.78347,5.91542,7.65151,All
6.43572,6.17591,6.43572,5.57914,7.2923,6.91041,7.0274,6.91041,6.03818,7.78264,All
6.47551,6.17922,6.47551,5.61762,7.3334,6.99916,7.13023,6.99916,6.12401,7.87432,All
6.51615,6.13828,6.51615,5.65692,7.37538,7.03735,7.16584,7.03735,6.16093,7.91376,All
6.53655,6.13881,6.53655,5.67665,7.39645,7.16429,7.26646,7.16429,6.28369,8.04489,All
6.5976,6.31148,6.5976,5.73568,7.45951,7.29123,7.45906,7.29123,6.40644,8.17601,All
