rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,lk_simulated,lae_simulated,lw_simulated,dE_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,data,split,color,filter
7,39,-11.0732,-0.133947,2.58606,-0.0104701,-4.41522,-0.0227319,-2.99573,0,-4.73569,0.00466563,4.6,0,-0.105361,0,-3.11852,0.844804,thai,All,#4682B4,0
8,39,-10.5016,0.437687,2.56738,-0.0291513,-4.41951,-0.0270299,-2.99573,0,-4.73748,0.0028811,4.6,0,-0.105361,0,-3.08713,0.876199,thai,All,#4682B4,0
9,39,-15.1633,-4.22404,2.59662,8.77495e-05,-4.40644,-0.0139555,-2.99573,0,-4.7511,-0.0107373,4.6,0,-0.105361,0,-2.84938,1.11395,thai,All,#4682B4,0
10,39,-11.2249,-0.28561,2.62051,0.0239841,-4.39238,9.97472e-05,-2.99573,0,-4.74348,-0.00312107,4.6,0,-0.105361,0,-2.92628,1.03705,thai,All,#4682B4,0
1,40,-12.6117,-1.67241,2.60314,0.00661169,-4.44854,-0.0560573,-2.99573,0,-4.73809,0.00226602,4.6,0,-0.105361,0,-3.88437,0.0789541,thai,All,#4682B4,0
2,40,-12.2051,-1.26587,2.60267,0.00614174,-4.39249,-9.50205e-06,-2.99573,0,-4.74907,-0.0087119,4.6,0,-0.105361,0,-3.63179,0.331539,thai,All,#4682B4,0
3,40,-13.9307,-2.99147,2.55838,-0.0381534,-4.35979,0.0326941,-2.99573,0,-4.73214,0.00822322,4.6,0,-0.105361,0,-4.00937,-0.0460432,thai,All,#4682B4,0
4,40,-14.5259,-3.58665,2.59055,-0.00598086,-4.38556,0.00692118,-2.99573,0,-4.74393,-0.003568,4.6,0,-0.105361,0,-3.40107,0.562262,thai,All,#4682B4,0
5,40,-13.0477,-2.10843,2.58319,-0.0133408,-4.38426,0.00821863,-2.99573,0,-4.73046,0.00990133,4.6,0,-0.105361,0,-3.56215,0.401177,thai,All,#4682B4,0
6,40,-12.2779,-1.33861,2.62629,0.0297616,-4.38233,0.0101561,-2.99573,0,-4.73547,0.00489303,4.6,0,-0.105361,0,-3.86377,0.0995588,thai,All,#4682B4,0
7,40,-15.4531,-4.51379,2.5877,-0.00883293,-4.3284,0.06408,-2.99573,0,-4.743,-0.00263821,4.6,0,-0.105361,0,-3.78037,0.182959,thai,All,#4682B4,0
8,40,-15.8675,-4.92827,2.5893,-0.00723284,-4.38192,0.0105665,-2.99573,0,-4.75176,-0.0113958,4.6,0,-0.105361,0,-3.40775,0.555573,thai,All,#4682B4,0
9,40,-13.0129,-2.07364,2.59615,-0.000378236,-4.38639,0.00609566,-2.99573,0,-4.73532,0.00503961,4.6,0,-0.105361,0,-4.10588,-0.142552,thai,All,#4682B4,0
10,40,-11.1968,-0.257575,2.57942,-0.0171116,-4.41634,-0.0238584,-2.99573,0,-4.73954,0.00082448,4.6,0,-0.105361,0,-3.9222,0.0411315,thai,All,#4682B4,0
1,41,-8.75859,2.18067,2.5952,-0.001333,-4.42377,-0.0312817,-2.99573,0,-4.73395,0.00641263,4.6,0,-0.105361,0,-3.74312,0.220209,thai,All,#4682B4,0
2,41,-7.97815,2.96111,2.58551,-0.0110229,-4.41211,-0.0196265,-2.99573,0,-4.72874,0.0116253,4.6,0,-0.105361,0,-4.12979,-0.166461,thai,All,#4682B4,0
3,41,-7.20995,3.72931,2.60333,0.00679605,-4.40963,-0.0171496,-2.99573,0,-4.74881,-0.00845185,4.6,0,-0.105361,0,-4.33956,-0.376231,thai,All,#4682B4,0
4,41,-6.51124,4.42802,2.60401,0.00748516,-4.45874,-0.0662598,-2.99573,0,-4.72634,0.0140202,4.6,0,-0.105361,0,-4.48278,-0.519451,thai,All,#4682B4,0
5,41,-8.85516,2.08411,2.60362,0.00709051,-4.39147,0.00101107,-2.99573,0,-4.74296,-0.00259678,4.6,0,-0.105361,0,-4.15006,-0.186731,thai,All,#4682B4,0
6,41,-8.32504,2.61423,2.58078,-0.0157452,-4.38989,0.00259509,-2.99573,0,-4.72925,0.0111133,4.6,0,-0.105361,0,-4.63639,-0.67306,thai,All,#4682B4,0
7,41,-9.76563,1.17363,2.58964,-0.00689014,-4.42772,-0.0352335,-2.99573,0,-4.74399,-0.00362896,4.6,0,-0.105361,0,-3.96455,-0.00122084,thai,All,#4682B4,0
8,41,-8.73573,2.20354,2.60222,0.0056952,-4.36183,0.030651,-2.99573,0,-4.73265,0.00771179,4.6,0,-0.105361,0,-3.81985,0.14348,thai,All,#4682B4,0
9,41,-7.68593,3.25333,2.59711,0.000583212,-4.39533,-0.00285137,-2.99573,0,-4.7256,0.0147623,4.6,0,-0.105361,0,-3.79853,0.1648,thai,All,#4682B4,0
10,41,-8.30263,2.63664,2.59952,0.0029933,-4.38391,0.00857214,-2.99573,0,-4.73772,0.00263686,4.6,0,-0.105361,0,-3.40838,0.554952,thai,All,#4682B4,0
1,42,-7.90911,3.03015,2.6101,0.0135692,-4.40245,-0.00996307,-2.99573,0,-4.7295,0.0108614,4.6,0,-0.105361,0,-3.73995,0.22338,thai,All,#4682B4,0
2,42,-9.08708,1.85219,2.60045,0.00392337,-4.40866,-0.0161778,-2.99573,0,-4.73905,0.00131081,4.6,0,-0.105361,0,-3.65495,0.308378,thai,All,#4682B4,0
3,42,-9.9489,0.990366,2.62189,0.0253635,-4.38068,0.0118015,-2.99573,0,-4.74098,-0.000618118,4.6,0,-0.105361,0,-4.40951,-0.446183,thai,All,#4682B4,0
