initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-13.0312,0.152941,15.0072,0.15098,0.00858913,0.15098,-4.94872,0.15098,-5.33407,0.15098,-0.883354,0.15098,2.68515,0.152941,0.0368347,0.15098,All
-13.0123,0.154902,15.0085,0.152941,0.00859146,0.152941,-4.94858,0.152941,-5.33179,0.152941,-0.876423,0.152941,2.68918,0.154902,0.0371059,0.152941,All
-13.0091,0.156863,15.0087,0.154902,0.00859175,0.154902,-4.94847,0.154902,-5.3272,0.154902,-0.872817,0.154902,2.69313,0.156863,0.0373512,0.154902,All
-13.0056,0.158824,15.0092,0.156863,0.00859293,0.156863,-4.94846,0.156863,-5.32145,0.156863,-0.859925,0.156863,2.69323,0.158824,0.0373536,0.156863,All
-12.9995,0.160784,15.0121,0.158824,0.00859917,0.158824,-4.94845,0.158824,-5.31765,0.158824,-0.857213,0.158824,2.70041,0.160784,0.03739,0.158824,All
-12.9894,0.162745,15.0138,0.160784,0.00859933,0.160784,-4.94829,0.160784,-5.31008,0.160784,-0.857019,0.160784,2.70507,0.162745,0.0382393,0.160784,All
-12.9771,0.164706,15.0168,0.162745,0.00859979,0.162745,-4.94828,0.162745,-5.30797,0.162745,-0.856552,0.162745,2.70826,0.164706,0.0383421,0.162745,All
-12.9688,0.166667,15.0225,0.164706,0.00860037,0.164706,-4.94827,0.164706,-5.30712,0.164706,-0.854674,0.164706,2.71668,0.166667,0.0396206,0.164706,All
-12.9321,0.168627,15.026,0.166667,0.00860319,0.166667,-4.94824,0.166667,-5.30603,0.166667,-0.854381,0.166667,2.73473,0.168627,0.0398758,0.166667,All
-12.8956,0.170588,15.026,0.168627,0.00860629,0.168627,-4.94823,0.168627,-5.29823,0.168627,-0.835327,0.168627,2.73596,0.170588,0.0399931,0.168627,All
-12.8825,0.172549,15.0297,0.170588,0.00861002,0.170588,-4.94816,0.170588,-5.29095,0.170588,-0.830947,0.170588,2.74339,0.172549,0.0401173,0.170588,All
-12.8495,0.17451,15.0331,0.172549,0.0086111,0.172549,-4.94794,0.172549,-5.28543,0.172549,-0.830351,0.172549,2.75908,0.17451,0.0402756,0.172549,All
-12.8457,0.176471,15.0333,0.17451,0.00861116,0.17451,-4.9478,0.17451,-5.27834,0.17451,-0.828695,0.17451,2.75975,0.176471,0.0403476,0.17451,All
-12.8265,0.178431,15.0334,0.176471,0.00861133,0.176471,-4.94778,0.176471,-5.26517,0.176471,-0.825909,0.176471,2.76404,0.178431,0.0406432,0.176471,All
-12.789,0.180392,15.034,0.178431,0.00861239,0.178431,-4.94771,0.178431,-5.2645,0.178431,-0.825328,0.178431,2.76646,0.180392,0.0411543,0.178431,All
-12.7852,0.182353,15.0357,0.180392,0.00861519,0.180392,-4.94766,0.180392,-5.26312,0.180392,-0.819441,0.180392,2.76741,0.182353,0.041652,0.180392,All
-12.7499,0.184314,15.0367,0.182353,0.00861587,0.182353,-4.94763,0.182353,-5.26253,0.182353,-0.818627,0.182353,2.775,0.184314,0.0416687,0.182353,All
-12.7353,0.186275,15.0387,0.184314,0.00861598,0.184314,-4.94749,0.184314,-5.26148,0.184314,-0.816614,0.184314,2.77703,0.186275,0.0417795,0.184314,All
-12.7327,0.188235,15.0422,0.186275,0.00862005,0.186275,-4.94747,0.186275,-5.25106,0.186275,-0.812375,0.186275,2.78105,0.188235,0.0417815,0.186275,All
-12.7066,0.190196,15.0433,0.188235,0.00862172,0.188235,-4.94734,0.188235,-5.25038,0.188235,-0.811297,0.188235,2.78644,0.190196,0.0420485,0.188235,All
-12.686,0.192157,15.0463,0.190196,0.00862267,0.190196,-4.94719,0.190196,-5.246,0.190196,-0.811158,0.190196,2.7912,0.192157,0.0420774,0.190196,All
-12.6807,0.194118,15.0466,0.192157,0.00862433,0.192157,-4.94716,0.192157,-5.24499,0.192157,-0.80617,0.192157,2.79429,0.194118,0.0421031,0.192157,All
-12.621,0.196078,15.0512,0.194118,0.00862747,0.194118,-4.94714,0.194118,-5.24337,0.194118,-0.80487,0.194118,2.80304,0.196078,0.0426408,0.194118,All
-12.6076,0.198039,15.0528,0.196078,0.0086276,0.196078,-4.94706,0.196078,-5.24216,0.196078,-0.799957,0.196078,2.81232,0.198039,0.0428692,0.196078,All
-12.584,0.2,15.054,0.198039,0.00863237,0.198039,-4.94693,0.198039,-5.23576,0.198039,-0.796361,0.198039,2.81624,0.2,0.0447062,0.198039,All
-12.579,0.201961,15.0543,0.2,0.00863356,0.2,-4.94691,0.2,-5.23352,0.2,-0.795619,0.2,2.81877,0.201961,0.0448313,0.2,All
-12.5369,0.203922,15.0552,0.201961,0.00863406,0.201961,-4.94688,0.201961,-5.23056,0.201961,-0.790795,0.201961,2.82445,0.203922,0.045342,0.201961,All
-12.4932,0.205882,15.0557,0.203922,0.0086353,0.203922,-4.94685,0.203922,-5.22934,0.203922,-0.788892,0.203922,2.8261,0.205882,0.0456166,0.203922,All
-12.492,0.207843,15.0561,0.205882,0.00863593,0.205882,-4.94684,0.205882,-5.22647,0.205882,-0.78861,0.205882,2.82743,0.207843,0.0457354,0.205882,All
-12.4408,0.209804,15.0563,0.207843,0.00863881,0.207843,-4.9466,0.207843,-5.21584,0.207843,-0.785267,0.207843,2.83593,0.209804,0.0462292,0.207843,All
-12.4346,0.211765,15.0626,0.209804,0.00864075,0.209804,-4.94651,0.209804,-5.20828,0.209804,-0.784436,0.209804,2.83888,0.211765,0.0463914,0.209804,All
-12.3881,0.213725,15.0672,0.211765,0.00864592,0.211765,-4.94647,0.211765,-5.20647,0.211765,-0.780585,0.211765,2.83905,0.213725,0.0467299,0.211765,All
-12.3657,0.215686,15.0707,0.213725,0.00865415,0.213725,-4.94644,0.213725,-5.19677,0.213725,-0.779644,0.213725,2.84825,0.215686,0.0471865,0.213725,All
-12.354,0.217647,15.0714,0.215686,0.0086577,0.215686,-4.94635,0.215686,-5.18965,0.215686,-0.777295,0.215686,2.85711,0.217647,0.0473634,0.215686,All
-12.3497,0.219608,15.0737,0.217647,0.00865886,0.217647,-4.94634,0.217647,-5.18778,0.217647,-0.775432,0.217647,2.86155,0.219608,0.0473826,0.217647,All
-12.3428,0.221569,15.0749,0.219608,0.00866965,0.219608,-4.94628,0.219608,-5.17802,0.219608,-0.775417,0.219608,2.86633,0.221569,0.0483461,0.219608,All
-12.3332,0.223529,15.0763,0.221569,0.00867326,0.221569,-4.94627,0.221569,-5.1774,0.221569,-0.774247,0.221569,2.87467,0.223529,0.0484356,0.221569,All
-12.3216,0.22549,15.0775,0.223529,0.00867367,0.223529,-4.94625,0.223529,-5.17048,0.223529,-0.76684,0.223529,2.87902,0.22549,0.0485094,0.223529,All
-12.1994,0.227451,15.0832,0.22549,0.00867412,0.22549,-4.9461,0.22549,-5.16989,0.22549,-0.761363,0.22549,2.88063,0.227451,0.0500061,0.22549,All
-12.1626,0.229412,15.0835,0.227451,0.00867656,0.227451,-4.946,0.227451,-5.15902,0.227451,-0.758167,0.227451,2.88259,0.229412,0.0506089,0.227451,All
-12.1412,0.231373,15.0897,0.229412,0.00867942,0.229412,-4.94596,0.229412,-5.15845,0.229412,-0.754339,0.229412,2.88331,0.231373,0.0509388,0.229412,All
-12.1286,0.233333,15.0908,0.231373,0.00868816,0.231373,-4.94593,0.231373,-5.15644,0.231373,-0.753856,0.231373,2.885,0.233333,0.0511903,0.231373,All
-12.1193,0.235294,15.0914,0.233333,0.00869024,0.233333,-4.94593,0.233333,-5.15624,0.233333,-0.753356,0.233333,2.88734,0.235294,0.0516133,0.233333,All
-12.0847,0.237255,15.0931,0.235294,0.00869039,0.235294,-4.94591,0.235294,-5.15604,0.235294,-0.751258,0.235294,2.88813,0.237255,0.051925,0.235294,All
-12.083,0.239216,15.0933,0.237255,0.00869282,0.237255,-4.94584,0.237255,-5.15514,0.237255,-0.750854,0.237255,2.89043,0.239216,0.0529257,0.237255,All
-12.0815,0.241176,15.0938,0.239216,0.0086959,0.239216,-4.94583,0.239216,-5.15497,0.239216,-0.746667,0.239216,2.89377,0.241176,0.0535223,0.239216,All
-12.0776,0.243137,15.095,0.241176,0.00869664,0.241176,-4.94566,0.241176,-5.15447,0.241176,-0.745439,0.241176,2.89591,0.243137,0.0536286,0.241176,All
-12.0317,0.245098,15.0971,0.243137,0.0086967,0.243137,-4.94562,0.243137,-5.1529,0.243137,-0.743649,0.243137,2.89672,0.245098,0.0538865,0.243137,All
-11.9752,0.247059,15.0987,0.245098,0.00869708,0.245098,-4.94559,0.245098,-5.14895,0.245098,-0.741376,0.245098,2.9046,0.247059,0.0539037,0.245098,All
-11.9638,0.24902,15.1,0.247059,0.00869934,0.247059,-4.94554,0.247059,-5.14865,0.247059,-0.739644,0.247059,2.90473,0.24902,0.0541041,0.247059,All
-11.9219,0.25098,15.1004,0.24902,0.00870119,0.24902,-4.94549,0.24902,-5.14721,0.24902,-0.73589,0.24902,2.90814,0.25098,0.0541479,0.24902,All
-11.92,0.252941,15.1027,0.25098,0.00870419,0.25098,-4.94548,0.25098,-5.14636,0.25098,-0.734413,0.25098,2.9184,0.252941,0.0550499,0.25098,All
-11.9137,0.254902,15.104,0.252941,0.00870496,0.252941,-4.94542,0.252941,-5.14612,0.252941,-0.733864,0.252941,2.92002,0.254902,0.0565566,0.252941,All
-11.8927,0.256863,15.1042,0.254902,0.00870892,0.254902,-4.94537,0.254902,-5.14359,0.254902,-0.733223,0.254902,2.92533,0.256863,0.0571853,0.254902,All
