iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
286,913.907,1,0.335254,0.758183,0.565168,0.977827,-0.199184,-0.792086,1.40823,0.000890688,-14.3417,-4.47796,0.0992808,0.254728,0.501871,1.29498,7.00379,0.561921,0.515438
287,911.923,1,0.338474,0.760535,0.545371,0.978355,-0.233006,-0.827892,1.40538,0.000920885,-14.5776,-4.47283,0.098014,0.248279,0.489164,1.28132,7.06415,0.559157,0.522486
288,910.511,1,0.335809,0.754992,0.614169,0.975392,-0.252196,-0.793977,1.3722,0.000929506,-14.8606,-4.47384,0.0988005,0.243154,0.494761,1.29066,7.00727,0.563251,0.515392
289,909.509,1,0.338093,0.7562,0.604645,0.976369,-0.272283,-0.828593,1.38432,0.000904809,-14.9437,-4.47908,0.0975142,0.24531,0.507443,1.28958,6.92599,0.552763,0.518387
290,915.985,1,0.339333,0.741114,0.654486,0.976105,-0.396148,-0.857733,1.3566,0.000853849,-14.8478,-4.49224,0.100826,0.24488,0.533751,1.3047,6.85651,0.555267,0.54056
291,904.606,1,0.335036,0.738801,0.667987,0.974853,-0.429591,-0.868103,1.36223,0.00085844,-15.0959,-4.49144,0.0983879,0.25057,0.523853,1.30577,7.1967,0.551961,0.551835
292,904.242,1,0.333831,0.750804,0.668281,0.974839,-0.404172,-0.86828,1.36322,0.000844292,-15.1572,-4.49796,0.0990338,0.262329,0.532121,1.29852,7.30931,0.550795,0.559469
293,935.037,1,0.342372,0.741144,0.674053,0.976682,-0.406856,-0.858629,1.36114,0.000849115,-15.2519,-4.49706,0.0996889,0.255687,0.541743,1.29812,7.45438,0.546753,0.557268
294,919.225,1,0.336711,0.74772,0.705636,0.978051,-0.41135,-0.833266,1.39441,0.00083535,-15.2473,-4.50168,0.0981396,0.252247,0.539574,1.29839,7.72525,0.549202,0.56223
295,921.422,1,0.337193,0.751083,0.682385,0.977975,-0.392198,-0.839173,1.3906,0.000828585,-15.0525,-4.50669,0.0958984,0.25488,0.543256,1.31331,7.64403,0.55423,0.547994
296,915.334,1,0.337606,0.75015,0.691089,0.977424,-0.426403,-0.850082,1.40055,0.000828544,-14.9263,-4.51728,0.0969235,0.26601,0.530314,1.28963,7.54697,0.540196,0.534119
297,922.313,1,0.337102,0.742367,0.710931,0.975915,-0.417605,-0.831996,1.40271,0.000800021,-15.0327,-4.52589,0.0978504,0.271647,0.529351,1.29519,7.55001,0.53959,0.539988
298,916.785,1,0.338761,0.747559,0.734416,0.97928,-0.431343,-0.834078,1.41469,0.000808887,-14.8646,-4.52076,0.0969799,0.269799,0.54421,1.31507,7.35884,0.538913,0.56194
299,924.569,1,0.345133,0.754085,0.697098,0.980555,-0.417554,-0.853615,1.41771,0.000794799,-14.8666,-4.53415,0.094088,0.262968,0.530802,1.28177,7.20742,0.5302,0.549531
300,906.4,1,0.342511,0.760397,0.711029,0.979941,-0.446872,-0.855605,1.43857,0.000796735,-15.0395,-4.5352,0.0949226,0.256309,0.517362,1.27347,7.25619,0.529908,0.535617
301,923.897,1,0.345273,0.764534,0.668677,0.980078,-0.402895,-0.85593,1.45845,0.000796783,-15.3708,-4.53525,0.0943339,0.256665,0.504262,1.27348,7.73331,0.531356,0.522055
302,900.798,1,0.337983,0.770794,0.645087,0.981219,-0.341243,-0.858444,1.46179,0.000799244,-15.2743,-4.53542,0.0944595,0.253349,0.502764,1.28755,7.96191,0.537754,0.542961
303,935.334,1,0.343733,0.764824,0.666351,0.980581,-0.362366,-0.861154,1.46237,0.000794477,-15.4469,-4.53086,0.0942404,0.25737,0.507782,1.29152,8.3589,0.538543,0.588569
304,901.119,1,0.336937,0.759085,0.659983,0.981227,-0.394459,-0.86102,1.44286,0.000777488,-15.1284,-4.53709,0.0956926,0.250854,0.498716,1.29157,8.14724,0.539437,0.583259
305,919.416,1,0.340792,0.758975,0.640354,0.980879,-0.352409,-0.847974,1.42499,0.000765924,-14.8233,-4.54006,0.0974491,0.246907,0.503897,1.27648,7.94095,0.542423,0.578855
306,904.586,1,0.33847,0.756663,0.635905,0.98239,-0.332134,-0.84625,1.40232,0.000799161,-14.761,-4.52488,0.0956184,0.262541,0.505482,1.28605,7.73988,0.546366,0.564198
307,884.139,1,0.332387,0.752042,0.644718,0.980628,-0.35979,-0.862659,1.39998,0.00080945,-15.0278,-4.52293,0.0961053,0.269298,0.50985,1.28844,7.5439,0.550187,0.549913
308,903.148,1,0.336139,0.750275,0.641497,0.980638,-0.36843,-0.842583,1.41985,0.000831395,-14.9814,-4.51137,0.0969148,0.262479,0.496941,1.33643,7.35289,0.566813,0.535989
309,904.219,1,0.334969,0.743651,0.58957,0.980832,-0.369774,-0.84993,1.43108,0.000818539,-15.038,-4.52183,0.0983779,0.255833,0.484358,1.30259,7.30225,0.553924,0.558384
310,904.5,1,0.334429,0.750604,0.622765,0.979362,-0.382234,-0.848727,1.44092,0.000799583,-15.0627,-4.52676,0.0975052,0.256078,0.490349,1.28928,7.36899,0.553516,0.559581
311,923.003,1,0.343423,0.75047,0.658108,0.97933,-0.431135,-0.85809,1.45565,0.000799292,-14.6266,-4.52552,0.0940991,0.252736,0.478483,1.28168,7.18241,0.550547,0.555926
312,907.488,1,0.344036,0.753929,0.691727,0.978607,-0.423515,-0.875816,1.45134,0.000777697,-14.8116,-4.53494,0.0934181,0.253843,0.493369,1.24923,7.26274,0.536607,0.559875
313,895.495,1,0.336814,0.754876,0.667485,0.975097,-0.385829,-0.870195,1.4599,0.000756189,-14.9222,-4.54612,0.0951905,0.247415,0.519226,1.2176,7.43728,0.528426,0.578905
314,876.202,1,0.333672,0.750805,0.678297,0.977563,-0.41162,-0.8807,1.45787,0.000765735,-15.2478,-4.54046,0.0920164,0.243035,0.515946,1.23529,7.49393,0.541284,0.572706
315,886.176,1,0.333724,0.747751,0.664201,0.979125,-0.393367,-0.863806,1.47671,0.000768781,-15.1817,-4.53377,0.0922836,0.248886,0.511884,1.24329,7.30418,0.546333,0.58084
316,896.434,1,0.336315,0.750866,0.666558,0.97836,-0.384405,-0.870081,1.46379,0.000779287,-15.1187,-4.53429,0.0942048,0.261177,0.51204,1.24613,7.32434,0.549896,0.572213
317,910.926,1,0.337155,0.747719,0.674274,0.9788,-0.420638,-0.853982,1.44587,0.000781267,-15.002,-4.5329,0.0950626,0.26496,0.514825,1.24883,7.13888,0.551528,0.581276
318,906.761,1,0.337286,0.748055,0.694684,0.9806,-0.447846,-0.847056,1.44699,0.000779236,-14.9393,-4.53541,0.0934383,0.277953,0.527967,1.25593,6.95812,0.549157,0.566558
319,886.989,1,0.33486,0.747265,0.727889,0.985278,-0.428086,-0.819101,1.45752,0.000790273,-14.7862,-4.52307,0.0953305,0.270915,0.531171,1.26872,6.91927,0.553361,0.559339
320,893.644,1,0.332643,0.750122,0.719166,0.983419,-0.445524,-0.816452,1.46291,0.00078748,-14.7271,-4.52174,0.096842,0.269313,0.528081,1.26373,6.93909,0.553908,0.590363
321,907.372,1,0.3359,0.754405,0.723321,0.982176,-0.3962,-0.780868,1.45281,0.000777011,-14.5452,-4.52525,0.0987191,0.271639,0.523024,1.26358,6.78041,0.556133,0.575415
322,895.742,1,0.332208,0.750367,0.747532,0.984081,-0.432049,-0.780688,1.43309,0.000763782,-14.7629,-4.53075,0.0967696,0.275716,0.538781,1.27171,7.19395,0.551603,0.560845
323,887.082,1,0.32982,0.738761,0.765542,0.982492,-0.467072,-0.78413,1.42973,0.000747438,-15.051,-4.54481,0.0964349,0.276547,0.54373,1.24642,7.26029,0.537636,0.567414
324,906.507,1,0.336144,0.743085,0.795131,0.981762,-0.499275,-0.791786,1.42936,0.0007573,-15.0243,-4.5383,0.0974008,0.272507,0.55306,1.24163,7.40269,0.535924,0.563573
325,892.084,1,0.334571,0.750945,0.783517,0.98197,-0.475681,-0.780034,1.4611,0.000735924,-14.6441,-4.55042,0.0955053,0.272954,0.539056,1.24182,7.21525,0.528341,0.549303
326,874.682,1,0.333122,0.750875,0.795277,0.983743,-0.445015,-0.769303,1.47921,0.000738486,-14.5597,-4.54538,0.0947273,0.276799,0.527028,1.24095,7.03255,0.527405,0.546663
327,898.7,1,0.339903,0.752002,0.767284,0.98451,-0.404595,-0.763814,1.50358,0.000748946,-14.6474,-4.5405,0.0949354,0.281715,0.513683,1.2484,6.85449,0.531038,0.542694
328,907.579,1,0.339621,0.763377,0.767843,0.984324,-0.395909,-0.783581,1.50943,0.000741093,-14.9487,-4.5491,0.0919806,0.296415,0.518678,1.23789,7.10883,0.525081,0.570454
329,875.306,1,0.33274,0.762552,0.776687,0.983744,-0.365686,-0.746674,1.51554,0.000747979,-14.7733,-4.54428,0.0919123,0.288909,0.505545,1.24722,6.99744,0.531083,0.556009
330,884.76,1,0.333648,0.759925,0.767528,0.983539,-0.366401,-0.752894,1.51625,0.000737371,-14.9566,-4.54336,0.0918339,0.29558,0.494137,1.22316,7.30752,0.532865,0.541931
331,874.779,1,0.332238,0.753458,0.788826,0.984205,-0.392022,-0.751696,1.52059,0.000740076,-14.7132,-4.54155,0.0936234,0.303463,0.497408,1.22032,7.12249,0.530058,0.543123
332,888.076,1,0.334467,0.759908,0.776973,0.983505,-0.412763,-0.771429,1.50274,0.000748306,-14.8101,-4.53841,0.0927691,0.29578,0.504811,1.228,7.2206,0.532009,0.559495
333,883.021,1,0.333285,0.760405,0.805257,0.983505,-0.389273,-0.737316,1.50898,0.000770354,-14.6233,-4.52775,0.093209,0.28829,0.50176,1.25843,7.15593,0.539631,0.568512
334,917.919,1,0.337096,0.766332,0.815568,0.983677,-0.362045,-0.706671,1.51259,0.000715698,-14.8213,-4.55715,0.0939375,0.298708,0.526301,1.29421,7.51584,0.546651,0.568906
335,901.604,1,0.33182,0.778615,0.782958,0.983647,-0.306915,-0.699268,1.54952,0.000693636,-14.7166,-4.56616,0.0937766,0.30078,0.512975,1.30092,7.50366,0.546463,0.561898
336,925.532,1,0.338528,0.78803,0.764065,0.982114,-0.2784,-0.708757,1.56645,0.000685911,-14.671,-4.57488,0.0928909,0.308739,0.499986,1.26815,7.49352,0.532626,0.563931
337,912.166,1,0.337658,0.788276,0.755112,0.98167,-0.231194,-0.703804,1.55945,0.000694225,-14.6621,-4.57669,0.091371,0.311273,0.496467,1.26246,7.30378,0.527114,0.549652
338,896.62,1,0.330234,0.792041,0.73145,0.981635,-0.213113,-0.710843,1.56897,0.000668699,-14.8767,-4.58268,0.0917243,0.319183,0.502851,1.26955,7.61573,0.530981,0.54348
339,905.497,1,0.333273,0.792961,0.73351,0.983229,-0.241858,-0.708685,1.57082,0.000678074,-14.7146,-4.58367,0.0934002,0.318216,0.498135,1.28388,7.42289,0.535958,0.533844
340,912.338,1,0.336464,0.791149,0.748794,0.980917,-0.283278,-0.73005,1.55754,0.000677286,-14.8423,-4.59093,0.0921021,0.310159,0.515194,1.25137,7.50041,0.522387,0.528712
341,917.147,1,0.337683,0.794178,0.730041,0.981726,-0.291374,-0.740499,1.5642,0.00069492,-14.8151,-4.58148,0.0916836,0.303967,0.502149,1.24757,7.66477,0.526844,0.518625
342,899.92,1,0.332002,0.792591,0.736262,0.98253,-0.250084,-0.695692,1.57989,0.000678839,-14.9175,-4.58421,0.0910998,0.300171,0.489435,1.25838,7.80211,0.529299,0.525505
343,887.813,1,0.328735,0.792445,0.732627,0.981884,-0.289577,-0.718126,1.5563,0.000687622,-14.7538,-4.58319,0.0898678,0.305868,0.484718,1.25968,7.60456,0.529107,0.527747
344,886.486,1,0.329678,0.778674,0.754724,0.982223,-0.316361,-0.722416,1.5718,0.000679197,-14.7688,-4.57939,0.0906459,0.311467,0.478852,1.25516,7.55376,0.526671,0.530265
345,894.145,1,0.332891,0.786653,0.755144,0.983004,-0.266272,-0.703644,1.58815,0.000672815,-14.9418,-4.58292,0.092046,0.303581,0.475839,1.25084,7.62287,0.525829,0.544374
346,885.459,1,0.328526,0.787407,0.732209,0.9821,-0.207153,-0.676133,1.56603,0.000682381,-14.8179,-4.57833,0.0932786,0.30076,0.495,1.25477,7.45237,0.525523,0.531237
347,895.181,1,0.33229,0.7879,0.752411,0.981413,-0.214063,-0.658226,1.58956,0.000690894,-14.7533,-4.57209,0.0933093,0.312283,0.482467,1.223,7.58792,0.512217,0.51861
348,887.528,1,0.332661,0.790932,0.775304,0.982214,-0.262074,-0.685061,1.56852,0.000690529,-14.7584,-4.57243,0.0936375,0.311503,0.513876,1.19916,7.43845,0.510277,0.510466
349,896.796,1,0.333013,0.784883,0.780766,0.981907,-0.308892,-0.698534,1.57952,0.000677357,-14.7669,-4.577,0.0944867,0.313059,0.528698,1.19181,7.28362,0.506504,0.540323
350,884.679,1,0.331964,0.784559,0.831293,0.983541,-0.38771,-0.703891,1.58655,0.000661869,-14.7515,-4.57913,0.0940845,0.326325,0.541909,1.18171,7.36499,0.504837,0.542217
351,892.4,1,0.335971,0.778971,0.853296,0.982725,-0.459162,-0.731837,1.59401,0.000640417,-14.6639,-4.58987,0.0941946,0.322617,0.534436,1.17899,7.59437,0.498179,0.537075
352,888.171,1,0.33867,0.788984,0.831424,0.984287,-0.415854,-0.73734,1.58985,0.00063698,-14.2314,-4.59196,0.0936031,0.316876,0.530877,1.17217,7.40207,0.496482,0.557928
353,881.634,1,0.335192,0.799011,0.826475,0.983325,-0.409624,-0.752261,1.57802,0.000651157,-14.2445,-4.58839,0.0933449,0.323427,0.547439,1.17797,7.21465,0.498984,0.555481
354,875.189,1,0.335365,0.799826,0.815729,0.985028,-0.363167,-0.742989,1.54686,0.000664073,-14.3732,-4.58747,0.0950874,0.333447,0.555701,1.17498,7.03197,0.498138,0.541532
355,879.344,1,0.336551,0.806953,0.812289,0.987075,-0.372479,-0.732701,1.57684,0.000658244,-14.7396,-4.59397,0.0922372,0.334892,0.543971,1.16398,6.96762,0.502244,0.52782
356,873.044,1,0.335042,0.802387,0.81588,0.986894,-0.370493,-0.727131,1.55891,0.00066197,-14.7985,-4.59661,0.0917143,0.335042,0.539764,1.1563,6.97196,0.49891,0.530779
357,898.726,1,0.337526,0.796331,0.80329,0.985346,-0.333551,-0.716698,1.54944,0.000657297,-15.0387,-4.59484,0.091525,0.331625,0.546817,1.15818,7.24298,0.500145,0.551175
358,892.313,1,0.33791,0.799836,0.794318,0.98514,-0.332971,-0.738317,1.54858,0.000649945,-14.8075,-4.59991,0.0927572,0.333626,0.535246,1.15662,7.23932,0.503088,0.537218
359,903.448,1,0.341865,0.790014,0.821446,0.986159,-0.37884,-0.730695,1.55055,0.000644744,-15.0647,-4.60086,0.0919155,0.327518,0.522906,1.15774,7.41513,0.50473,0.543291
360,881.164,1,0.337423,0.794993,0.812397,0.984555,-0.335471,-0.73771,1.56245,0.000637702,-14.8298,-4.60238,0.0917517,0.323646,0.523746,1.16519,7.22738,0.507014,0.548257
361,890.983,1,0.34139,0.7952,0.819759,0.985526,-0.364777,-0.753772,1.58274,0.000643047,-14.5688,-4.60252,0.0878173,0.333608,0.530055,1.17744,7.04437,0.509111,0.545686
362,902.793,1,0.341546,0.802946,0.839556,0.98573,-0.360154,-0.720864,1.57512,0.000639997,-14.9018,-4.60807,0.0902958,0.347481,0.536339,1.18842,7.27729,0.511433,0.542718
363,881.676,1,0.334948,0.798114,0.836947,0.985769,-0.31782,-0.701142,1.57052,0.000649659,-15.0255,-4.59518,0.0913834,0.354999,0.531183,1.21475,7.35942,0.518407,0.540217
364,881.023,1,0.335534,0.798398,0.835233,0.985769,-0.308185,-0.697166,1.57837,0.000653521,-15.2958,-4.60176,0.0906296,0.353342,0.51903,1.22199,7.33311,0.51944,0.535656
365,880.26,1,0.339601,0.794966,0.823844,0.986865,-0.292386,-0.711334,1.53345,0.000658971,-15.109,-4.59846,0.0915434,0.352823,0.505888,1.2138,7.14743,0.521467,0.532163
366,876.278,1,0.335829,0.800089,0.836192,0.986745,-0.302676,-0.702656,1.5299,0.000654785,-15.4245,-4.59971,0.0913464,0.364356,0.508341,1.218,7.46635,0.524941,0.536033
367,864.887,1,0.332794,0.804709,0.839613,0.985711,-0.325297,-0.713367,1.52539,0.000652713,-15.0452,-4.60046,0.091061,0.356421,0.531252,1.22739,7.2773,0.52548,0.54486
368,863.19,1,0.337171,0.8005,0.866758,0.98492,-0.319094,-0.699378,1.52628,0.000657257,-14.9352,-4.60076,0.0912068,0.374505,0.534254,1.23317,7.09303,0.52382,0.539885
369,873.891,1,0.34185,0.796298,0.871393,0.987019,-0.294684,-0.671387,1.53004,0.000691236,-14.8785,-4.57614,0.0911852,0.380413,0.520727,1.22879,6.91343,0.527887,0.529148
370,857.264,1,0.344107,0.785787,0.855026,0.988834,-0.304484,-0.716755,1.49384,0.000699181,-14.7897,-4.56846,0.0925618,0.376271,0.522672,1.23349,6.73838,0.526166,0.53564
371,880.737,1,0.346603,0.780928,0.857312,0.987264,-0.268295,-0.68399,1.49304,0.000710721,-14.9082,-4.56217,0.0924718,0.376593,0.525844,1.22352,6.56776,0.524182,0.548096
372,851.61,1,0.340249,0.77751,0.863792,0.988503,-0.28814,-0.69989,1.48395,0.000710766,-14.9114,-4.55528,0.0931483,0.39835,0.547441,1.22608,6.62757,0.523259,0.558618
373,863.612,1,0.341005,0.78378,0.847847,0.987979,-0.297813,-0.721168,1.50412,0.000702256,-14.7468,-4.56487,0.0923073,0.396623,0.53478,1.22057,6.5557,0.521553,0.563219
374,859.351,1,0.338833,0.779768,0.836775,0.988849,-0.27737,-0.722249,1.48027,0.000700505,-14.5048,-4.56064,0.093218,0.411498,0.544636,1.23025,6.68527,0.526761,0.555657
375,870.737,1,0.341519,0.770329,0.804614,0.989099,-0.249041,-0.738512,1.45617,0.000687369,-14.8162,-4.5731,0.0937498,0.401078,0.530846,1.24255,6.76634,0.529928,0.553913
376,865.466,1,0.340087,0.764881,0.810254,0.989697,-0.253654,-0.733182,1.44685,0.000685068,-14.9563,-4.5723,0.0936498,0.397898,0.529823,1.23958,6.85378,0.530592,0.551784
377,840.756,1,0.333536,0.759179,0.813609,0.990505,-0.270888,-0.738357,1.45754,0.000679759,-14.8462,-4.57219,0.0928096,0.401716,0.524176,1.24382,7.0918,0.530465,0.543986
378,872.797,1,0.338691,0.748621,0.841342,0.989587,-0.351113,-0.74458,1.43992,0.000686188,-15.0331,-4.57245,0.0927579,0.391545,0.51679,1.25152,7.39939,0.533768,0.530212
379,863.02,1,0.337247,0.748619,0.828763,0.990811,-0.360767,-0.758237,1.45969,0.000685086,-15.0639,-4.57538,0.0928002,0.381631,0.514392,1.25215,7.21203,0.534238,0.543163
380,868.43,1,0.336734,0.741433,0.8107,0.990475,-0.337464,-0.764366,1.44738,0.000655647,-15.2692,-4.58368,0.092771,0.381146,0.522511,1.24759,7.28698,0.534686,0.5468
381,892.31,1,0.344476,0.742842,0.822814,0.990473,-0.35401,-0.765198,1.47471,0.000645123,-15.4813,-4.5869,0.0923646,0.379804,0.517714,1.2408,7.15369,0.536153,0.557481
382,857.633,1,0.339306,0.745396,0.840165,0.991081,-0.398315,-0.777494,1.49085,0.000633054,-15.2057,-4.59434,0.09358,0.394522,0.518578,1.23914,6.97255,0.536561,0.543365
383,862.276,1,0.34093,0.750015,0.836771,0.991121,-0.343286,-0.740922,1.51396,0.000637458,-15.0194,-4.58997,0.0939826,0.398554,0.509233,1.22993,6.796,0.532456,0.529607
384,855.337,1,0.341044,0.753774,0.839326,0.990248,-0.297078,-0.720394,1.50038,0.000619036,-14.9274,-4.59951,0.094808,0.39106,0.516292,1.22545,6.71578,0.528886,0.516197
385,852.253,1,0.335595,0.754499,0.839317,0.989974,-0.346609,-0.742928,1.50034,0.000620697,-15.195,-4.60338,0.094686,0.393718,0.524586,1.22163,6.9819,0.524226,0.526097
386,860.083,1,0.336668,0.756848,0.844652,0.989539,-0.367088,-0.746036,1.52313,0.00060893,-14.9148,-4.60701,0.0948234,0.387837,0.526431,1.2333,6.84228,0.53301,0.527943
387,847.217,1,0.33333,0.767966,0.8672,0.989439,-0.428022,-0.761243,1.56194,0.000616366,-14.8917,-4.60123,0.0920434,0.383894,0.542612,1.24121,7.103,0.535372,0.525897
388,831.969,1,0.330666,0.762315,0.877809,0.989262,-0.437076,-0.767647,1.51543,0.000664216,-14.4662,-4.57492,0.0959608,0.394701,0.563156,1.25817,6.92314,0.539925,0.55144
389,863.673,1,0.337371,0.768907,0.86089,0.986958,-0.404755,-0.770984,1.55152,0.000644012,-14.2427,-4.58396,0.0956245,0.387268,0.561616,1.25876,6.74785,0.540362,0.557062
390,863.776,1,0.336419,0.762577,0.859416,0.98763,-0.406569,-0.768743,1.5458,0.000641621,-13.9491,-4.57706,0.09561,0.396002,0.561737,1.26511,6.57699,0.540248,0.563634
391,868.422,1,0.335761,0.77094,0.860716,0.987508,-0.369619,-0.740436,1.57315,0.000664366,-14.1643,-4.57112,0.0952949,0.396983,0.555438,1.2801,6.56579,0.543673,0.561004
392,903.723,1,0.343307,0.76424,0.844679,0.987068,-0.321163,-0.732054,1.55767,0.00064349,-13.9321,-4.57206,0.0958059,0.409873,0.567727,1.28532,6.39954,0.544241,0.598411
393,876.892,1,0.338553,0.766605,0.856907,0.987539,-0.332956,-0.727822,1.60227,0.000644349,-13.9649,-4.56924,0.0938983,0.403861,0.558007,1.29859,6.2375,0.550023,0.589882
394,872.913,1,0.337695,0.77431,0.876483,0.988488,-0.379617,-0.73718,1.58017,0.000652544,-13.9669,-4.5676,0.094142,0.416586,0.594011,1.28726,6.24064,0.545762,0.601771
395,843.733,1,0.33225,0.77618,0.864855,0.988811,-0.361319,-0.742267,1.57639,0.000653799,-13.8367,-4.56632,0.0947713,0.407603,0.587145,1.30392,6.08262,0.552291,0.59657
396,855.026,1,0.333103,0.786523,0.859602,0.988509,-0.351855,-0.73685,1.59939,0.000662111,-13.6256,-4.5639,0.0944837,0.407186,0.590998,1.30503,5.92861,0.5513,0.601287
397,858.908,1,0.33098,0.788612,0.854962,0.988771,-0.335915,-0.722544,1.58398,0.000669996,-13.6605,-4.55935,0.0964172,0.401016,0.585875,1.3107,6.06244,0.552738,0.608567
398,888.724,1,0.339096,0.777437,0.880024,0.989266,-0.428034,-0.725596,1.57659,0.000673938,-13.7051,-4.56192,0.0954347,0.390862,0.57104,1.30736,6.02111,0.557362,0.593158
399,905.192,1,0.338837,0.79227,0.897067,0.987421,-0.431731,-0.716322,1.60384,0.000660263,-13.5952,-4.56435,0.0976601,0.413776,0.588448,1.3095,6.32141,0.555745,0.614898
400,882.788,1,0.336274,0.7978,0.900329,0.988653,-0.463142,-0.727252,1.62212,0.000655405,-13.0906,-4.56627,0.097342,0.418358,0.600418,1.30186,6.16134,0.557551,0.60343
401,886.078,1,0.335112,0.79503,0.898453,0.987147,-0.452518,-0.728356,1.62149,0.000658869,-13.1763,-4.56066,0.0974909,0.417041,0.604175,1.30176,6.00534,0.559137,0.612836
402,905.01,1,0.338309,0.801242,0.91113,0.986733,-0.417133,-0.680837,1.6301,0.000684729,-13.2349,-4.54774,0.0994208,0.430835,0.607336,1.33141,5.8997,0.568728,0.597319
403,886.659,1,0.33811,0.79408,0.924253,0.988143,-0.437047,-0.689643,1.6472,0.000656642,-13.0844,-4.55948,0.0968995,0.437656,0.609546,1.33517,5.87803,0.574794,0.592642
404,886.77,1,0.337675,0.799895,0.915877,0.987693,-0.394899,-0.677508,1.67167,0.000672368,-13.044,-4.54751,0.0974464,0.445469,0.621831,1.3346,5.81929,0.572441,0.578882
405,887.757,1,0.340532,0.795318,0.914526,0.98859,-0.403091,-0.691516,1.68131,0.000669548,-13.1787,-4.54539,0.0976622,0.438817,0.609111,1.33472,5.72986,0.576799,0.596983
406,875.271,1,0.337021,0.791938,0.91304,0.987559,-0.437206,-0.723954,1.65241,0.000666976,-13.2,-4.54771,0.0963373,0.433626,0.611268,1.32201,5.92301,0.573992,0.606505
407,902.97,1,0.34281,0.79715,0.905364,0.986918,-0.398947,-0.706201,1.65345,0.000669991,-13.3956,-4.5544,0.094728,0.429414,0.610232,1.32143,5.9862,0.574375,0.592878
408,899.577,1,0.339576,0.798906,0.90119,0.986153,-0.369537,-0.687472,1.64317,0.000660457,-13.2075,-4.55901,0.0957711,0.437363,0.602474,1.30544,6.04675,0.567747,0.60032
409,876.628,1,0.336337,0.799136,0.913633,0.986687,-0.430879,-0.715365,1.65589,0.000665326,-13.2306,-4.5584,0.0958745,0.432671,0.594097,1.31547,6.01287,0.566294,0.611109
410,871.659,1,0.338684,0.794873,0.922241,0.988421,-0.434019,-0.709376,1.63907,0.000657848,-13.2276,-4.55906,0.096149,0.427488,0.60282,1.33102,5.9248,0.572996,0.617139
411,870.653,1,0.337427,0.784265,0.924411,0.988675,-0.451806,-0.721796,1.61982,0.000680415,-13.2565,-4.54584,0.0965951,0.42349,0.602449,1.38066,6.18014,0.592028,0.616687
412,869.323,1,0.33868,0.779356,0.930342,0.990484,-0.484739,-0.731653,1.62344,0.000674096,-13.2711,-4.55063,0.0952999,0.425893,0.609529,1.37706,6.16228,0.589048,0.616781
413,863.604,1,0.337359,0.772629,0.924894,0.990824,-0.488272,-0.741623,1.6183,0.000669816,-13.8341,-4.55752,0.0943726,0.415109,0.594095,1.37039,6.43061,0.585689,0.6227
414,852.774,1,0.335017,0.773273,0.924913,0.989731,-0.439982,-0.712928,1.63079,0.000685293,-14.0743,-4.54492,0.0944775,0.409817,0.580226,1.34734,6.80371,0.57517,0.613911
415,844.15,1,0.331,0.776352,0.92623,0.98975,-0.416867,-0.686046,1.64367,0.000679989,-13.8802,-4.54966,0.0945269,0.412979,0.576845,1.36556,6.63144,0.583802,0.605361
416,834.884,1,0.331797,0.77179,0.930067,0.990754,-0.448621,-0.706789,1.63165,0.000680688,-13.902,-4.5511,0.0934849,0.410831,0.583788,1.36027,6.51783,0.581177,0.607132
417,832.577,1,0.328488,0.769209,0.918058,0.989499,-0.443038,-0.724698,1.62024,0.000676289,-13.753,-4.5469,0.0931604,0.413792,0.591931,1.35816,6.45327,0.575257,0.619717
418,841.045,1,0.332118,0.762035,0.92059,0.989544,-0.451532,-0.725251,1.64803,0.000684493,-13.6493,-4.54312,0.0926585,0.403314,0.578129,1.34868,6.43413,0.56849,0.6272
419,820.686,1,0.330098,0.753613,0.919492,0.989912,-0.479372,-0.754091,1.62772,0.000680745,-13.8193,-4.54097,0.0923911,0.393102,0.571073,1.35384,6.53754,0.574301,0.628164
420,838.12,1,0.335021,0.745296,0.919693,0.990278,-0.500853,-0.770509,1.61273,0.000691871,-14.0544,-4.53185,0.0929713,0.387178,0.580906,1.35827,6.60465,0.573015,0.639249
421,852.449,1,0.339477,0.743264,0.923807,0.990406,-0.490714,-0.759132,1.60259,0.000690895,-14.0933,-4.5321,0.093267,0.386232,0.593755,1.34694,6.64139,0.572047,0.645477
422,839.393,1,0.333456,0.748562,0.927791,0.990074,-0.453432,-0.720003,1.61988,0.000691186,-13.9941,-4.52793,0.0944191,0.404606,0.596263,1.34472,6.58537,0.5721,0.629133
423,848.281,1,0.336407,0.744982,0.927731,0.989853,-0.471278,-0.734611,1.61485,0.000695037,-13.7821,-4.52959,0.0930315,0.394361,0.581165,1.34867,6.75636,0.571643,0.631994
424,851.599,1,0.334025,0.733473,0.920949,0.988857,-0.45031,-0.730041,1.58342,0.000691647,-14.0261,-4.52932,0.0949132,0.390136,0.59116,1.35652,7.00077,0.576556,0.61912
425,824.275,1,0.328154,0.735414,0.915583,0.990046,-0.424645,-0.709565,1.60032,0.000683593,-13.751,-4.53732,0.0937407,0.393019,0.576192,1.32217,6.82351,0.561958,0.606187
