iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
65,1282.96,1,0.373574,0.716542,0,0,0,0,1.49283,0.00070835,-13.3585,-4.43341,0.135354,0.381016,0.712042,0.804553,5.89316,0.443261,0.578496
66,1267.41,1,0.370824,0.713334,0,0,0,0,1.48024,0.000729154,-13.3418,-4.43244,0.137508,0.376509,0.694013,0.786384,5.74394,0.443673,0.610065
67,1274.48,1,0.37192,0.711919,0,0,0,0,1.40556,0.000717346,-13.5028,-4.43846,0.137959,0.385153,0.67644,0.802516,5.86118,0.436126,0.594618
68,1267,1,0.36917,0.706688,0,0,0,0,1.42933,0.000755073,-14.0513,-4.43557,0.135201,0.375401,0.666067,0.796372,6.26351,0.441071,0.579562
69,1251.6,1,0.367234,0.693993,0,0,0,0,1.39618,0.000746982,-13.6792,-4.43782,0.134341,0.369348,0.649202,0.82179,6.10491,0.444849,0.577254
70,1252.63,1,0.370048,0.701767,0,0,0,0,1.37849,0.000746862,-13.6308,-4.43321,0.133752,0.359995,0.633845,0.800982,5.95033,0.44038,0.585109
71,1237.62,1,0.36787,0.701017,0,0,0,0,1.39383,0.000735096,-13.6949,-4.43677,0.133677,0.352332,0.617795,0.78535,5.79967,0.442069,0.577805
72,1262.91,1,0.371023,0.691943,0,0,0,0,1.41145,0.000731071,-13.6813,-4.43164,0.132777,0.352657,0.64047,0.804225,5.97576,0.448029,0.587148
73,1246.63,1,0.36735,0.687166,0,0,0,0,1.43933,0.000700195,-13.4709,-4.44299,0.131373,0.350867,0.65637,0.819979,5.82445,0.464213,0.572281
74,1218.79,1,0.358049,0.675632,0,0,0,0,1.39848,0.000673532,-13.4888,-4.43936,0.132576,0.37215,0.67534,0.829738,5.75012,0.467974,0.55779
75,1216.85,1,0.354995,0.690531,0,0,0,0,1.38469,0.000669125,-13.1856,-4.43991,0.134102,0.369327,0.691329,0.8648,5.60452,0.480878,0.555091
76,1237.59,1,0.361388,0.688386,0,0,0,0,1.39661,0.000686307,-12.9453,-4.4342,0.131896,0.361372,0.690959,0.860079,5.46261,0.480713,0.565313
77,1210.85,1,0.355719,0.702623,0,0,0,0,1.41724,0.000682859,-12.7029,-4.44197,0.130422,0.384769,0.673464,0.853199,5.32429,0.471794,0.564207
78,1210.56,1,0.36105,0.695698,-0.0606439,0.491715,0.0387911,-0.233037,1.4832,0.000665624,-12.4604,-4.44399,0.126936,0.375027,0.718575,0.878219,5.18948,0.471621,0.549921
79,1185.23,1,0.35816,0.696842,-0.096823,0.510931,0.0453394,-0.323483,1.4604,0.000685443,-12.5574,-4.44696,0.126035,0.375094,0.70038,0.869561,5.05808,0.459995,0.535997
80,1179.68,1,0.354047,0.697403,-0.0990037,0.502371,0.0230856,-0.37599,1.45412,0.000696086,-12.6248,-4.43084,0.128015,0.389479,0.682646,0.87771,5.08642,0.471879,0.52978
81,1210.6,1,0.360757,0.697616,-0.110438,0.521204,0.00220639,-0.350405,1.46329,0.00068663,-12.5495,-4.44094,0.130616,0.396121,0.690811,0.861053,5.07476,0.470041,0.542926
82,1182.12,1,0.353671,0.704397,-0.1225,0.533432,0.00085397,-0.364691,1.47948,0.000683469,-12.5913,-4.44073,0.130963,0.386091,0.690667,0.865452,5.13096,0.459235,0.558285
83,1180.52,1,0.354821,0.696452,-0.135007,0.565206,-0.0435246,-0.39174,1.43786,0.000712172,-12.3204,-4.43492,0.133641,0.379417,0.688036,0.876562,5.00104,0.463487,0.565489
84,1183.12,1,0.358703,0.69766,-0.110063,0.603909,0.00166335,-0.509833,1.43897,0.000734392,-12.1885,-4.43023,0.132967,0.389201,0.708722,0.879656,4.87441,0.473484,0.56394
85,1161.21,1,0.352098,0.691876,-0.0654136,0.603839,-0.037311,-0.448779,1.46003,0.000724714,-12.3553,-4.4373,0.132093,0.39233,0.690776,0.883584,4.75099,0.479934,0.554882
86,1162.51,1,0.354097,0.699797,-0.0283688,0.621802,-0.0156549,-0.445887,1.45523,0.000725013,-12.1964,-4.44419,0.130388,0.386326,0.673285,0.885512,4.63069,0.479874,0.553875
87,1171.48,1,0.357081,0.692069,0.0129548,0.611684,-0.0352892,-0.498537,1.42831,0.000753188,-12.4193,-4.43618,0.127129,0.38936,0.656237,0.883702,4.51344,0.479481,0.560587
88,1152.94,1,0.351725,0.694291,0.0295488,0.633481,-0.0907295,-0.523479,1.39168,0.000773091,-12.2622,-4.43244,0.130393,0.393949,0.656051,0.867689,4.56373,0.47725,0.585721
89,1148.8,1,0.353238,0.684208,-0.0201499,0.644505,-0.106406,-0.512434,1.42424,0.000770444,-12.3531,-4.43264,0.126147,0.405756,0.641295,0.857073,4.4543,0.475431,0.57089
90,1154.12,1,0.357411,0.683319,0.00187349,0.652871,-0.0980988,-0.542523,1.45172,0.000750813,-12.0546,-4.44103,0.126325,0.409867,0.634076,0.845927,4.34152,0.47511,0.556435
91,1139.63,1,0.352895,0.677641,-0.0344522,0.655229,-0.11492,-0.563625,1.43555,0.00073166,-12.0874,-4.44123,0.127402,0.404046,0.618021,0.86893,4.28375,0.484179,0.570788
92,1144,1,0.35392,0.660356,-0.0368614,0.669093,-0.102552,-0.510831,1.46259,0.000734267,-12.0622,-4.43187,0.12844,0.414063,0.621826,0.862319,4.17528,0.490883,0.572401
93,1155.56,1,0.355428,0.658186,-0.0496441,0.696082,-0.103492,-0.502258,1.43692,0.000728934,-11.9541,-4.4331,0.128252,0.416276,0.676311,0.867766,4.06956,0.489732,0.577437
94,1151.88,1,0.352609,0.660178,-0.0291944,0.722797,-0.123421,-0.474867,1.46276,0.000738567,-11.7481,-4.41874,0.132445,0.436402,0.680813,0.880908,3.96652,0.498836,0.579581
95,1152.84,1,0.356312,0.657684,-0.0639418,0.750771,-0.133758,-0.53415,1.46146,0.000743697,-11.7122,-4.4207,0.12992,0.439625,0.663574,0.91716,3.91586,0.504432,0.575461
96,1151.95,1,0.353068,0.655735,-0.0830016,0.754696,-0.164153,-0.5336,1.44674,0.000761507,-11.827,-4.41601,0.13236,0.441552,0.652661,0.944353,4.03912,0.511317,0.587136
97,1132.7,1,0.347538,0.645777,-0.0939232,0.772247,-0.12113,-0.54932,1.42688,0.000775742,-12.0953,-4.4099,0.12913,0.44589,0.675601,0.93822,4.12814,0.516126,0.574367
98,1137.31,1,0.34891,0.655204,-0.0374674,0.775359,-0.11484,-0.523495,1.41448,0.000778606,-12.0688,-4.40989,0.130264,0.4346,0.660496,0.972086,4.20036,0.517108,0.57028
99,1147.25,1,0.349124,0.654157,-0.0441538,0.765585,-0.076363,-0.528713,1.40085,0.000781537,-12.0894,-4.39804,0.131535,0.42847,0.670371,0.975232,4.34111,0.523929,0.566083
100,1129.5,1,0.346807,0.6449,-0.0461883,0.786914,-0.0601246,-0.515657,1.30722,0.000818375,-12.2113,-4.38872,0.134212,0.417621,0.665356,0.995612,4.31984,0.528657,0.55175
101,1136.29,1,0.351599,0.636141,-0.0364102,0.788407,-0.00945608,-0.568714,1.31417,0.000817346,-12.0876,-4.38112,0.13536,0.407046,0.668123,0.986893,4.21046,0.526677,0.550398
102,1151.19,1,0.352508,0.62958,0.010961,0.806795,-0.030385,-0.55909,1.2873,0.000855637,-11.9847,-4.36392,0.134794,0.412665,0.666656,1.00243,4.26296,0.54191,0.574287
103,1136.21,1,0.350146,0.63214,0.0159378,0.821579,-0.0691655,-0.552723,1.30775,0.000863885,-11.8222,-4.36769,0.131174,0.412262,0.657869,1.03812,4.18393,0.539185,0.559746
104,1146.82,1,0.349961,0.63687,0.0606732,0.814514,-0.0663258,-0.455849,1.34601,0.000856022,-11.9506,-4.36586,0.129668,0.425115,0.660567,1.03236,4.25762,0.54099,0.548209
105,1169.02,1,0.352843,0.64381,0.0846539,0.81944,-0.0548949,-0.433282,1.33655,0.000848315,-12.1205,-4.37821,0.131384,0.428353,0.705592,1.04874,4.32824,0.535159,0.561709
106,1138.67,1,0.344345,0.651502,0.141528,0.80589,-0.0724209,-0.474941,1.35351,0.000822831,-12.1617,-4.3793,0.134862,0.433997,0.705992,1.02602,4.35019,0.533429,0.570375
107,1120.59,1,0.343949,0.63445,0.170668,0.814819,-0.0659439,-0.527974,1.34408,0.000806073,-12.1579,-4.39251,0.133411,0.423008,0.688116,1.03318,4.27083,0.537291,0.559973
108,1139.83,1,0.350243,0.642941,0.0890589,0.83431,0.0419456,-0.487221,1.35173,0.000827217,-12.1042,-4.38825,0.129886,0.416445,0.683931,1.03931,4.16269,0.538892,0.550878
109,1137.33,1,0.347165,0.641128,0.118327,0.823948,-0.0385718,-0.495899,1.35502,0.000805413,-12.0985,-4.3943,0.12962,0.414737,0.689484,1.04294,4.28578,0.537627,0.566461
110,1110.63,1,0.344334,0.641283,0.144544,0.827674,-0.0213373,-0.532844,1.31264,0.000831039,-12.1447,-4.39061,0.128298,0.406652,0.704438,1.03941,4.17726,0.53078,0.552118
111,1112.27,1,0.34512,0.640963,0.177503,0.831299,-0.0589767,-0.533997,1.3122,0.000839897,-12.1671,-4.38874,0.130695,0.405272,0.692418,1.04728,4.17907,0.536877,0.538138
112,1121.96,1,0.346536,0.629552,0.149277,0.824761,-0.112751,-0.526743,1.343,0.000832545,-12.228,-4.38189,0.132089,0.40552,0.674886,1.05882,4.22533,0.541561,0.553475
113,1139.89,1,0.351695,0.633877,0.0992321,0.819706,-0.0807657,-0.524689,1.36472,0.00081281,-11.9906,-4.39521,0.130911,0.401715,0.657797,1.08957,4.11834,0.536813,0.560541
114,1125.73,1,0.347545,0.636823,0.0263559,0.830333,-0.093666,-0.507732,1.42457,0.00082466,-12.0994,-4.38916,0.129522,0.391543,0.641142,1.0906,4.31663,0.552888,0.564796
115,1118.08,1,0.345485,0.636831,-0.0703053,0.808247,-0.0389502,-0.488425,1.3949,0.000807515,-12.2207,-4.38424,0.127265,0.394237,0.624908,1.06736,4.20733,0.554613,0.554506
116,1113.57,1,0.346558,0.636992,-0.0773391,0.823709,-0.0336956,-0.453962,1.41494,0.000814741,-12.0327,-4.38847,0.127172,0.393314,0.609085,1.0718,4.1008,0.556456,0.550094
117,1100.28,1,0.342134,0.636663,-0.0403346,0.841253,-0.0606565,-0.514959,1.39921,0.000838832,-12.4115,-4.38221,0.128815,0.383356,0.603955,1.10676,4.21733,0.557414,0.569911
118,1105.28,1,0.34412,0.633347,0.0600074,0.842053,-0.096475,-0.552442,1.39209,0.000849106,-12.6796,-4.37639,0.127468,0.383909,0.592633,1.08245,4.4527,0.553739,0.566605
119,1089.43,1,0.342213,0.631244,0.059945,0.867329,-0.141888,-0.604461,1.3569,0.000870794,-12.6641,-4.37525,0.126774,0.391012,0.635256,1.08099,4.33996,0.554185,0.581453
120,1074.13,1,0.338192,0.629653,-0.0343099,0.871672,-0.0536909,-0.603524,1.35186,0.000869508,-12.8133,-4.37968,0.126725,0.392882,0.638143,1.08934,4.23007,0.555203,0.569488
121,1093.52,1,0.341647,0.62628,-0.0317689,0.869571,-0.0878336,-0.590982,1.34704,0.000873348,-12.8004,-4.3788,0.126264,0.385639,0.647444,1.09765,4.39604,0.560049,0.563913
122,1074.45,1,0.339436,0.62846,-0.0764503,0.876055,-0.0850316,-0.59,1.31056,0.00092287,-12.9669,-4.36316,0.125714,0.375874,0.632482,1.08462,4.60992,0.563989,0.549634
123,1091,1,0.346242,0.632015,-0.0937384,0.895121,-0.149277,-0.593747,1.31392,0.00095334,-12.9729,-4.35746,0.124962,0.368755,0.618395,1.10171,4.51961,0.572415,0.546973
124,1067.61,1,0.342749,0.63384,-0.0464878,0.889322,-0.0949292,-0.62878,1.30835,0.000934863,-12.7761,-4.36211,0.12254,0.359418,0.610234,1.0937,4.42944,0.574876,0.533124
125,1068.45,1,0.342455,0.643756,-0.053478,0.891225,-0.0613467,-0.596875,1.31412,0.000912861,-13.0022,-4.38196,0.122278,0.350318,0.627256,1.08375,4.57359,0.561864,0.537372
126,1066.13,1,0.343372,0.641227,-0.0740966,0.892487,-0.0723628,-0.601706,1.31318,0.00092574,-12.863,-4.37792,0.122214,0.341447,0.620015,1.0733,4.63458,0.561957,0.523765
127,1069.83,1,0.34581,0.65043,-0.057061,0.893185,-0.05191,-0.533717,1.34115,0.000913146,-12.4268,-4.38327,0.120293,0.332802,0.618971,1.07046,4.51723,0.559096,0.521068
128,1064.95,1,0.344144,0.652495,-0.0141062,0.890502,-0.0173949,-0.546205,1.3448,0.000905666,-12.9206,-4.38369,0.123188,0.324375,0.603298,1.06942,4.60135,0.548595,0.520607
129,1088.22,1,0.35086,0.648988,-0.0597131,0.882866,-0.0618895,-0.554096,1.35033,0.000859011,-12.8965,-4.40507,0.123385,0.3341,0.588022,1.04235,4.65041,0.534705,0.522406
130,1092.38,1,0.351244,0.642947,-0.0342472,0.89317,-0.0414262,-0.573599,1.31203,0.000876568,-12.9475,-4.39885,0.127529,0.331738,0.594114,1.02688,4.98845,0.526219,0.52839
131,1103.95,1,0.351677,0.643639,-0.065472,0.896695,-0.105267,-0.524327,1.30156,0.000903621,-12.9494,-4.38823,0.12783,0.333783,0.603044,1.05536,5.04835,0.536222,0.534879
132,1101.62,1,0.352562,0.633332,-0.0453825,0.883404,-0.12862,-0.629777,1.3007,0.000872385,-13.1353,-4.39576,0.128391,0.336265,0.606252,1.02864,4.92501,0.525219,0.559261
133,1085.29,1,0.346947,0.638425,-0.0595543,0.882403,-0.126212,-0.619382,1.28693,0.000887038,-13.3816,-4.38584,0.127929,0.32775,0.636822,1.01763,5.26424,0.521141,0.545172
134,1073.23,1,0.344667,0.639243,-0.0292226,0.892594,-0.178008,-0.622998,1.30589,0.000882659,-13.5207,-4.39313,0.127967,0.319452,0.620697,1.0407,5.19995,0.532376,0.565108
135,1085.38,1,0.346023,0.644958,0.0124037,0.890411,-0.103142,-0.627302,1.28617,0.00086609,-13.275,-4.40023,0.123907,0.323459,0.624905,1.04894,5.16191,0.53083,0.571862
136,1064.59,1,0.342386,0.647158,0.0374149,0.889402,-0.145866,-0.605946,1.30383,0.000837372,-13.2526,-4.41902,0.124069,0.315269,0.621137,1.04824,5.26353,0.51739,0.559464
