rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
8,41,2.203537,0.005695,0.030651,0.000000,0.007712,0.000000,0.000000,0.143480,-0.225530,-0.676575,1.325604,0.000000,thai
9,41,3.253332,0.000583,-0.002851,0.000000,0.014762,0.000000,0.000000,0.164800,0.276093,-0.393590,-0.734695,0.000000,thai
10,41,2.636640,0.002993,0.008572,0.000000,0.002637,0.000000,0.000000,0.554952,-0.262410,-0.040698,-0.255297,0.000000,thai
1,42,3.030152,0.013569,-0.009963,0.000000,0.010861,0.000000,0.000000,0.223380,0.049206,-0.717737,0.849220,0.000000,thai
2,42,1.852191,0.003923,-0.016178,0.000000,0.001311,0.000000,0.000000,0.308378,0.022817,-0.711502,0.511036,0.000000,thai
3,42,0.990366,0.025363,0.011802,0.000000,-0.000618,0.000000,0.000000,-0.446183,0.011239,-0.049239,0.469117,0.000000,thai
4,42,2.485165,0.005946,0.047300,0.000000,0.004820,0.000000,0.000000,-0.361511,0.135345,-0.357522,0.181387,0.000000,thai
5,42,1.598346,-0.015384,0.002042,0.000000,0.011607,0.000000,0.000000,-0.228877,0.045849,-0.412803,0.202840,0.000000,thai
6,42,1.394527,0.020494,0.009890,0.000000,0.000346,0.000000,0.000000,-0.112456,-0.474866,-0.531762,0.319064,0.000000,thai
7,42,2.666389,0.022337,-0.008134,0.000000,0.005411,0.000000,0.000000,0.395071,0.143354,-0.996621,0.342846,0.000000,thai
8,42,3.031779,-0.002009,-0.013336,0.000000,0.002880,0.000000,0.000000,-1.029472,-0.067724,0.687960,0.920848,0.000000,thai
9,42,1.658875,0.010300,0.016864,0.000000,0.011740,0.000000,0.000000,-0.458949,0.076048,0.099745,1.520139,0.000000,thai
10,42,3.472626,0.023075,0.050336,0.000000,0.001423,0.000000,0.000000,-0.420180,-0.303698,-0.221988,0.535360,0.000000,thai
1,43,3.322561,0.021917,0.006327,0.000000,0.004311,0.000000,0.000000,-0.718035,0.131609,0.520284,0.750558,0.000000,thai
