initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-0.842661,0.192157,-0.776316,0.192157,-0.76252,0.192157,-0.827328,0.192157,-0.884269,0.192157,All
-0.840749,0.194118,-0.764243,0.194118,-0.761641,0.194118,-0.824473,0.194118,-0.882763,0.194118,All
-0.821083,0.196078,-0.758302,0.196078,-0.758568,0.196078,-0.822534,0.196078,-0.882223,0.196078,All
-0.819368,0.198039,-0.754317,0.198039,-0.738174,0.198039,-0.82157,0.198039,-0.88084,0.198039,All
-0.803328,0.2,-0.751715,0.2,-0.731251,0.2,-0.81241,0.2,-0.872163,0.2,All
-0.796833,0.201961,-0.721206,0.201961,-0.720257,0.201961,-0.797643,0.201961,-0.853998,0.201961,All
-0.793847,0.203922,-0.715214,0.203922,-0.701036,0.203922,-0.793577,0.203922,-0.847739,0.203922,All
-0.790884,0.205882,-0.714646,0.205882,-0.700141,0.205882,-0.793573,0.205882,-0.840603,0.205882,All
-0.785727,0.207843,-0.706739,0.207843,-0.692873,0.207843,-0.787517,0.207843,-0.830511,0.207843,All
-0.772406,0.209804,-0.703804,0.209804,-0.687227,0.209804,-0.786358,0.209804,-0.819162,0.209804,All
-0.770484,0.211765,-0.70078,0.211765,-0.680268,0.211765,-0.785619,0.211765,-0.813072,0.211765,All
-0.770162,0.213725,-0.700673,0.213725,-0.675268,0.213725,-0.782211,0.213725,-0.807359,0.213725,All
-0.763964,0.215686,-0.690011,0.215686,-0.674948,0.215686,-0.776081,0.215686,-0.798388,0.215686,All
-0.757685,0.217647,-0.685183,0.217647,-0.67482,0.217647,-0.760094,0.217647,-0.796284,0.217647,All
-0.742147,0.219608,-0.682918,0.219608,-0.667435,0.219608,-0.756393,0.219608,-0.785504,0.219608,All
-0.735199,0.221569,-0.674744,0.221569,-0.667252,0.221569,-0.752508,0.221569,-0.779813,0.221569,All
-0.732363,0.223529,-0.667774,0.223529,-0.663744,0.223529,-0.749232,0.223529,-0.770239,0.223529,All
-0.731148,0.22549,-0.663881,0.22549,-0.652638,0.22549,-0.746604,0.22549,-0.767999,0.22549,All
-0.726786,0.227451,-0.653018,0.227451,-0.643985,0.227451,-0.743694,0.227451,-0.754052,0.227451,All
