initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-3.12092,0.182353,0.0481345,0.182353,-4.70755,0.182353,0.497923,0.182353,-1.1025,0.182353,All
-3.11201,0.184314,0.0481523,0.184314,-4.70748,0.184314,0.498735,0.184314,-1.10196,0.184314,All
-3.10779,0.186275,0.0482204,0.186275,-4.70733,0.186275,0.499557,0.186275,-1.10152,0.186275,All
-3.10733,0.188235,0.0482281,0.188235,-4.70727,0.188235,0.500424,0.188235,-1.10135,0.188235,All
-3.10593,0.190196,0.0482454,0.190196,-4.70707,0.190196,0.501202,0.190196,-1.10087,0.190196,All
-3.10519,0.192157,0.0482705,0.192157,-4.70604,0.192157,0.50366,0.192157,-1.10066,0.192157,All
-3.10138,0.194118,0.0483475,0.194118,-4.70521,0.194118,0.503911,0.194118,-1.10051,0.194118,All
-3.09869,0.196078,0.0483483,0.196078,-4.70456,0.196078,0.504752,0.196078,-1.10049,0.196078,All
-3.09716,0.198039,0.04835,0.198039,-4.70445,0.198039,0.507017,0.198039,-1.10039,0.198039,All
-3.0951,0.2,0.0483728,0.2,-4.70402,0.2,0.50759,0.2,-1.0996,0.2,All
-3.09503,0.201961,0.0484364,0.201961,-4.70394,0.201961,0.508934,0.201961,-1.09946,0.201961,All
-3.09312,0.203922,0.0484424,0.203922,-4.70363,0.203922,0.508974,0.203922,-1.09895,0.203922,All
-3.09138,0.205882,0.0485034,0.205882,-4.70362,0.205882,0.509266,0.205882,-1.09859,0.205882,All
-3.08019,0.207843,0.0485102,0.207843,-4.70329,0.207843,0.509366,0.207843,-1.09843,0.207843,All
-3.07816,0.209804,0.0485117,0.209804,-4.70302,0.209804,0.51052,0.209804,-1.09838,0.209804,All
-3.07115,0.211765,0.0485205,0.211765,-4.70216,0.211765,0.511266,0.211765,-1.09818,0.211765,All
-3.07088,0.213725,0.0485567,0.213725,-4.70138,0.213725,0.514882,0.213725,-1.098,0.213725,All
-3.06829,0.215686,0.0485888,0.215686,-4.70108,0.215686,0.515005,0.215686,-1.09773,0.215686,All
-3.06561,0.217647,0.0486031,0.217647,-4.70048,0.217647,0.516611,0.217647,-1.09767,0.217647,All
-3.06273,0.219608,0.048608,0.219608,-4.70032,0.219608,0.516985,0.219608,-1.09761,0.219608,All
-3.06246,0.221569,0.0486236,0.221569,-4.70007,0.221569,0.517408,0.221569,-1.09719,0.221569,All
-3.06024,0.223529,0.0486243,0.223529,-4.69939,0.223529,0.519867,0.223529,-1.09704,0.223529,All
-3.0589,0.22549,0.0486326,0.22549,-4.69924,0.22549,0.520836,0.22549,-1.09697,0.22549,All
-3.05665,0.227451,0.0486833,0.227451,-4.69917,0.227451,0.521472,0.227451,-1.09691,0.227451,All
-3.05588,0.229412,0.0487445,0.229412,-4.69907,0.229412,0.521544,0.229412,-1.09673,0.229412,All
-3.05435,0.231373,0.0488038,0.231373,-4.69885,0.231373,0.521728,0.231373,-1.09605,0.231373,All
-3.05227,0.233333,0.0488299,0.233333,-4.69807,0.233333,0.52354,0.233333,-1.09598,0.233333,All
-3.0434,0.235294,0.0488572,0.235294,-4.69793,0.235294,0.523784,0.235294,-1.09588,0.235294,All
-3.04313,0.237255,0.0488775,0.237255,-4.69788,0.237255,0.526832,0.237255,-1.09576,0.237255,All
-3.02289,0.239216,0.0488998,0.239216,-4.69781,0.239216,0.527002,0.239216,-1.09542,0.239216,All
-3.00573,0.241176,0.0489501,0.241176,-4.69777,0.241176,0.527814,0.241176,-1.0949,0.241176,All
-3.00146,0.243137,0.0489839,0.243137,-4.69722,0.243137,0.528129,0.243137,-1.0946,0.243137,All
-2.99462,0.245098,0.0490494,0.245098,-4.69695,0.245098,0.528411,0.245098,-1.09384,0.245098,All
-2.99439,0.247059,0.0490515,0.247059,-4.69683,0.247059,0.529858,0.247059,-1.09362,0.247059,All
-2.99087,0.24902,0.049075,0.24902,-4.69646,0.24902,0.530702,0.24902,-1.09347,0.24902,All
