initT_abscissa,initT_pdf,initT_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lw_abscissa,lw_pdf,lw_cdf,lI50_abscissa,lI50_pdf,lI50_cdf,split
-3.16847,0.500508,0.167084,0.0482442,67.9108,0.205299,-4.83668,0.0283128,0.000420596,0.324286,0.455925,0.044564,-1.227,0.00932032,0.000101851,All
-3.13837,0.52951,0.182586,0.0488828,75.0558,0.251002,-4.82752,0.0494198,0.000768388,0.34227,0.526756,0.0533901,-1.21877,0.0185705,0.000212624,All
-3.10827,0.558165,0.198957,0.0495214,81.0011,0.300904,-4.81837,0.0837696,0.00136583,0.360253,0.603982,0.0635479,-1.21054,0.0356828,0.000428931,All
-3.07817,0.586243,0.216183,0.05016,85.4373,0.354135,-4.80921,0.137892,0.00236256,0.378236,0.687286,0.0751497,-1.20231,0.0661205,0.000836311,All
-3.04806,0.613506,0.234242,0.0507986,88.1507,0.409657,-4.80006,0.220424,0.00397748,0.396219,0.776159,0.0883005,-1.19408,0.118156,0.00157629,All
-3.01796,0.639714,0.253107,0.0514372,89.039,0.466331,-4.7909,0.342174,0.00651861,0.414202,0.869887,0.103095,-1.18585,0.203619,0.00287265,All
-2.98786,0.664628,0.272741,0.0520758,88.1151,0.52299,-4.78174,0.515826,0.0104019,0.432186,0.967552,0.119611,-1.17762,0.338395,0.00506305,All
-2.95776,0.688014,0.293103,0.0527144,85.4985,0.57851,-4.77259,0.755137,0.0161652,0.450169,1.06803,0.137911,-1.16939,0.54234,0.00863256,All
-2.92766,0.709647,0.314143,0.053353,81.3982,0.631872,-4.76343,1.07353,0.024472,0.468152,1.17002,0.158033,-1.16116,0.838228,0.0142429,All
-2.89756,0.729312,0.335805,0.0539916,76.0878,0.682214,-4.75427,1.48209,0.0361001,0.486135,1.27205,0.179993,-1.15293,1.24938,0.0227474,All
-2.86746,0.746811,0.358027,0.0546302,69.8782,0.72886,-4.74512,1.98701,0.0519079,0.504119,1.3725,0.203775,-1.1447,1.79585,0.0351813,All
-2.83736,0.761962,0.380741,0.0552688,63.0909,0.771339,-4.73596,2.58697,0.0727785,0.522102,1.46967,0.229337,-1.13646,2.48936,0.0527141,All
-2.80726,0.774609,0.403874,0.0559074,56.0336,0.809382,-4.7268,3.27079,0.0995392,0.540085,1.5618,0.256604,-1.12823,3.32773,0.0765585,All
-2.77716,0.784617,0.427348,0.056546,48.9821,0.842907,-4.71765,4.01587,0.132863,0.558068,1.64714,0.285469,-1.12,4.28993,0.107835,All
-2.74706,0.791879,0.451081,0.0571846,42.1667,0.871993,-4.70849,4.78823,0.173165,0.576051,1.724,0.315794,-1.11177,5.33329,0.147401,All
-2.71695,0.796316,0.474992,0.0578232,35.7664,0.896851,-4.69934,5.54419,0.220499,0.594035,1.79077,0.347414,-1.10354,6.39415,0.195677,All
-2.68685,0.797882,0.498992,0.0584618,29.907,0.917789,-4.69018,6.23402,0.274492,0.612018,1.84605,0.380133,-1.09531,7.39287,0.252487,All
-2.65675,0.796559,0.522997,0.0591004,24.6646,0.93518,-4.68102,6.80715,0.334304,0.630001,1.88863,0.413734,-1.08708,8.243,0.316965,All
-2.62665,0.79236,0.546918,0.059739,20.0715,0.949429,-4.67187,7.21823,0.398653,0.647984,1.91755,0.447978,-1.07885,8.8634,0.387546,All
-2.59655,0.785333,0.57067,0.0603776,16.1244,0.960953,-4.66271,7.43298,0.465887,0.665968,1.93218,0.482616,-1.07062,9.1909,0.462062,All
-2.56645,0.775552,0.594168,0.0610162,12.793,0.970154,-4.65355,7.43298,0.534113,0.683951,1.93218,0.517384,-1.06239,9.1909,0.537938,All
-2.53635,0.763122,0.617333,0.0616548,10.0283,0.977412,-4.6444,7.21823,0.601347,0.701934,1.91755,0.552022,-1.05416,8.8634,0.612454,All
-2.50625,0.748175,0.640085,0.0622934,7.76995,0.98307,-4.63524,6.80715,0.665696,0.719917,1.88863,0.586266,-1.04593,8.243,0.683035,All
-2.47615,0.730867,0.66235,0.062932,5.95267,0.98743,-4.62609,6.23402,0.725508,0.7379,1.84605,0.619867,-1.0377,7.39287,0.747513,All
-2.44605,0.711376,0.684062,0.0635706,4.51094,0.990753,-4.61693,5.54419,0.779501,0.755884,1.79077,0.652586,-1.02947,6.39415,0.804323,All
-2.41595,0.6899,0.705157,0.0642092,3.3825,0.993258,-4.60777,4.78823,0.826835,0.773867,1.724,0.684206,-1.02124,5.33329,0.852599,All
-2.38584,0.666652,0.725578,0.0648478,2.51056,0.995127,-4.59862,4.01587,0.867137,0.79185,1.64714,0.714531,-1.013,4.28993,0.892165,All
-2.35574,0.641857,0.745275,0.0654864,1.84506,0.996508,-4.58946,3.27079,0.900461,0.809833,1.5618,0.743396,-1.00477,3.32773,0.923441,All
-2.32564,0.615749,0.764205,0.066125,1.34305,0.997519,-4.5803,2.58697,0.927222,0.827816,1.46967,0.770663,-0.996543,2.48936,0.947286,All
-2.29554,0.588565,0.782333,0.0667636,0.968609,0.998251,-4.57115,1.98701,0.948092,0.8458,1.3725,0.796225,-0.988313,1.79585,0.964819,All
-2.26544,0.560547,0.79963,0.0674022,0.69232,0.998777,-4.56199,1.48209,0.9639,0.863783,1.27205,0.820007,-0.980082,1.24938,0.977253,All
