rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_w,data
3,43,1.510793,-0.030740,0.040523,0.000000,-0.030532,0.000000,-2.466873,0.460717,thai
4,43,0.900827,0.004888,-0.000168,0.000000,-0.102090,0.000000,-2.428382,0.328015,thai
5,43,0.696857,0.018875,0.094295,0.000000,-0.162803,0.000000,-2.525060,-0.409539,thai
6,43,1.433143,-0.030262,0.030740,0.000000,-0.114060,0.000000,-2.868561,0.393518,thai
7,43,1.348971,0.009114,0.117714,0.000000,-0.032414,0.000000,-2.698685,0.423639,thai
8,43,0.726318,-0.081370,0.155241,0.000000,-0.068125,0.000000,-2.551217,0.137214,thai
9,43,3.143592,-0.097198,0.007011,0.000000,0.098259,0.000000,-2.832504,-0.767692,thai
10,43,3.243999,-0.041995,-0.117242,0.000000,0.008103,0.000000,-2.725772,-0.170213,thai
1,44,-0.947232,0.086196,-0.054979,0.000000,0.090217,0.000000,1.902591,0.841731,thai
2,44,-4.029824,0.017469,0.030287,0.000000,0.054571,0.000000,1.321847,0.627127,thai
3,44,0.188639,-0.094872,0.033035,0.000000,0.113589,0.000000,0.375582,0.791216,thai
4,44,-2.010566,0.065661,0.071147,0.000000,0.037294,0.000000,-0.478178,0.446547,thai
5,44,-5.279966,0.039031,-0.000156,0.000000,-0.020158,0.000000,2.988944,0.636013,thai
6,44,0.818003,0.058027,0.087442,0.000000,0.110411,0.000000,1.042977,0.667411,thai
7,44,-1.384799,0.028322,-0.139102,0.000000,0.131431,0.000000,-0.544082,0.528487,thai
8,44,1.388391,-0.001712,-0.061486,0.000000,0.143687,0.000000,-0.164784,0.458450,thai
9,44,-1.021416,0.103720,0.088444,0.000000,0.030023,0.000000,0.046460,0.564069,thai
10,44,2.197088,0.051987,-0.052171,0.000000,0.105894,0.000000,3.607838,0.964206,thai
1,45,2.186405,-0.048604,0.065687,0.000000,-0.015680,0.000000,-0.391232,0.234032,thai
2,45,2.781801,-0.023761,0.091564,0.000000,0.044158,0.000000,-0.287788,-0.199362,thai
3,45,2.721646,0.074736,0.038489,0.000000,-0.039330,0.000000,0.008716,-0.149565,thai
4,45,2.298241,-0.092151,0.090640,0.000000,-0.006265,0.000000,-0.110413,0.048739,thai
5,45,2.122080,0.034632,-0.002094,0.000000,-0.024535,0.000000,4.496782,-0.270069,thai
6,45,2.045174,-0.018649,0.033637,0.000000,0.013128,0.000000,0.263722,-0.330152,thai
7,45,1.896707,0.054038,-0.115037,0.000000,-0.069467,0.000000,1.066933,-0.002893,thai
8,45,1.636392,-0.064048,0.119861,0.000000,0.060998,0.000000,1.429029,-0.471231,thai
9,45,2.662280,-0.066211,0.075754,0.000000,0.001981,0.000000,-0.291547,-0.136737,thai
10,45,1.209005,0.001261,0.269718,0.000000,0.014322,0.000000,-1.032356,-0.760346,thai
1,46,-1.412754,-0.066472,-0.138161,0.000000,-0.061705,0.000000,-1.895842,0.331401,thai
2,46,-1.371973,0.012891,-0.150885,0.000000,-0.193517,0.000000,-2.095841,0.095937,thai
3,46,-1.332596,0.040357,0.086084,0.000000,-0.029543,0.000000,1.321690,1.168722,thai
4,46,0.746940,0.007452,0.262039,0.000000,0.091438,0.000000,-1.946746,0.166725,thai
5,46,-0.121549,-0.058948,0.162985,0.000000,0.097078,0.000000,0.831195,0.466461,thai
6,46,1.012007,0.123255,0.071109,0.000000,0.079981,0.000000,0.173810,0.985431,thai
7,46,0.518025,0.036060,-0.146899,0.000000,-0.056765,0.000000,-0.593611,0.527702,thai
8,46,0.571083,-0.015670,-0.132390,0.000000,0.039375,0.000000,2.253929,0.139117,thai
9,46,2.618087,0.104824,-0.120616,0.000000,0.059647,0.000000,3.995580,1.101813,thai
10,46,-1.987600,0.029376,-0.089330,0.000000,-0.031117,0.000000,-0.427017,0.221944,thai
1,47,2.078620,-0.004970,0.031169,0.000000,-0.002860,0.000000,-1.593257,0.468648,thai
2,47,2.964412,-0.070341,0.127534,0.000000,0.089040,0.000000,-0.270121,0.544817,thai
3,47,2.204241,0.030933,0.233195,0.000000,0.071252,0.000000,1.270140,0.442430,thai
4,47,2.491872,0.001796,-0.012934,0.000000,0.020823,0.000000,-1.310756,0.196090,thai
5,47,1.499137,-0.103960,0.208344,0.000000,0.058969,0.000000,-0.095546,0.572571,thai
6,47,0.631305,0.097197,0.000758,0.000000,-0.091601,0.000000,0.919461,0.361355,thai
7,47,1.930758,0.044405,-0.041630,0.000000,-0.117991,0.000000,2.172006,0.585508,thai
8,47,2.298289,0.023253,-0.049249,0.000000,-0.071813,0.000000,0.564263,0.608576,thai
9,47,1.397110,-0.041452,-0.059553,0.000000,-0.081763,0.000000,2.549444,0.509887,thai
10,47,2.029414,0.024325,-0.084363,0.000000,-0.050447,0.000000,-1.232157,0.256497,thai
1,48,3.057472,-0.014457,-0.049435,0.000000,-0.007149,0.000000,-1.692213,0.690905,thai
2,48,-0.716076,-0.036000,-0.086992,0.000000,-0.065598,0.000000,2.024982,0.060092,thai
3,48,0.224365,0.021389,0.274751,0.000000,-0.011715,0.000000,-1.023980,0.092404,thai
4,48,-0.604510,-0.048381,0.071604,0.000000,-0.068423,0.000000,-1.407772,-0.396789,thai
5,48,-1.979731,0.016470,0.032043,0.000000,-0.156342,0.000000,1.621959,0.469120,thai
6,48,1.378829,0.004727,0.066493,0.000000,-0.084263,0.000000,0.713565,0.660935,thai
7,48,2.136872,-0.038488,-0.009219,0.000000,-0.034220,0.000000,-0.940202,0.714223,thai
8,48,0.885585,0.001013,0.119391,0.000000,-0.071181,0.000000,-1.098852,0.461587,thai
9,48,0.206689,-0.134833,-0.004701,0.000000,-0.064504,0.000000,0.805837,0.589994,thai
10,48,1.736495,0.014928,-0.020571,0.000000,-0.040507,0.000000,1.291084,0.549077,thai
1,49,4.265847,0.116226,0.058971,0.000000,0.011770,0.000000,2.928658,-0.610416,thai
2,49,3.981169,-0.004044,-0.005768,0.000000,0.032567,0.000000,2.723091,-0.597924,thai
3,49,3.546568,-0.031433,0.037378,0.000000,0.025328,0.000000,3.495433,-1.037894,thai
4,49,4.712210,0.055574,0.035147,0.000000,0.023688,0.000000,0.817492,-0.345616,thai
5,49,4.040580,0.118040,0.122494,0.000000,0.024223,0.000000,1.655738,-0.781097,thai
6,49,4.220122,-0.061775,0.143128,0.000000,0.088861,0.000000,1.029936,-0.945468,thai
7,49,3.923324,0.014861,0.016222,0.000000,-0.000312,0.000000,1.156884,-0.715896,thai
8,49,3.493834,-0.003241,0.069748,0.000000,0.035019,0.000000,3.505710,-0.914931,thai
9,49,4.290268,-0.043991,0.104397,0.000000,0.103214,0.000000,2.628845,-0.786156,thai
10,49,4.251421,-0.047590,-0.188747,0.000000,-0.040062,0.000000,1.586966,-0.466018,thai
1,50,3.802790,0.029186,0.130122,0.000000,0.044990,0.000000,-1.821768,-0.659496,thai
2,50,3.774139,0.002822,0.141727,0.000000,0.062672,0.000000,-2.014029,0.248111,thai
3,50,3.211729,0.043687,0.048628,0.000000,-0.037944,0.000000,-2.312321,-0.379154,thai
4,50,4.263589,-0.018340,-0.049057,0.000000,0.046405,0.000000,-1.415435,0.615906,thai
5,50,3.816481,0.005558,0.173609,0.000000,-0.002724,0.000000,1.881157,1.217794,thai
6,50,3.130027,0.024995,-0.016087,0.000000,-0.112253,0.000000,-1.682840,0.351166,thai
7,50,3.840836,-0.023033,-0.002488,0.000000,-0.011910,0.000000,-2.163019,0.061657,thai
8,50,4.451051,-0.032627,-0.083170,0.000000,0.099601,0.000000,-0.211851,1.512665,thai
9,50,3.896180,0.043754,0.013844,0.000000,0.055422,0.000000,-2.386949,-0.311767,thai
10,50,3.642465,-0.050479,0.025594,0.000000,0.028511,0.000000,-1.761979,0.208181,thai
1,51,1.076447,-0.055365,-0.055405,0.000000,-0.033372,0.000000,-0.326059,0.267551,thai
2,51,-3.845409,-0.103192,0.215563,0.000000,-0.013242,0.000000,-1.404239,-0.431321,thai
3,51,-0.923303,-0.021605,0.035432,0.000000,-0.108363,0.000000,-1.217317,0.305948,thai
4,51,-1.718276,0.056666,-0.091557,0.000000,-0.099965,0.000000,1.010569,0.298647,thai
5,51,0.627677,-0.004149,0.026994,0.000000,0.001234,0.000000,0.262660,0.230099,thai
6,51,-1.030860,0.047786,0.118623,0.000000,-0.018905,0.000000,0.205890,0.034104,thai
7,51,-1.085870,0.043925,0.121604,0.000000,-0.076990,0.000000,-0.868992,0.340305,thai
8,51,-3.063943,-0.017593,0.032246,0.000000,-0.073717,0.000000,0.771297,-0.179435,thai
9,51,-1.127400,-0.078663,0.003035,0.000000,-0.040607,0.000000,-0.843392,-0.047762,thai
10,51,-1.414560,0.138445,0.153434,0.000000,-0.070046,0.000000,0.183750,0.154203,thai
1,1,-0.003296,-0.098486,-0.017111,0.000000,-0.032032,0.000000,-1.626772,-0.288281,africa
2,1,-3.432187,0.003011,0.139382,0.000000,-0.019557,0.000000,2.294218,-0.174035,africa
3,1,-1.422476,-0.048678,0.297228,0.000000,0.036961,0.000000,1.161183,0.549037,africa
4,1,-2.447955,-0.042779,0.374768,0.000000,0.013591,0.000000,-0.915327,-0.224091,africa
5,1,-3.500407,-0.016226,0.040757,0.000000,-0.067890,0.000000,-1.638221,-0.747078,africa
6,1,1.554348,0.007266,-0.039577,0.000000,-0.003102,0.000000,-1.321118,0.276402,africa
7,1,-1.946631,-0.027892,0.020978,0.000000,-0.073701,0.000000,1.014030,-0.066239,africa
8,1,-1.711003,0.046030,-0.021341,0.000000,-0.090483,0.000000,0.153831,-0.223109,africa
9,1,-0.267145,-0.044406,0.339131,0.000000,0.083264,0.000000,0.775422,0.359343,africa
10,1,-1.363724,-0.092371,0.001547,0.000000,-0.012067,0.000000,1.649767,0.318608,africa
1,2,0.476796,-0.132794,0.022942,0.000000,-0.016448,0.000000,-1.743127,-0.968227,africa
2,2,1.680857,-0.123847,-0.077508,0.000000,0.023170,0.000000,-1.204164,-0.924663,africa
3,2,1.176431,-0.108045,0.083169,0.000000,-0.006292,0.000000,-0.948002,0.829733,africa
4,2,0.696812,-0.032908,0.010715,0.000000,-0.051867,0.000000,3.296059,0.547630,africa
5,2,1.231292,-0.063863,0.148686,0.000000,-0.021458,0.000000,-1.406897,-0.223693,africa
6,2,1.265555,-0.076924,0.039132,0.000000,0.005909,0.000000,2.779974,0.706073,africa
7,2,1.083028,-0.027157,0.002881,0.000000,-0.023265,0.000000,1.159336,0.394389,africa
8,2,0.854558,0.011084,-0.051058,0.000000,-0.066756,0.000000,-1.375078,-0.208105,africa
9,2,1.449669,-0.025386,0.003056,0.000000,-0.031100,0.000000,1.280612,0.919314,africa
10,2,0.593669,-0.042393,-0.050731,0.000000,-0.044785,0.000000,2.374094,0.128563,africa
1,3,-0.906715,-0.065797,-0.001896,0.000000,-0.120562,0.000000,-2.073250,-0.969900,africa
2,3,2.705440,-0.018627,-0.045968,0.000000,0.026408,0.000000,-1.289649,0.231337,africa
3,3,1.995437,-0.018481,0.143983,0.000000,0.034072,0.000000,-1.818685,0.030828,africa
4,3,0.623775,0.009565,-0.118966,0.000000,-0.095325,0.000000,-1.883677,0.178249,africa
5,3,2.117322,-0.003971,-0.001490,0.000000,-0.101523,0.000000,-0.687739,0.863565,africa
6,3,0.315465,-0.030447,0.253970,0.000000,0.013599,0.000000,-1.958188,-0.314286,africa
7,3,3.102837,-0.101235,-0.020271,0.000000,0.094102,0.000000,-2.185394,0.803839,africa
8,3,-0.511343,0.030924,-0.063148,0.000000,-0.055001,0.000000,0.070947,0.681715,africa
9,3,-0.602931,0.022992,0.027758,0.000000,-0.105231,0.000000,-1.552690,0.513191,africa
10,3,-0.683820,-0.027354,0.139593,0.000000,-0.027083,0.000000,0.586438,0.817862,africa
1,4,3.615038,-0.014111,-0.062576,0.000000,0.102433,0.000000,0.378269,0.007604,africa
2,4,2.998702,0.036510,-0.169663,0.000000,0.072923,0.000000,0.807148,0.132373,africa
3,4,-2.880997,0.063907,0.098809,0.000000,0.010818,0.000000,-1.036721,-0.914140,africa
4,4,-1.187772,0.026159,0.021148,0.000000,0.030315,0.000000,-0.395155,-0.050931,africa
5,4,2.969980,0.038634,-0.117344,0.000000,0.055280,0.000000,4.500685,0.268640,africa
6,4,2.569168,0.084166,-0.040731,0.000000,0.053362,0.000000,1.851760,0.116377,africa
7,4,-1.047559,0.017180,-0.081096,0.000000,0.019053,0.000000,0.319227,-0.091978,africa
8,4,-3.961675,0.008257,-0.016661,0.000000,0.014898,0.000000,1.636729,-0.077764,africa
9,4,2.878676,0.067984,-0.017514,0.000000,0.106243,0.000000,0.246431,0.170743,africa
10,4,-2.280162,-0.007193,0.022944,0.000000,0.062925,0.000000,-0.376698,-0.104245,africa
1,5,-2.083368,-0.037121,-0.126398,0.000000,0.004434,0.000000,-1.915690,0.396310,africa
2,5,1.131146,-0.018415,0.039234,0.000000,0.184351,0.000000,-1.454932,-0.500157,africa
3,5,-2.075603,0.087920,-0.004339,0.000000,-0.102411,0.000000,-0.221996,0.416205,africa
4,5,-0.276337,0.070743,0.250448,0.000000,0.038559,0.000000,-1.012551,0.532825,africa
5,5,-0.409166,-0.101161,-0.030338,0.000000,-0.015342,0.000000,-1.225193,0.762615,africa
6,5,-0.743697,0.035365,-0.061574,0.000000,-0.059268,0.000000,1.838038,0.711230,africa
7,5,-0.946180,0.006084,0.044759,0.000000,-0.053666,0.000000,-0.933204,0.559445,africa
8,5,1.401887,0.014049,0.004399,0.000000,0.084349,0.000000,2.026555,0.941625,africa
9,5,1.102360,-0.056793,0.089290,0.000000,0.088027,0.000000,-0.974344,0.432060,africa
