,0
381,-12.832676730058015
382,-13.6542564675191
383,-31.628312200781025
384,-23.340729421018636
385,15.013547315117263
386,-13.474456876877124
387,-30.923224152728476
388,-29.08502103062345
389,23.497418971985564
390,-15.800795334956721
391,-31.897304067392046
392,-30.178282285800574
393,-13.192188246496505
394,-17.01277985286478
395,-25.498147008841322
396,-17.22746881680269
397,-12.835226687805203
398,-13.30636606347854
399,-29.846413499893266
400,-30.371326118048756
401,2.7388422984912473
402,-44.72690652363261
403,-19.646517202635238
404,-4.518239903909539
405,-35.271385708764356
406,-17.94507475467982
407,-28.86882622211428
408,0.8817901290466872
409,-36.40117359496264
410,-23.60655123075891
411,1.1027867275214347
412,-11.700165236059895
413,-14.76942573147261
414,-29.871283548121156
415,-28.82843988086986
416,-18.33193870333018
417,-31.9724174973028
418,-18.049999029454202
419,-14.159480319275266
420,-10.338640493820993
421,-5.686900418001777
422,-13.322711192049344
423,24.352710353761086
424,-6.2123933971393335
425,-31.84826556924719
426,-27.31979677372586
427,16.445911633926038
428,-34.188849585235346
429,-13.733002847568322
430,-18.222731946438333
431,-17.57774305331293
432,-22.736227769767137
433,-10.1640801890352
434,-13.13727741283547
435,-20.709575185523676
436,-22.293306226904654
437,-31.37062731345791
438,-10.763520966438374
439,-40.003076755707355
440,-26.50979636374453
441,-33.282875215401695
442,-34.65340555056012
443,-27.309948812874516
444,-27.352193115979723
445,9.590930482770471
446,-37.697101950454694
447,-15.65171971633907
448,-18.904912499003704
449,-30.088013683508187
450,-9.28739963871061
451,-46.67379098282437
452,27.523497493823523
453,-28.950222982693525
454,-17.782315967315387
455,-9.091954628076934
456,-29.693693863665633
457,-12.082350539392424
458,-38.168167911331516
459,-17.544081317490324
460,7.622166831970421
461,2.600604719874656
462,-10.47468866306971
463,-10.944005784788732
464,-27.20883029986809
465,-12.861645839876275
466,-33.66360375189141
467,-37.641471563892075
468,-23.698356752633902
469,-10.655284695510314
470,-31.384487735263768
471,-8.053178916073293
472,-24.283588062305387
473,-13.53212425404438
474,-14.355716653307374
475,27.696645125634173
476,18.33351934564007
477,-13.235795283780803
478,-22.66707629668328
479,-17.013772391135298
480,-36.24600487375538
481,-22.483254800497196
482,-19.282675044070203
483,-6.642910862635787
484,-24.194944358202964
485,-11.567414318035716
486,-14.501016228251645
487,-13.189947036992463
488,-19.99850470932588
489,-8.556222829453983
490,-22.577370575317193
491,15.734603046792438
492,-11.549351859356193
493,-21.261151931490456
494,-18.622712156553334
495,19.616874688028577
496,23.031074361859535
497,-11.384493042434123
498,-18.130943185719588
499,-11.39695631392653
500,-13.924726606675522
501,-12.196243675157078
502,-27.648056509796405
503,-8.833105745828512
504,-3.961477191936833
505,-34.041045355167526
506,-20.68169334065119
507,-10.555877726783361
508,-10.000498593969358
509,-27.963751023367628
510,-25.060621356511835
511,-6.903495472815965
512,25.23766783844369
513,-25.79126856467964
514,-22.326197100614547
515,-18.159707867076932
516,-40.726265239435286
517,-22.479169558045545
518,-8.745369355988068
519,-7.615447252245474
520,-15.50662180919755
521,-31.96224388385641
522,-16.159226987897505
523,-4.351327340134201
524,5.201118237879495
525,17.356654310780048
526,14.623038341907376
527,-16.52090937777037
528,-16.205556891220297
529,-38.03351825062147
530,-8.8341714672029
531,-10.517792917436989
532,-11.159872250812839
533,-16.148464929867835
534,-33.53775109426209
535,-37.34426986239018
536,11.970652134476381
537,-14.183265842300923
538,-15.827787863372112
539,-37.71948032037011
540,-18.6852849081887
541,-10.252521799873097
542,-13.313529287017117
543,-29.637545345529887
544,-28.003746967135402
545,-15.840111208891976
546,-27.06042505365854
547,0.4670989012891358
548,-26.817217516682554
549,-40.06229384009218
550,-29.946969971887118
551,-18.106001119055314
552,-30.555217120111458
553,-7.380346749344476
554,-23.274927392725687
555,-20.84237215603291
556,-18.26926040083533
557,-38.11621462942732
558,-20.655533111486463
559,-20.785894112521046
560,-14.703343638337401
561,-19.54414836303156
562,-10.40327732380846
563,-20.647606318621538
564,13.551764872927514
565,-22.858396121307486
566,-25.16606912184134
567,-32.4167242775751
568,-19.726380587888173
569,-24.709065684780885
570,25.941525891189034
571,-29.53053791165658
