iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
64,742.001,1,0.345056,14.6272,0.0331049,0.178636,0.0134323,-10.6986,-4.73139,1.42365,-4.27745,1.87838,0.0432482,1.50742,0.0357106,4.02576,0.00843707,0.445561,0.502506,0.700654
65,755.961,1,0.34489,14.6212,0.0323851,0.185281,0.0134972,-11.004,-4.73152,1.4223,-4.25894,1.82623,0.0421531,1.46925,0.0348064,4.04634,0.00841198,0.45282,0.501103,0.731721
66,756.913,1,0.312909,14.5614,0.0409582,0.185944,0.0135138,-10.7963,-4.73078,1.38002,-4.23474,1.79177,0.0410858,1.45268,0.0339251,3.94389,0.00829181,0.457465,0.488414,0.769183
67,721.67,1,0.297378,14.4659,0.0438646,0.191382,0.0135103,-10.9205,-4.73156,1.41878,-4.24697,1.83522,0.0400455,1.4159,0.0330661,3.9821,0.00808185,0.445882,0.476048,0.749707
68,714.581,1,0.278441,14.4032,0.0451097,0.169913,0.01354,-10.8994,-4.73125,1.42097,-4.24815,1.84138,0.0390315,1.38004,0.0345077,4.11124,0.0081027,0.473413,0.463994,0.730724
69,739.179,1,0.306472,14.4206,0.0428193,0.153075,0.0135102,-11.2444,-4.73115,1.37732,-4.38352,1.89297,0.0380432,1.3451,0.0336339,4.05116,0.008367,0.472547,0.452245,0.712222
70,695.736,1,0.330885,14.4141,0.0356287,0.126934,0.0134409,-10.7874,-4.73206,1.41505,-4.46033,1.90411,0.0370799,1.31104,0.0327823,4.02099,0.00815515,0.460582,0.46899,0.725263
71,714.782,1,0.300377,14.3805,0.0433324,0.136652,0.013436,-11.0715,-4.73103,1.51495,-4.41234,1.95089,0.036141,1.27785,0.0319522,4.08633,0.00794865,0.46105,0.507509,0.706899
72,738.303,1,0.338023,14.3567,0.0367961,0.153173,0.013506,-11.2154,-4.7309,1.515,-4.29797,1.93213,0.035716,1.2919,0.0311432,4.0513,0.00774739,0.455181,0.494658,0.689
73,737.534,1,0.301741,14.3717,0.043778,0.180146,0.0135055,-11.0823,-4.73158,1.46957,-4.23717,1.915,0.0358289,1.36084,0.0303546,3.94872,0.0077108,0.447004,0.497121,0.671554
74,714.947,1,0.34595,14.2159,0.035106,0.148447,0.0134537,-11.4216,-4.7315,1.47468,-4.33456,1.93347,0.0349217,1.32638,0.029586,3.89231,0.00751555,0.435686,0.575867,0.66708
75,725.448,1,0.37028,14.1559,0.0312118,0.194959,0.0133899,-11.1787,-4.73203,1.37746,-4.31109,1.90282,0.0340374,1.35917,0.0288369,3.89265,0.00762016,0.431589,0.561286,0.679073
76,714.818,1,0.44231,14.1619,0.0163112,0.206698,0.0133849,-11.3088,-4.73159,1.38376,-4.31216,1.92735,0.0331756,1.54375,0.0281566,3.91544,0.00742722,0.420661,0.547073,0.712328
77,743.231,1,0.442504,14.3151,0.0172645,0.236855,0.0133918,-11.257,-4.73304,1.36703,-4.37773,1.97029,0.0323356,1.60918,0.0274437,3.83114,0.00802934,0.41001,0.533221,0.725922
78,686.083,1,0.42972,14.3798,0.0156629,0.196177,0.0134265,-11.0145,-4.73339,1.28941,-4.38198,1.97822,0.0315168,1.56844,0.0267488,3.73413,0.00782604,0.434305,0.51972,0.721368
79,738.177,1,0.389471,14.3882,0.0257698,0.170916,0.0134391,-11.1238,-4.73343,1.33336,-4.41993,2.01215,0.0307188,1.53869,0.0260715,3.64895,0.00847837,0.533075,0.54395,0.703103
80,721.025,1,0.403983,14.4681,0.0256055,0.168149,0.0134462,-11.0894,-4.73279,1.35035,-4.34201,1.98434,0.029941,1.49973,0.0254249,3.56329,0.00826369,0.538713,0.530177,0.704349
81,698.715,1,0.392069,14.4197,0.0275544,0.147,0.0134579,-11.0096,-4.7345,1.33735,-4.3259,1.94283,0.0291828,1.46176,0.0247811,3.54117,0.00805445,0.525072,0.516753,0.690407
82,686.487,1,0.379794,14.4339,0.0250893,0.160451,0.0134778,-11.6012,-4.73509,1.41589,-4.30133,1.96572,0.0311197,1.58334,0.0241536,3.75445,0.0078505,0.551999,0.503668,0.718136
83,740.498,1,0.397735,14.4921,0.0238852,0.159768,0.0134788,-11.7926,-4.73663,1.58428,-4.29761,1.93611,0.0344185,1.55374,0.0235421,4.07349,0.00800019,0.55604,0.490915,0.778051
84,760.286,1,0.417287,14.523,0.0195442,0.158342,0.0134556,-11.4598,-4.737,1.48201,-4.33897,2.00071,0.0407814,1.5144,0.0247204,3.97035,0.00853045,0.54196,0.478485,0.847614
85,750.01,1,0.370678,14.463,0.0272566,0.17216,0.0134945,-11.3773,-4.73728,1.49378,-4.33479,2.02699,0.0401449,1.47605,0.029494,3.86982,0.00853316,0.528238,0.466369,0.963042
86,773.904,1,0.354438,14.5203,0.0328886,0.131154,0.013533,-11.2286,-4.73794,1.46671,-4.33357,1.9914,0.0411906,1.43868,0.0288812,3.77183,0.00956438,0.514862,0.45456,0.938657
87,782.246,1,0.387394,14.5977,0.0251673,0.136407,0.0135092,-11.1442,-4.73757,1.47594,-4.39251,2.00479,0.0428552,1.40225,0.029662,3.67633,0.00999812,0.501826,0.454757,0.91489
88,800.901,1,0.374372,14.6213,0.0283326,0.156577,0.0135475,-11.217,-4.73766,1.33901,-4.45327,2.03478,0.0443583,1.36675,0.0296192,4.11835,0.00974496,0.559933,0.443242,0.894866
