rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,split,color,filter
7,5,-0.94618,0.00608433,0.0447593,0,-0.0536663,0,All,#4682B4,0
8,5,1.40189,0.0140488,0.00439907,0,0.0843486,0,All,#4682B4,0
9,5,1.10236,-0.0567927,0.0892902,0,0.0880272,0,All,#4682B4,0
10,5,-2.89828,0.0554249,-0.111997,0,-0.136506,0,All,#4682B4,0
1,6,-1.381,-0.0470828,-0.160657,0,0.0486377,0,All,#4682B4,0
2,6,-1.37856,0.108737,-0.0285852,0,0.0506933,0,All,#4682B4,0
3,6,-6.41357,-0.0978019,0.00587629,0,0.0103329,0,All,#4682B4,0
4,6,-2.65763,0.0311522,-0.0508936,0,0.192344,0,All,#4682B4,0
5,6,-5.55222,0.073011,-0.118487,0,0.0883828,0,All,#4682B4,0
6,6,-3.17884,-0.0242736,0.0615198,0,0.11769,0,All,#4682B4,0
7,6,-2.26446,-0.0415096,0.102645,0,0.0559075,0,All,#4682B4,0
8,6,-7.03796,-0.0467852,-0.0356795,0,-0.0483869,0,All,#4682B4,0
9,6,-3.82881,0.0390584,0.0926489,0,0.0933985,0,All,#4682B4,0
10,6,1.23894,0.0912242,-0.290518,0,0.0216534,0,All,#4682B4,0
1,7,1.17288,0.0172718,-0.0225235,0,0.0766375,0,All,#4682B4,0
2,7,1.76102,0.105296,-0.00301042,0,0.11165,0,All,#4682B4,0
3,7,2.34867,0.10814,0.0794468,0,0.140717,0,All,#4682B4,0
4,7,1.99296,-0.0762917,0.0711019,0,0.164494,0,All,#4682B4,0
5,7,1.99296,-0.0168407,0.0449256,0,0.14481,0,All,#4682B4,0
6,7,1.55463,-0.100715,0.0375644,0,0.134803,0,All,#4682B4,0
7,7,2.242,-0.153563,0.0665384,0,0.204004,0,All,#4682B4,0
8,7,2.70933,0.0390374,0.0257126,0,0.124929,0,All,#4682B4,0
9,7,1.78387,-0.00543822,-0.00149404,0,0.106383,0,All,#4682B4,0
10,7,2.44248,0.0207991,-0.0747412,0,0.0705229,0,All,#4682B4,0
1,8,-0.0229691,-0.038988,-0.140462,0,-0.0888264,0,All,#4682B4,0
2,8,-0.214028,-0.00810772,-0.0781006,0,-0.0665905,0,All,#4682B4,0
3,8,-1.66043,-0.0157181,-0.112864,0,-0.0933276,0,All,#4682B4,0
4,8,0.555049,0.0292392,-0.168637,0,-0.150549,0,All,#4682B4,0
5,8,0.117695,0.0292254,-0.0105747,0,-0.0352823,0,All,#4682B4,0
6,8,-0.540803,-0.0785561,-0.00893079,0,-0.0268064,0,All,#4682B4,0
7,8,-1.22666,-0.0536807,-0.0579272,0,-0.0735186,0,All,#4682B4,0
8,8,-0.370755,-0.0515256,-0.0400808,0,-0.058914,0,All,#4682B4,0
9,8,0.103477,0.000950709,-0.0761646,0,-0.0999805,0,All,#4682B4,0
10,8,-1.99493,-0.0186424,-0.0203389,0,-0.0845722,0,All,#4682B4,0
1,9,0.635534,0.0066589,-0.0453771,0,0.0901576,0,All,#4682B4,0
2,9,-0.783902,0.0890636,-0.0384072,0,0.00699476,0,All,#4682B4,0
3,9,-0.848917,0.019732,-0.0401163,0,0.0556591,0,All,#4682B4,0
4,9,-0.432627,0.0197082,-0.121597,0,0.0110703,0,All,#4682B4,0
5,9,-0.418956,-0.0417253,-0.0548769,0,0.0615163,0,All,#4682B4,0
6,9,-2.23758,-0.0700928,0.0729292,0,0.0918224,0,All,#4682B4,0
7,9,-1.3718,0.0435567,0.0130257,0,0.0483233,0,All,#4682B4,0
8,9,-0.689431,-0.0080318,0.0298004,0,0.0652106,0,All,#4682B4,0
9,9,-1.04341,0.0272077,-0.230799,0,-0.0410664,0,All,#4682B4,0
10,9,0.999302,0.0564452,-0.160681,0,-0.00848895,0,All,#4682B4,0
1,10,-1.21269,0.0384616,-0.0766775,0,-0.0307357,0,All,#4682B4,0
2,10,-3.56182,0.0263439,-0.0105758,0,-0.0528552,0,All,#4682B4,0
3,10,-0.69934,-0.0596942,-0.0738542,0,0.0416741,0,All,#4682B4,0
4,10,-1.20917,-0.0463662,0.0626738,0,0.0532822,0,All,#4682B4,0
5,10,-0.523871,0.0644083,-0.167373,0,-0.0118471,0,All,#4682B4,0
6,10,-2.5917,0.00225446,0.190883,0,0.067958,0,All,#4682B4,0
7,10,-0.714634,0.0643967,-0.0131969,0,-0.011014,0,All,#4682B4,0
8,10,-3.81286,-0.045516,0.144467,0,0.0222904,0,All,#4682B4,0
9,10,0.517122,-0.0625181,0.077004,0,0.0687896,0,All,#4682B4,0
