initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-15.4045,0.0980392,13.1737,0.0960784,0.0118703,0.0960784,-4.74991,0.0960784,-4.63639,0.0980392,0.837691,0.0960784,0.865673,0.0980392,0.0342068,0.0980392,All
-15.3306,0.1,13.1759,0.0980392,0.0118766,0.0980392,-4.74978,0.0980392,-4.6334,0.1,0.837933,0.0980392,0.86718,0.1,0.0347073,0.1,All
-15.3173,0.101961,13.1762,0.1,0.0118796,0.1,-4.74973,0.1,-4.62458,0.101961,0.839537,0.1,0.881764,0.101961,0.0347947,0.101961,All
-15.2801,0.103922,13.1777,0.101961,0.0118814,0.101961,-4.74972,0.101961,-4.61303,0.103922,0.841388,0.101961,0.882147,0.103922,0.0348934,0.103922,All
-15.2582,0.105882,13.1867,0.103922,0.0118931,0.103922,-4.74972,0.103922,-4.60887,0.105882,0.845739,0.103922,0.891123,0.105882,0.034947,0.105882,All
-15.2149,0.107843,13.1869,0.105882,0.0118939,0.105882,-4.74971,0.105882,-4.60532,0.107843,0.847397,0.105882,0.892252,0.107843,0.034956,0.107843,All
-15.1633,0.109804,13.1895,0.107843,0.011896,0.107843,-4.74966,0.107843,-4.59724,0.109804,0.850518,0.107843,0.901399,0.109804,0.0353402,0.109804,All
-15.1493,0.111765,13.1905,0.109804,0.0118981,0.109804,-4.74956,0.109804,-4.5909,0.111765,0.856534,0.109804,0.90374,0.111765,0.0355594,0.111765,All
-15.1362,0.113725,13.1967,0.111765,0.0119008,0.111765,-4.74936,0.111765,-4.58855,0.113725,0.85821,0.111765,0.903831,0.113725,0.0360725,0.113725,All
-15.0881,0.115686,13.198,0.113725,0.0119083,0.113725,-4.74933,0.113725,-4.58496,0.115686,0.85867,0.113725,0.911001,0.115686,0.0363573,0.115686,All
-15.0753,0.117647,13.1987,0.115686,0.01191,0.115686,-4.74933,0.115686,-4.58276,0.117647,0.861041,0.115686,0.915552,0.117647,0.0366546,0.117647,All
-15.0401,0.119608,13.2006,0.117647,0.0119162,0.117647,-4.74933,0.117647,-4.58155,0.119608,0.863673,0.117647,0.918397,0.119608,0.0367639,0.119608,All
-14.9821,0.121569,13.2031,0.119608,0.0119178,0.119608,-4.74919,0.119608,-4.57969,0.121569,0.864978,0.119608,0.919462,0.121569,0.0369868,0.121569,All
-14.9526,0.123529,13.2075,0.121569,0.0119212,0.121569,-4.74907,0.121569,-4.57278,0.123529,0.865512,0.121569,0.919993,0.123529,0.0377572,0.123529,All
-14.9344,0.12549,13.2086,0.123529,0.0119253,0.123529,-4.74906,0.123529,-4.56503,0.12549,0.869057,0.123529,0.921787,0.12549,0.0379989,0.12549,All
-14.8697,0.127451,13.209,0.12549,0.0119283,0.12549,-4.74903,0.12549,-4.56117,0.127451,0.872562,0.12549,0.923456,0.127451,0.0382626,0.127451,All
-14.8689,0.129412,13.2092,0.127451,0.0119304,0.127451,-4.74897,0.127451,-4.5598,0.129412,0.876485,0.127451,0.928564,0.129412,0.0382772,0.129412,All
-14.7172,0.131373,13.211,0.129412,0.0119339,0.129412,-4.74891,0.129412,-4.55892,0.131373,0.87705,0.129412,0.940164,0.131373,0.0383791,0.131373,All
-14.6894,0.133333,13.2123,0.131373,0.0119354,0.131373,-4.74891,0.131373,-4.55808,0.133333,0.880583,0.131373,0.946814,0.133333,0.0385577,0.133333,All
-14.6862,0.135294,13.2124,0.133333,0.0119376,0.133333,-4.74887,0.133333,-4.55319,0.135294,0.881561,0.133333,0.947194,0.135294,0.0386646,0.135294,All
-14.5725,0.137255,13.2145,0.135294,0.0119405,0.135294,-4.74883,0.135294,-4.54878,0.137255,0.884851,0.135294,0.953064,0.137255,0.0387086,0.137255,All
-14.5572,0.139216,13.2149,0.137255,0.0119405,0.137255,-4.74881,0.137255,-4.54587,0.139216,0.884928,0.137255,0.955162,0.139216,0.038833,0.139216,All
-14.5259,0.141176,13.2192,0.139216,0.0119417,0.139216,-4.74861,0.139216,-4.54545,0.141176,0.890773,0.139216,0.956714,0.141176,0.038834,0.141176,All
-14.4855,0.143137,13.221,0.141176,0.0119489,0.141176,-4.7485,0.141176,-4.53642,0.143137,0.890845,0.141176,0.979941,0.143137,0.0390401,0.143137,All
-14.4593,0.145098,13.2219,0.143137,0.0119506,0.143137,-4.74846,0.143137,-4.5311,0.145098,0.891151,0.143137,0.988111,0.145098,0.0392651,0.145098,All
