initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lk_abscissa,lk_pdf,lk_cdf,lae_abscissa,lae_pdf,lae_cdf,lw_abscissa,lw_pdf,lw_cdf,dE_abscissa,dE_pdf,dE_cdf,split
-19.1272,0.00535336,0.006212,11.5732,9.7478e-20,0,0.0101709,2.31863e-06,1.12041e-10,-4.85482,2.64148e-50,0,-4.96301,0.110958,0.0237423,0.50684,0.00921759,0.000399121,0.46452,0.0847944,0.0198964,1.22135,0.0806357,0.933413,All
-18.9061,0.00632303,0.00750035,11.6403,2.96138e-18,0,0.0102586,1.29326e-05,6.57884e-10,-4.85141,2.74941e-47,0,-4.93409,0.124107,0.0271387,0.522502,0.01283,0.000570361,0.49847,0.0957002,0.0229575,1.29668,0.070848,0.939107,All
-18.685,0.00743438,0.00901849,11.7075,7.70526e-17,0,0.0103464,6.5849e-05,3.53122e-09,-4.84799,2.31844e-44,0,-4.90517,0.138359,0.0309314,0.538164,0.01768,0.000807455,0.53242,0.107624,0.0264059,1.37201,0.0625854,0.944125,All
-18.4639,0.00870132,0.0107993,11.7746,1.72144e-15,0,0.0104341,0.000306742,1.7366e-08,-4.84457,1.58386e-41,0,-4.87625,0.153741,0.0351524,0.553826,0.0241206,0.00113246,0.566369,0.120603,0.030277,1.44734,0.0555593,0.948567,All
-18.2428,0.0101379,0.0128787,11.8418,3.31047e-14,7.77156e-16,0.0105219,0.00131001,7.84241e-08,-4.84116,8.76601e-39,0,-4.84733,0.170273,0.039835,0.569488,0.0325792,0.00157353,0.600319,0.134666,0.0346071,1.52267,0.0495447,0.95252,All
-18.0217,0.0117579,0.0152958,11.9089,5.49342e-13,1.32117e-14,0.0106096,0.00513985,3.25928e-07,-4.83774,3.93052e-36,0,-4.81841,0.187964,0.0450124,0.58515,0.0435654,0.00216614,0.634269,0.149833,0.0394333,1.598,0.0443648,0.956053,All
-17.8006,0.0135748,0.0180926,11.9761,7.88473e-12,2.00173e-13,0.0106974,0.0185636,1.24926e-06,-4.83432,1.42778e-33,0,-4.78949,0.206811,0.0507181,0.600812,0.0576756,0.00295445,0.668218,0.166115,0.0447933,1.67332,0.0398786,0.959222,All
-17.5795,0.0156011,0.021314,12.0432,9.81164e-11,2.62923e-12,0.0107851,0.0618372,4.42538e-06,-4.83091,4.20183e-31,0,-4.76057,0.226802,0.0569855,0.616474,0.0755944,0.00399263,0.702168,0.183511,0.050725,1.74865,0.0359733,0.962075,All
-17.3584,0.0178485,0.0250077,12.1104,1.06097e-09,3.00766e-11,0.0108728,0.19034,1.45184e-05,-4.82749,1.00179e-28,0,-4.73165,0.247909,0.0638473,0.632136,0.0980925,0.00534625,0.736118,0.202007,0.057266,1.82398,0.0325574,0.964653,All
-17.1373,0.0203268,0.0292236,12.1775,9.99192e-09,3.00333e-10,0.0109606,0.542373,4.42018e-05,-4.82407,1.93501e-26,0,-4.70273,0.27009,0.0713352,0.647798,0.126017,0.00709358,0.770067,0.221576,0.0644533,1.89931,0.0295563,0.966991,All
