initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.880855,0.173469,-1.12195,0.173469,-1.10462,0.173469,-0.916167,0.173469,-1.14324,0.173469,All
-0.877811,0.17551,-1.11794,0.17551,-1.09482,0.17551,-0.910169,0.17551,-1.14318,0.17551,All
-0.873789,0.177551,-1.11739,0.177551,-1.08176,0.177551,-0.908816,0.177551,-1.14245,0.177551,All
-0.86761,0.179592,-1.10447,0.179592,-1.07408,0.179592,-0.905197,0.179592,-1.13967,0.179592,All
-0.859855,0.181633,-1.10386,0.181633,-1.0738,0.181633,-0.90169,0.181633,-1.13884,0.181633,All
-0.856694,0.183673,-1.0947,0.183673,-1.06993,0.183673,-0.897601,0.183673,-1.13279,0.183673,All
-0.837448,0.185714,-1.09307,0.185714,-1.05617,0.185714,-0.888241,0.185714,-1.11995,0.185714,All
-0.836996,0.187755,-1.06901,0.187755,-1.03897,0.187755,-0.888063,0.187755,-1.11419,0.187755,All
-0.8359,0.189796,-1.06115,0.189796,-1.01805,0.189796,-0.882185,0.189796,-1.11374,0.189796,All
-0.829336,0.191837,-1.04994,0.191837,-1.0163,0.191837,-0.879044,0.191837,-1.09196,0.191837,All
-0.814574,0.193878,-1.03745,0.193878,-1.01435,0.193878,-0.876034,0.193878,-1.08152,0.193878,All
-0.811698,0.195918,-1.03634,0.195918,-0.994346,0.195918,-0.874137,0.195918,-1.07544,0.195918,All
-0.806648,0.197959,-1.02948,0.197959,-0.990948,0.197959,-0.870384,0.197959,-1.07415,0.197959,All
-0.806064,0.2,-1.02904,0.2,-0.964115,0.2,-0.869721,0.2,-1.06264,0.2,All
-0.803204,0.202041,-1.02545,0.202041,-0.948557,0.202041,-0.869113,0.202041,-1.0623,0.202041,All
-0.802749,0.204082,-1.0091,0.204082,-0.928476,0.204082,-0.856556,0.204082,-1.04782,0.204082,All
-0.785854,0.206122,-0.990745,0.206122,-0.91909,0.206122,-0.855446,0.206122,-1.04434,0.206122,All
-0.78245,0.208163,-0.989335,0.208163,-0.9171,0.208163,-0.854832,0.208163,-1.03755,0.208163,All
-0.777322,0.210204,-0.984549,0.210204,-0.912197,0.210204,-0.849508,0.210204,-1.00776,0.210204,All
-0.773151,0.212245,-0.982234,0.212245,-0.906191,0.212245,-0.845919,0.212245,-1.00657,0.212245,All
-0.770401,0.214286,-0.981949,0.214286,-0.89961,0.214286,-0.833401,0.214286,-1.00448,0.214286,All
-0.763383,0.216327,-0.974713,0.216327,-0.889475,0.216327,-0.822744,0.216327,-1.00101,0.216327,All
-0.762041,0.218367,-0.973988,0.218367,-0.887387,0.218367,-0.815996,0.218367,-0.994968,0.218367,All
-0.759229,0.220408,-0.945292,0.220408,-0.883983,0.220408,-0.807413,0.220408,-0.975385,0.220408,All
-0.756126,0.222449,-0.942844,0.222449,-0.870417,0.222449,-0.796936,0.222449,-0.970178,0.222449,All
-0.755578,0.22449,-0.910342,0.22449,-0.868689,0.22449,-0.786158,0.22449,-0.96692,0.22449,All
-0.751824,0.226531,-0.90219,0.226531,-0.86749,0.226531,-0.78231,0.226531,-0.943102,0.226531,All
-0.728246,0.228571,-0.893774,0.228571,-0.844279,0.228571,-0.78172,0.228571,-0.926302,0.228571,All
-0.722723,0.230612,-0.890245,0.230612,-0.842053,0.230612,-0.781489,0.230612,-0.915067,0.230612,All
-0.721774,0.232653,-0.887448,0.232653,-0.839703,0.232653,-0.779984,0.232653,-0.911766,0.232653,All
-0.707579,0.234694,-0.886942,0.234694,-0.825126,0.234694,-0.777819,0.234694,-0.9091,0.234694,All
-0.707243,0.236735,-0.879524,0.236735,-0.811008,0.236735,-0.767116,0.236735,-0.90481,0.236735,All
-0.699711,0.238776,-0.874192,0.238776,-0.782943,0.238776,-0.762369,0.238776,-0.894145,0.238776,All
-0.697945,0.240816,-0.856945,0.240816,-0.777347,0.240816,-0.758992,0.240816,-0.877377,0.240816,All
-0.688468,0.242857,-0.84307,0.242857,-0.765029,0.242857,-0.757946,0.242857,-0.864355,0.242857,All
-0.68737,0.244898,-0.841296,0.244898,-0.762931,0.244898,-0.75434,0.244898,-0.859566,0.244898,All
-0.681793,0.246939,-0.839516,0.246939,-0.755725,0.246939,-0.750228,0.246939,-0.856818,0.246939,All
-0.681489,0.24898,-0.835993,0.24898,-0.738355,0.24898,-0.748043,0.24898,-0.838914,0.24898,All
-0.680315,0.25102,-0.832179,0.25102,-0.732117,0.25102,-0.74405,0.25102,-0.797575,0.25102,All
-0.669274,0.253061,-0.828663,0.253061,-0.725927,0.253061,-0.736292,0.253061,-0.795272,0.253061,All
-0.663639,0.255102,-0.827152,0.255102,-0.690072,0.255102,-0.727764,0.255102,-0.793829,0.255102,All
-0.661027,0.257143,-0.81801,0.257143,-0.688283,0.257143,-0.720201,0.257143,-0.786929,0.257143,All
-0.660444,0.259184,-0.81411,0.259184,-0.685842,0.259184,-0.709338,0.259184,-0.757391,0.259184,All
-0.645051,0.261224,-0.804077,0.261224,-0.67884,0.261224,-0.707473,0.261224,-0.75168,0.261224,All
-0.641069,0.263265,-0.797252,0.263265,-0.661509,0.263265,-0.705954,0.263265,-0.745399,0.263265,All
-0.623143,0.265306,-0.789141,0.265306,-0.660079,0.265306,-0.698639,0.265306,-0.745333,0.265306,All
-0.59501,0.267347,-0.788999,0.267347,-0.660053,0.267347,-0.697689,0.267347,-0.744992,0.267347,All
-0.590679,0.269388,-0.784869,0.269388,-0.656446,0.269388,-0.6976,0.269388,-0.743614,0.269388,All
-0.589944,0.271429,-0.782562,0.271429,-0.650887,0.271429,-0.694675,0.271429,-0.733018,0.271429,All
-0.589462,0.273469,-0.775149,0.273469,-0.641915,0.273469,-0.683098,0.273469,-0.729115,0.273469,All
-0.582176,0.27551,-0.775004,0.27551,-0.633814,0.27551,-0.678992,0.27551,-0.724822,0.27551,All
-0.58171,0.277551,-0.768783,0.277551,-0.632641,0.277551,-0.677491,0.277551,-0.706889,0.277551,All
-0.562696,0.279592,-0.765261,0.279592,-0.632563,0.279592,-0.674231,0.279592,-0.703059,0.279592,All
-0.555862,0.281633,-0.759194,0.281633,-0.62606,0.281633,-0.672483,0.281633,-0.662885,0.281633,All
-0.551715,0.283673,-0.753653,0.283673,-0.619302,0.283673,-0.666601,0.283673,-0.660079,0.283673,All
-0.550966,0.285714,-0.746227,0.285714,-0.619037,0.285714,-0.666477,0.285714,-0.654453,0.285714,All
-0.550825,0.287755,-0.737845,0.287755,-0.615466,0.287755,-0.663899,0.287755,-0.632141,0.287755,All
-0.538401,0.289796,-0.732519,0.289796,-0.614073,0.289796,-0.662763,0.289796,-0.629486,0.289796,All
-0.535066,0.291837,-0.714013,0.291837,-0.613182,0.291837,-0.657806,0.291837,-0.628985,0.291837,All
-0.526239,0.293878,-0.708165,0.293878,-0.596934,0.293878,-0.657579,0.293878,-0.627361,0.293878,All
-0.508065,0.295918,-0.705612,0.295918,-0.584976,0.295918,-0.655888,0.295918,-0.622275,0.295918,All
-0.507413,0.297959,-0.702692,0.297959,-0.562376,0.297959,-0.643375,0.297959,-0.620136,0.297959,All
-0.506788,0.3,-0.701787,0.3,-0.55841,0.3,-0.642735,0.3,-0.619294,0.3,All
-0.502098,0.302041,-0.700911,0.302041,-0.549472,0.302041,-0.631141,0.302041,-0.599376,0.302041,All
-0.501835,0.304082,-0.699761,0.304082,-0.544334,0.304082,-0.615066,0.304082,-0.598649,0.304082,All
-0.496108,0.306122,-0.696827,0.306122,-0.544271,0.306122,-0.614925,0.306122,-0.591475,0.306122,All
-0.48965,0.308163,-0.692143,0.308163,-0.543639,0.308163,-0.611986,0.308163,-0.588499,0.308163,All
-0.484751,0.310204,-0.68817,0.310204,-0.537093,0.310204,-0.611798,0.310204,-0.588152,0.310204,All
-0.455012,0.312245,-0.687626,0.312245,-0.533892,0.312245,-0.611587,0.312245,-0.581538,0.312245,All
-0.452289,0.314286,-0.683168,0.314286,-0.519206,0.314286,-0.610943,0.314286,-0.579009,0.314286,All
-0.451626,0.316327,-0.68123,0.316327,-0.507929,0.316327,-0.604353,0.316327,-0.57467,0.316327,All
-0.449831,0.318367,-0.680009,0.318367,-0.49605,0.318367,-0.604009,0.318367,-0.572918,0.318367,All
-0.444291,0.320408,-0.66487,0.320408,-0.492678,0.320408,-0.599631,0.320408,-0.564464,0.320408,All
-0.418395,0.322449,-0.659319,0.322449,-0.483952,0.322449,-0.586504,0.322449,-0.562753,0.322449,All
-0.407786,0.32449,-0.657966,0.32449,-0.483032,0.32449,-0.586309,0.32449,-0.55519,0.32449,All
-0.401425,0.326531,-0.65591,0.326531,-0.470192,0.326531,-0.5679,0.326531,-0.55461,0.326531,All
-0.399756,0.328571,-0.650056,0.328571,-0.466963,0.328571,-0.564569,0.328571,-0.55194,0.328571,All
-0.395607,0.330612,-0.64861,0.330612,-0.454403,0.330612,-0.561471,0.330612,-0.528549,0.330612,All
-0.391417,0.332653,-0.647176,0.332653,-0.446579,0.332653,-0.55595,0.332653,-0.508553,0.332653,All
-0.389282,0.334694,-0.640403,0.334694,-0.438073,0.334694,-0.548212,0.334694,-0.502085,0.334694,All
-0.38811,0.336735,-0.629279,0.336735,-0.430114,0.336735,-0.545278,0.336735,-0.50112,0.336735,All
-0.386384,0.338776,-0.6287,0.338776,-0.427777,0.338776,-0.541433,0.338776,-0.498085,0.338776,All
-0.382742,0.340816,-0.626481,0.340816,-0.419542,0.340816,-0.540649,0.340816,-0.496665,0.340816,All
-0.378463,0.342857,-0.626013,0.342857,-0.405643,0.342857,-0.529224,0.342857,-0.489335,0.342857,All
-0.360346,0.344898,-0.622872,0.344898,-0.37798,0.344898,-0.528588,0.344898,-0.484935,0.344898,All
-0.35361,0.346939,-0.615841,0.346939,-0.376475,0.346939,-0.509065,0.346939,-0.483018,0.346939,All
-0.339091,0.34898,-0.593181,0.34898,-0.366651,0.34898,-0.506461,0.34898,-0.482588,0.34898,All
