initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-1.16786,0.113725,-1.17918,0.111765,-1.2569,0.111765,-1.21731,0.111765,-1.23592,0.111765,-1.16226,0.111765,All
-1.15527,0.115686,-1.17829,0.113725,-1.2484,0.113725,-1.20573,0.113725,-1.235,0.113725,-1.15707,0.113725,All
-1.15226,0.117647,-1.16949,0.115686,-1.23132,0.115686,-1.19388,0.115686,-1.23004,0.115686,-1.15558,0.115686,All
-1.11997,0.119608,-1.16382,0.117647,-1.22012,0.117647,-1.18703,0.117647,-1.22945,0.117647,-1.14249,0.117647,All
-1.11666,0.121569,-1.14458,0.119608,-1.21281,0.119608,-1.18047,0.119608,-1.22087,0.119608,-1.13699,0.119608,All
-1.11402,0.123529,-1.13087,0.121569,-1.20925,0.121569,-1.17179,0.121569,-1.21831,0.121569,-1.13429,0.121569,All
-1.08392,0.12549,-1.12218,0.123529,-1.19625,0.123529,-1.1688,0.123529,-1.21119,0.123529,-1.13177,0.123529,All
-1.07732,0.127451,-1.08983,0.12549,-1.14785,0.12549,-1.15749,0.12549,-1.20719,0.12549,-1.12534,0.12549,All
-1.0512,0.129412,-1.07826,0.127451,-1.14679,0.127451,-1.14965,0.127451,-1.19665,0.127451,-1.12288,0.127451,All
-1.05059,0.131373,-1.07447,0.129412,-1.14211,0.129412,-1.14086,0.129412,-1.19272,0.129412,-1.11615,0.129412,All
-1.03593,0.133333,-1.04965,0.131373,-1.13244,0.131373,-1.1363,0.131373,-1.19118,0.131373,-1.11566,0.131373,All
-0.998868,0.135294,-1.04768,0.133333,-1.13069,0.133333,-1.12767,0.133333,-1.18375,0.133333,-1.1047,0.133333,All
-0.992322,0.137255,-1.04571,0.135294,-1.113,0.135294,-1.09581,0.135294,-1.183,0.135294,-1.10083,0.135294,All
-0.992081,0.139216,-1.01896,0.137255,-1.11084,0.137255,-1.08188,0.137255,-1.181,0.137255,-1.08771,0.137255,All
-0.986169,0.141176,-1.01561,0.139216,-1.10601,0.139216,-1.07792,0.139216,-1.15687,0.139216,-1.08721,0.139216,All
-0.981944,0.143137,-1.01497,0.141176,-1.09873,0.141176,-1.07762,0.141176,-1.15593,0.141176,-1.08552,0.141176,All
-0.981602,0.145098,-1.00861,0.143137,-1.09464,0.143137,-1.06176,0.143137,-1.1533,0.143137,-1.07889,0.143137,All
-0.976423,0.147059,-0.999373,0.145098,-1.09284,0.145098,-1.04595,0.145098,-1.14993,0.145098,-1.06837,0.145098,All
-0.976112,0.14902,-0.998995,0.147059,-1.08986,0.147059,-1.04583,0.147059,-1.1489,0.147059,-1.0589,0.147059,All
-0.97395,0.15098,-0.9818,0.14902,-1.08963,0.14902,-1.04382,0.14902,-1.14443,0.14902,-1.05746,0.14902,All
-0.951514,0.152941,-0.979388,0.15098,-1.07496,0.15098,-1.04075,0.15098,-1.13637,0.15098,-1.04193,0.15098,All
-0.924304,0.154902,-0.978963,0.152941,-1.07063,0.152941,-1.03948,0.152941,-1.1284,0.152941,-1.03878,0.152941,All
-0.922406,0.156863,-0.958352,0.154902,-1.0686,0.154902,-1.02068,0.154902,-1.12146,0.154902,-1.03582,0.154902,All
-0.920518,0.158824,-0.946956,0.156863,-1.06774,0.156863,-1.01884,0.156863,-1.11805,0.156863,-1.02977,0.156863,All
-0.917938,0.160784,-0.932777,0.158824,-1.06602,0.158824,-0.998066,0.158824,-1.11152,0.158824,-1.02471,0.158824,All
-0.907044,0.162745,-0.927637,0.160784,-1.0603,0.160784,-0.990593,0.160784,-1.10924,0.160784,-1.01875,0.160784,All
-0.890214,0.164706,-0.915064,0.162745,-1.05938,0.162745,-0.984879,0.162745,-1.10695,0.162745,-1.01504,0.162745,All
-0.863767,0.166667,-0.906359,0.164706,-1.03946,0.164706,-0.982838,0.164706,-1.09884,0.164706,-1.01433,0.164706,All
-0.859592,0.168627,-0.903632,0.166667,-1.03452,0.166667,-0.982522,0.166667,-1.09379,0.166667,-0.996346,0.166667,All
-0.857546,0.170588,-0.897136,0.168627,-1.02735,0.168627,-0.97805,0.168627,-1.08444,0.168627,-0.990815,0.168627,All
-0.84453,0.172549,-0.884217,0.170588,-1.01982,0.170588,-0.976688,0.170588,-1.0836,0.170588,-0.988877,0.170588,All
-0.841383,0.17451,-0.874459,0.172549,-1.01199,0.172549,-0.971145,0.172549,-1.08245,0.172549,-0.960379,0.172549,All
-0.833538,0.176471,-0.870586,0.17451,-1.01034,0.17451,-0.954209,0.17451,-1.07744,0.17451,-0.957515,0.17451,All
