initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,n_abscissa,n_pdf,n_cdf,split
-8.13273,0.0318102,0.818804,2.25816,0.00576111,0.998582,0.0579564,0.0258302,0.999419,-3.15682,0.0300837,0.993915,7.75239,0.00149425,0.99794,0.540704,0.0234261,0.997269,All
-7.75664,0.0304901,0.830519,2.28134,0.00523282,0.99871,0.0586224,0.024851,0.999435,-3.12036,0.02559,0.994928,7.83741,0.00139775,0.998063,0.54672,0.0221167,0.997406,All
-7.38055,0.0291646,0.841737,2.30451,0.00475375,0.998825,0.0592885,0.0239177,0.999452,-3.08389,0.0216793,0.995788,7.92244,0.00130794,0.998178,0.552735,0.0208878,0.997535,All
-7.00445,0.0278392,0.852457,2.32768,0.00431927,0.99893,0.0599545,0.0230277,0.999467,-3.04743,0.0182919,0.996516,8.00746,0.00122433,0.998286,0.558751,0.0197342,0.997657,All
-6.62836,0.0265194,0.862678,2.35086,0.00392517,0.999026,0.0606205,0.0221787,0.999482,-3.01097,0.0153712,0.997128,8.09248,0.00114645,0.998386,0.564767,0.0186508,0.997772,All
-6.25226,0.0252101,0.872405,2.37403,0.00356766,0.999113,0.0612865,0.0213684,0.999497,-2.9745,0.0128645,0.997642,8.1775,0.00107389,0.998481,0.570783,0.0176329,0.997882,All
-5.87617,0.0239161,0.881643,2.3972,0.0032433,0.999191,0.0619525,0.0205947,0.999511,-2.93804,0.010723,0.998071,8.26252,0.00100626,0.998569,0.576799,0.0166761,0.997985,All
-5.50008,0.0226418,0.890397,2.42038,0.00294897,0.999263,0.0626185,0.0198556,0.999524,-2.90158,0.00890175,0.998428,8.34754,0.000943202,0.998652,0.582815,0.0157766,0.998082,All
-5.12398,0.0213912,0.898677,2.44355,0.00268185,0.999328,0.0632845,0.0191492,0.999537,-2.86511,0.0073599,0.998723,8.43257,0.000884388,0.99873,0.588831,0.0149304,0.998175,All
-4.74789,0.0201681,0.906491,2.46672,0.0024394,0.999388,0.0639505,0.0184739,0.99955,-2.82865,0.00606045,0.998967,8.51759,0.000829512,0.998803,0.594847,0.0141343,0.998262,All
-4.3718,0.0189758,0.913851,2.4899,0.00221929,0.999442,0.0646165,0.017828,0.999562,-2.79219,0.00497021,0.999168,8.60261,0.000778291,0.998871,0.600862,0.0133848,0.998345,All
-3.9957,0.0178172,0.920768,2.51307,0.00201944,0.999491,0.0652826,0.01721,0.999574,-2.75572,0.00405958,0.999332,8.68763,0.000730467,0.998935,0.606878,0.0126792,0.998423,All
-3.61961,0.0166949,0.927257,2.53624,0.00183796,0.999535,0.0659486,0.0166185,0.999585,-2.71926,0.00330236,0.999466,8.77265,0.000685798,0.998995,0.612894,0.0120144,0.998497,All
