initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-19.3934,0.279592,0.62642,0.277551,0.000262882,0.279592,-4.96497,0.279592,1.10762,0.277551,0.0568107,0.277551,All
-19.3554,0.281633,0.627473,0.279592,0.000267815,0.281633,-4.96473,0.281633,1.11513,0.279592,0.0568163,0.279592,All
-19.3474,0.283673,0.628021,0.281633,0.000268643,0.283673,-4.95826,0.283673,1.11828,0.281633,0.0568988,0.281633,All
-19.3295,0.285714,0.628033,0.283673,0.000270503,0.285714,-4.95599,0.285714,1.12644,0.283673,0.0571968,0.283673,All
-19.2452,0.287755,0.628143,0.285714,0.000270604,0.287755,-4.95556,0.287755,1.12752,0.285714,0.0572008,0.285714,All
-19.1913,0.289796,0.631831,0.287755,0.000272774,0.289796,-4.95466,0.289796,1.13191,0.287755,0.0572929,0.287755,All
-19.1508,0.291837,0.632661,0.289796,0.000278757,0.291837,-4.95439,0.291837,1.13192,0.289796,0.0576466,0.289796,All
-19.1475,0.293878,0.633227,0.291837,0.000280968,0.293878,-4.95173,0.293878,1.13243,0.291837,0.0576887,0.291837,All
-19.1434,0.295918,0.633632,0.293878,0.000281103,0.295918,-4.94498,0.295918,1.13297,0.293878,0.0577663,0.293878,All
-19.0763,0.297959,0.639555,0.295918,0.00029071,0.297959,-4.94275,0.297959,1.13389,0.295918,0.0578158,0.295918,All
-18.992,0.3,0.641537,0.297959,0.000291472,0.3,-4.94107,0.3,1.1398,0.297959,0.0579615,0.297959,All
-18.7548,0.302041,0.643719,0.3,0.000291558,0.302041,-4.93354,0.302041,1.14223,0.3,0.0580371,0.3,All
-18.7317,0.304082,0.643945,0.302041,0.000299442,0.304082,-4.92056,0.304082,1.14338,0.302041,0.0581254,0.302041,All
-18.7185,0.306122,0.644422,0.304082,0.000301401,0.306122,-4.91713,0.306122,1.14364,0.304082,0.0581928,0.304082,All
-18.7036,0.308163,0.645688,0.306122,0.000301739,0.308163,-4.91379,0.308163,1.14708,0.306122,0.0584954,0.306122,All
-18.6234,0.310204,0.646064,0.308163,0.000303362,0.310204,-4.91057,0.310204,1.156,0.308163,0.0592479,0.308163,All
-18.2003,0.312245,0.646284,0.310204,0.000303615,0.312245,-4.90948,0.312245,1.16274,0.310204,0.0594822,0.310204,All
-18.1384,0.314286,0.647312,0.312245,0.000305245,0.314286,-4.89987,0.314286,1.1645,0.312245,0.0605351,0.312245,All
-18.1321,0.316327,0.647724,0.314286,0.000305505,0.316327,-4.89618,0.316327,1.17251,0.314286,0.0606083,0.314286,All
-18.0972,0.318367,0.648652,0.316327,0.000305747,0.318367,-4.88984,0.318367,1.17414,0.316327,0.0607591,0.316327,All
-18,0.320408,0.648724,0.318367,0.000313258,0.320408,-4.88713,0.320408,1.17666,0.318367,0.0608489,0.318367,All
-17.8894,0.322449,0.650002,0.320408,0.000314222,0.322449,-4.88514,0.322449,1.18133,0.320408,0.0608576,0.320408,All
-17.8781,0.32449,0.650669,0.322449,0.000315205,0.32449,-4.88491,0.32449,1.18215,0.322449,0.061014,0.322449,All
-17.862,0.326531,0.650852,0.32449,0.000316801,0.326531,-4.88428,0.326531,1.18542,0.32449,0.0610496,0.32449,All
-17.682,0.328571,0.65503,0.326531,0.000320828,0.328571,-4.88366,0.328571,1.18567,0.326531,0.0611524,0.326531,All
-17.4907,0.330612,0.655255,0.328571,0.000322004,0.330612,-4.88284,0.330612,1.18573,0.328571,0.0614027,0.328571,All
-17.4864,0.332653,0.655729,0.330612,0.000328009,0.332653,-4.8815,0.332653,1.19093,0.330612,0.0614146,0.330612,All
-17.4773,0.334694,0.657979,0.332653,0.00033151,0.334694,-4.87998,0.334694,1.19692,0.332653,0.06164,0.332653,All
-17.4651,0.336735,0.665968,0.334694,0.000331733,0.336735,-4.87772,0.336735,1.19787,0.334694,0.0617717,0.334694,All
-17.2963,0.338776,0.668632,0.336735,0.000333017,0.338776,-4.87152,0.338776,1.1991,0.336735,0.0622028,0.336735,All
-17.2775,0.340816,0.668664,0.338776,0.000334175,0.340816,-4.87108,0.340816,1.20357,0.338776,0.0624377,0.338776,All
-17.2685,0.342857,0.668986,0.340816,0.000337639,0.342857,-4.87003,0.342857,1.20889,0.340816,0.0626428,0.340816,All
-17.2304,0.344898,0.669736,0.342857,0.000338827,0.344898,-4.8694,0.344898,1.21768,0.342857,0.0628408,0.342857,All
-17.2013,0.346939,0.670017,0.344898,0.000339173,0.346939,-4.86817,0.346939,1.219,0.344898,0.0628769,0.344898,All
-17.1799,0.34898,0.671318,0.346939,0.000342876,0.34898,-4.86186,0.34898,1.21973,0.346939,0.0630883,0.346939,All
-17.1058,0.35102,0.672288,0.34898,0.000348354,0.35102,-4.86156,0.35102,1.2202,0.34898,0.0632581,0.34898,All
-17.061,0.353061,0.674771,0.35102,0.000349305,0.353061,-4.85523,0.353061,1.22138,0.35102,0.0633074,0.35102,All
-16.9392,0.355102,0.675692,0.353061,0.000350593,0.355102,-4.84898,0.355102,1.22162,0.353061,0.0633541,0.353061,All
-16.849,0.357143,0.675999,0.355102,0.000352461,0.357143,-4.84615,0.357143,1.22445,0.355102,0.0638745,0.355102,All
-16.7138,0.359184,0.676397,0.357143,0.000353018,0.359184,-4.84552,0.359184,1.22761,0.357143,0.0642944,0.357143,All
-16.7019,0.361224,0.676541,0.359184,0.00036439,0.361224,-4.84546,0.361224,1.22809,0.359184,0.0645469,0.359184,All
-16.565,0.363265,0.676722,0.361224,0.000367342,0.363265,-4.83724,0.363265,1.23666,0.361224,0.0646694,0.361224,All
-16.4273,0.365306,0.677978,0.363265,0.000368161,0.365306,-4.83528,0.365306,1.23708,0.363265,0.0646855,0.363265,All
-16.4126,0.367347,0.678572,0.365306,0.000374027,0.367347,-4.8349,0.367347,1.24965,0.365306,0.0653431,0.365306,All
-16.3794,0.369388,0.679341,0.367347,0.000374597,0.369388,-4.8346,0.369388,1.25308,0.367347,0.065428,0.367347,All
-16.3562,0.371429,0.682437,0.369388,0.000379007,0.371429,-4.8342,0.371429,1.25419,0.369388,0.0654727,0.369388,All
-16.2702,0.373469,0.683091,0.371429,0.000391021,0.373469,-4.83364,0.373469,1.25771,0.371429,0.0659587,0.371429,All
-16.2091,0.37551,0.683258,0.373469,0.000391483,0.37551,-4.83084,0.37551,1.25845,0.373469,0.0659769,0.373469,All
-16.201,0.377551,0.685387,0.37551,0.000394796,0.377551,-4.82897,0.377551,1.26706,0.37551,0.0660537,0.37551,All
-16.174,0.379592,0.685647,0.377551,0.000395117,0.379592,-4.82738,0.379592,1.28152,0.377551,0.0664305,0.377551,All
