initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-5.76861,0.362745,1.54822,0.360784,0.00634287,0.360784,-4.10251,0.360784,0.552847,0.362745,0.0593681,0.362745,All
-5.76431,0.364706,1.5487,0.362745,0.00634557,0.362745,-4.10246,0.362745,0.553371,0.364706,0.0595822,0.364706,All
-5.74658,0.366667,1.54896,0.364706,0.00634947,0.364706,-4.10172,0.364706,0.556381,0.366667,0.0597175,0.366667,All
-5.74075,0.368627,1.54898,0.366667,0.0063497,0.366667,-4.1017,0.366667,0.557816,0.368627,0.0598326,0.368627,All
-5.72761,0.370588,1.55073,0.368627,0.0063529,0.368627,-4.10133,0.368627,0.565793,0.370588,0.0602913,0.370588,All
-5.71514,0.372549,1.55091,0.370588,0.00635314,0.370588,-4.10129,0.370588,0.567291,0.372549,0.0605012,0.372549,All
-5.70306,0.37451,1.55272,0.372549,0.00636033,0.372549,-4.10113,0.372549,0.568368,0.37451,0.0606391,0.37451,All
-5.68692,0.376471,1.55276,0.37451,0.00636306,0.37451,-4.101,0.37451,0.571031,0.376471,0.0607814,0.376471,All
-5.65012,0.378431,1.55342,0.376471,0.00636837,0.376471,-4.10055,0.376471,0.577822,0.378431,0.0608232,0.378431,All
-5.64227,0.380392,1.55402,0.378431,0.0063697,0.378431,-4.1003,0.378431,0.590108,0.380392,0.0610336,0.380392,All
-5.60992,0.382353,1.5543,0.380392,0.00637438,0.380392,-4.10024,0.380392,0.592116,0.382353,0.0611105,0.382353,All
-5.58229,0.384314,1.5555,0.382353,0.00637771,0.382353,-4.10014,0.382353,0.593605,0.384314,0.0611282,0.384314,All
-5.58085,0.386275,1.55552,0.384314,0.00638186,0.384314,-4.09943,0.384314,0.594389,0.386275,0.0613445,0.386275,All
-5.57866,0.388235,1.55553,0.386275,0.00639735,0.386275,-4.09826,0.386275,0.597133,0.388235,0.061793,0.388235,All
-5.57513,0.390196,1.55554,0.388235,0.00639916,0.388235,-4.09801,0.388235,0.599061,0.390196,0.0618241,0.390196,All
-5.56556,0.392157,1.55577,0.390196,0.00640347,0.390196,-4.09799,0.390196,0.604066,0.392157,0.0620379,0.392157,All
-5.55808,0.394118,1.55587,0.392157,0.00640398,0.392157,-4.09768,0.392157,0.608545,0.394118,0.0621946,0.394118,All
-5.55565,0.396078,1.55599,0.394118,0.00640717,0.394118,-4.09741,0.394118,0.610753,0.396078,0.062226,0.396078,All
-5.5509,0.398039,1.55619,0.396078,0.00640805,0.396078,-4.09713,0.396078,0.615502,0.398039,0.0626106,0.398039,All
-5.55004,0.4,1.55625,0.398039,0.00641187,0.398039,-4.09695,0.398039,0.616866,0.4,0.0626243,0.4,All
