initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.673456,0.228571,-0.78432,0.228571,-0.877235,0.228571,-0.848604,0.228571,-0.708287,0.228571,-0.815681,0.228571,All
-0.65453,0.230612,-0.78396,0.230612,-0.873316,0.230612,-0.848544,0.230612,-0.701301,0.230612,-0.804672,0.230612,All
-0.653245,0.232653,-0.783402,0.232653,-0.861756,0.232653,-0.825898,0.232653,-0.696611,0.232653,-0.801475,0.232653,All
-0.652331,0.234694,-0.779886,0.234694,-0.84631,0.234694,-0.823599,0.234694,-0.692019,0.234694,-0.795406,0.234694,All
-0.651633,0.236735,-0.779672,0.236735,-0.840148,0.236735,-0.802549,0.236735,-0.686338,0.236735,-0.794939,0.236735,All
-0.646501,0.238776,-0.765079,0.238776,-0.831582,0.238776,-0.801321,0.238776,-0.682296,0.238776,-0.793816,0.238776,All
-0.642593,0.240816,-0.758133,0.240816,-0.815104,0.240816,-0.797219,0.240816,-0.681348,0.240816,-0.786592,0.240816,All
-0.633064,0.242857,-0.756996,0.242857,-0.797984,0.242857,-0.789592,0.242857,-0.666711,0.242857,-0.784558,0.242857,All
-0.617776,0.244898,-0.753396,0.244898,-0.792831,0.244898,-0.783447,0.244898,-0.650479,0.244898,-0.776174,0.244898,All
-0.608741,0.246939,-0.736489,0.246939,-0.78616,0.246939,-0.779448,0.246939,-0.649567,0.246939,-0.774611,0.246939,All
-0.562231,0.24898,-0.732823,0.24898,-0.777184,0.24898,-0.769907,0.24898,-0.642425,0.24898,-0.771315,0.24898,All
-0.560979,0.25102,-0.72052,0.25102,-0.773834,0.25102,-0.766411,0.25102,-0.637516,0.25102,-0.77038,0.25102,All
-0.548118,0.253061,-0.717315,0.253061,-0.770888,0.253061,-0.7648,0.253061,-0.627836,0.253061,-0.76223,0.253061,All
-0.546035,0.255102,-0.694152,0.255102,-0.764639,0.255102,-0.764236,0.255102,-0.616305,0.255102,-0.752901,0.255102,All
-0.540138,0.257143,-0.689792,0.257143,-0.764025,0.257143,-0.75082,0.257143,-0.60954,0.257143,-0.726038,0.257143,All
-0.535852,0.259184,-0.681606,0.259184,-0.762355,0.259184,-0.75062,0.259184,-0.608824,0.259184,-0.700664,0.259184,All
