rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_f,eta_dp,eta_lw,eta_dE,eta_lE50,data
3,38,0.663717,-0.020349,-0.045290,0.000000,0.012275,0.000000,0.000000,-0.248745,-0.939443,0.000000,0.000000,0.121506,-0.491595,0.000000,thai
4,38,-0.101707,0.041952,0.039601,0.000000,0.000928,0.000000,0.000000,0.274452,0.496221,0.000000,0.000000,-0.525776,-0.786721,0.000000,thai
5,38,0.976209,0.017430,-0.015030,0.000000,-0.001972,0.000000,0.000000,-0.946898,-0.131096,0.000000,0.000000,0.306569,-0.924306,0.000000,thai
6,38,-0.466118,0.018595,-0.012753,0.000000,-0.005951,0.000000,0.000000,0.171933,0.016797,0.000000,0.000000,-0.564360,-0.324200,0.000000,thai
7,38,-0.633141,-0.010419,0.010981,0.000000,0.010672,0.000000,0.000000,0.029664,0.049756,0.000000,0.000000,-0.473009,-1.086224,0.000000,thai
8,38,-4.725882,-0.017595,0.045848,0.000000,-0.013471,0.000000,0.000000,0.240249,-0.100088,0.000000,0.000000,0.015970,-0.642466,0.000000,thai
9,38,-0.044866,0.012256,-0.005953,0.000000,0.003123,0.000000,0.000000,0.265676,-0.109550,0.000000,0.000000,-0.961300,-0.933636,0.000000,thai
10,38,1.619154,0.023950,-0.020805,0.000000,0.006717,0.000000,0.000000,0.903763,0.029908,0.000000,0.000000,-0.849918,-0.814174,0.000000,thai
1,39,3.876952,0.010625,0.000430,0.000000,-0.006086,0.000000,0.000000,-0.286922,-0.146144,0.000000,0.000000,1.087405,1.109471,0.000000,thai
2,39,1.906154,0.034095,0.061148,0.000000,-0.019973,0.000000,0.000000,-0.118752,0.250122,0.000000,0.000000,0.791247,0.600901,0.000000,thai
3,39,1.977276,-0.018885,0.016188,0.000000,-0.003158,0.000000,0.000000,-0.110264,-0.334152,0.000000,0.000000,0.937587,3.246328,0.000000,thai
4,39,1.360173,-0.017825,0.124543,0.000000,0.001498,0.000000,0.000000,-0.394845,-0.171957,0.000000,0.000000,0.927801,0.852723,0.000000,thai
5,39,3.594751,0.010042,0.038485,0.000000,-0.000873,0.000000,0.000000,0.254667,0.121811,0.000000,0.000000,0.385341,0.055024,0.000000,thai
6,39,2.118084,0.012516,0.029045,0.000000,-0.007790,0.000000,0.000000,0.789504,0.157060,0.000000,0.000000,-0.921247,-0.121541,0.000000,thai
7,39,1.160547,-0.027185,0.001191,0.000000,-0.007063,0.000000,0.000000,0.219292,-0.147781,0.000000,0.000000,0.236551,-0.609168,0.000000,thai
8,39,3.861663,-0.012068,0.018105,0.000000,0.005854,0.000000,0.000000,-0.016135,-0.096882,0.000000,0.000000,0.531540,0.313191,0.000000,thai
9,39,-2.056192,-0.038652,0.078312,0.000000,-0.008876,0.000000,0.000000,0.300854,-0.037051,0.000000,0.000000,-0.329026,-0.994776,0.000000,thai
10,39,3.143342,-0.000016,-0.023624,0.000000,-0.017156,0.000000,0.000000,0.156724,0.557464,0.000000,0.000000,0.580627,0.731111,0.000000,thai
1,40,-4.627983,0.009632,0.022523,0.000000,-0.003853,0.000000,0.000000,0.001715,-0.204654,0.000000,0.000000,-0.550558,2.189323,0.000000,thai
2,40,-2.757252,0.020184,0.027024,0.000000,-0.006439,0.000000,0.000000,0.270574,0.119836,0.000000,0.000000,-0.693960,1.805600,0.000000,thai
3,40,1.119831,0.004639,-0.026459,0.000000,0.022523,0.000000,0.000000,0.460901,0.566939,0.000000,0.000000,-0.702505,2.364444,0.000000,thai
4,40,-0.924558,-0.002729,-0.044953,0.000000,0.011368,0.000000,0.000000,-0.659499,0.003535,0.000000,0.000000,0.174703,3.035280,0.000000,thai
5,40,-2.143836,-0.013613,-0.042405,0.000000,-0.000333,0.000000,0.000000,-0.359971,0.039760,0.000000,0.000000,0.028809,2.988596,0.000000,thai
6,40,-4.659554,-0.032227,0.003008,0.000000,-0.005056,0.000000,0.000000,-0.633415,-0.096510,0.000000,0.000000,0.080875,1.423926,0.000000,thai
7,40,-3.380152,-0.009655,-0.047521,0.000000,0.000880,0.000000,0.000000,-0.757547,0.142670,0.000000,0.000000,0.445863,1.458735,0.000000,thai
8,40,-1.450270,0.009877,0.002778,0.000000,0.002570,0.000000,0.000000,-0.001884,0.441139,0.000000,0.000000,-0.437231,1.715880,0.000000,thai
9,40,-2.645524,-0.006706,0.016138,0.000000,-0.000378,0.000000,0.000000,0.050288,-0.262095,0.000000,0.000000,-0.620711,1.656370,0.000000,thai
10,40,-2.390187,0.023566,0.003412,0.000000,-0.003571,0.000000,0.000000,0.512359,0.046767,0.000000,0.000000,-1.295343,2.184528,0.000000,thai
1,41,-0.717444,-0.026898,0.030024,0.000000,0.001747,0.000000,0.000000,0.445667,0.357070,0.000000,0.000000,-0.330672,-0.459235,0.000000,thai
2,41,2.387920,0.027712,-0.011244,0.000000,-0.002156,0.000000,0.000000,0.071611,-0.393373,0.000000,0.000000,0.138748,0.084415,0.000000,thai
3,41,2.793208,-0.020676,-0.077365,0.000000,0.006401,0.000000,0.000000,-0.186537,0.309341,0.000000,0.000000,-0.302508,0.136691,0.000000,thai
4,41,4.667808,0.024885,-0.031370,0.000000,0.015109,0.000000,0.000000,-0.146425,0.169742,0.000000,0.000000,0.606130,0.221972,0.000000,thai
5,41,2.761675,0.045226,-0.024234,0.000000,0.005291,0.000000,0.000000,-0.774438,-0.178133,0.000000,0.000000,-0.009036,-0.087461,0.000000,thai
6,41,0.567825,-0.011806,0.046781,0.000000,-0.013489,0.000000,0.000000,-0.570991,-0.014076,0.000000,0.000000,1.335781,0.078818,0.000000,thai
7,41,2.362379,-0.019529,-0.036145,0.000000,-0.002664,0.000000,0.000000,0.191860,-0.341198,0.000000,0.000000,0.220452,0.270315,0.000000,thai
8,41,1.197859,-0.021138,0.011008,0.000000,0.007799,0.000000,0.000000,-0.471567,0.326522,0.000000,0.000000,0.744694,0.055225,0.000000,thai
9,41,0.916770,0.006943,0.000814,0.000000,-0.016894,0.000000,0.000000,0.260004,-0.026195,0.000000,0.000000,-0.114044,-0.153558,0.000000,thai
10,41,-0.510925,0.027261,0.035698,0.000000,-0.013945,0.000000,0.000000,-0.719047,0.078345,0.000000,0.000000,0.581028,-0.471266,0.000000,thai
1,42,0.510888,0.019352,-0.021155,0.000000,-0.010958,0.000000,0.000000,-0.893271,-0.021396,0.000000,0.000000,0.216606,0.137273,0.000000,thai
2,42,1.532552,0.014572,0.004018,0.000000,0.001540,0.000000,0.000000,0.034015,0.293759,0.000000,0.000000,-0.259155,0.440374,0.000000,thai
3,42,1.597841,0.006396,-0.013881,0.000000,0.005645,0.000000,0.000000,-0.324829,0.101967,0.000000,0.000000,0.190996,-0.037939,0.000000,thai
4,42,0.395834,-0.021780,-0.020024,0.000000,-0.006528,0.000000,0.000000,0.384656,0.499550,0.000000,0.000000,-1.698571,0.708419,0.000000,thai
5,42,0.044177,-0.038936,-0.006860,0.000000,-0.003627,0.000000,0.000000,1.034109,-0.426327,0.000000,0.000000,-0.733001,1.042674,0.000000,thai
6,42,0.230186,-0.009963,0.001784,0.000000,-0.002357,0.000000,0.000000,0.328239,-0.151307,0.000000,0.000000,-0.585647,-0.453976,0.000000,thai
7,42,2.264936,0.003189,-0.045725,0.000000,0.001574,0.000000,0.000000,-0.200099,0.185462,0.000000,0.000000,-0.352639,0.113048,0.000000,thai
8,42,0.218845,-0.012778,0.000898,0.000000,-0.000411,0.000000,0.000000,0.039382,-0.059826,0.000000,0.000000,-0.488062,-0.661762,0.000000,thai
9,42,2.472606,0.011710,-0.048077,0.000000,0.006336,0.000000,0.000000,-0.472242,0.364527,0.000000,0.000000,-0.287323,0.224641,0.000000,thai
10,42,2.494976,0.024738,0.050013,0.000000,0.008640,0.000000,0.000000,-0.498014,0.268457,0.000000,0.000000,-0.215356,0.027499,0.000000,thai
1,43,1.790873,-0.006692,-0.017900,0.000000,-0.003095,0.000000,0.000000,-0.153724,-0.075257,0.000000,0.000000,0.105814,0.512572,0.000000,thai
2,43,3.085356,0.019065,-0.024884,0.000000,0.007294,0.000000,0.000000,0.044876,0.495470,0.000000,0.000000,-0.282774,2.636996,0.000000,thai
3,43,3.489342,0.012303,-0.056908,0.000000,-0.002193,0.000000,0.000000,0.774307,-0.044180,0.000000,0.000000,-1.029869,2.432947,0.000000,thai
4,43,2.293164,-0.003732,-0.029045,0.000000,-0.006933,0.000000,0.000000,0.356571,-0.445950,0.000000,0.000000,-0.656644,1.618033,0.000000,thai
5,43,1.514500,-0.003814,-0.031427,0.000000,0.003921,0.000000,0.000000,-0.036522,0.178333,0.000000,0.000000,-0.467912,2.536597,0.000000,thai
6,43,2.111126,0.016378,-0.021206,0.000000,-0.004628,0.000000,0.000000,0.330543,0.139818,0.000000,0.000000,-0.701552,1.727215,0.000000,thai
7,43,-1.238663,-0.026724,0.039841,0.000000,-0.000827,0.000000,0.000000,-0.628111,0.128462,0.000000,0.000000,-0.082415,1.278948,0.000000,thai
8,43,-3.191294,0.010836,0.066692,0.000000,-0.011426,0.000000,0.000000,-0.347890,0.144323,0.000000,0.000000,0.351329,1.208130,0.000000,thai
9,43,-1.300686,-0.021311,0.022563,0.000000,-0.009055,0.000000,0.000000,-1.115384,0.052679,0.000000,0.000000,0.724609,2.001494,0.000000,thai
10,43,3.121915,0.017172,0.003697,0.000000,0.000151,0.000000,0.000000,-0.534267,0.079830,0.000000,0.000000,0.154704,1.002613,0.000000,thai
1,44,-3.055705,-0.007283,-0.000103,0.000000,-0.006850,0.000000,0.000000,0.143394,-0.246417,0.000000,0.000000,0.127369,-0.204594,0.000000,thai
2,44,-3.140209,-0.027275,0.016960,0.000000,0.010174,0.000000,0.000000,0.309068,0.052886,0.000000,0.000000,0.351127,0.113809,0.000000,thai
3,44,-1.652395,0.010626,0.009535,0.000000,-0.001053,0.000000,0.000000,-0.151682,-0.179750,0.000000,0.000000,0.900334,-0.047744,0.000000,thai
4,44,-1.854651,-0.008940,0.000054,0.000000,0.011480,0.000000,0.000000,0.343897,0.126516,0.000000,0.000000,0.079132,-0.192226,0.000000,thai
5,44,-3.544403,0.031715,-0.026130,0.000000,-0.009667,0.000000,0.000000,0.079430,-0.051893,0.000000,0.000000,0.045211,-0.710587,0.000000,thai
6,44,-4.327794,0.028651,0.023038,0.000000,-0.002531,0.000000,0.000000,-0.362204,-0.202056,0.000000,0.000000,-0.077322,0.008708,0.000000,thai
7,44,-3.374166,0.001794,0.006019,0.000000,0.000662,0.000000,0.000000,0.575761,0.009401,0.000000,0.000000,0.234915,0.096517,0.000000,thai
8,44,-1.581205,-0.002560,-0.071564,0.000000,0.008572,0.000000,0.000000,-0.304597,0.133342,0.000000,0.000000,0.368750,-0.544716,0.000000,thai
9,44,-1.727080,0.010976,0.013049,0.000000,-0.003408,0.000000,0.000000,0.335090,0.490193,0.000000,0.000000,0.323181,0.126851,0.000000,thai
10,44,-4.105615,0.009502,0.030554,0.000000,0.004298,0.000000,0.000000,0.104820,0.473308,0.000000,0.000000,-0.169230,-0.523990,0.000000,thai
1,45,3.687736,0.013631,0.031025,0.000000,0.003850,0.000000,0.000000,0.353189,-0.139598,0.000000,0.000000,-0.445277,-1.189058,0.000000,thai
2,45,1.901364,0.013233,0.076248,0.000000,0.001699,0.000000,0.000000,0.530310,0.091615,0.000000,0.000000,-0.650191,-1.495692,0.000000,thai
3,45,4.393250,0.018787,-0.002859,0.000000,-0.003317,0.000000,0.000000,0.113920,0.070455,0.000000,0.000000,-0.123228,-1.396920,0.000000,thai
4,45,3.509710,-0.007445,0.052395,0.000000,0.006052,0.000000,0.000000,-0.021475,0.068342,0.000000,0.000000,0.291014,-1.103878,0.000000,thai
5,45,1.433755,-0.009897,0.043432,0.000000,-0.002455,0.000000,0.000000,-0.361538,-0.502857,0.000000,0.000000,0.824067,-1.174452,0.000000,thai
6,45,2.327537,-0.009552,0.037003,0.000000,-0.001087,0.000000,0.000000,0.125593,-0.141304,0.000000,0.000000,0.190284,-1.224517,0.000000,thai
7,45,3.212695,-0.023742,0.006523,0.000000,-0.011722,0.000000,0.000000,0.640509,-0.063356,0.000000,0.000000,-0.481836,-1.442420,0.000000,thai
8,45,2.936761,0.004407,0.029430,0.000000,-0.003257,0.000000,0.000000,0.182590,0.675769,0.000000,0.000000,0.141006,-1.387693,0.000000,thai
9,45,1.507797,-0.015051,0.000882,0.000000,-0.008759,0.000000,0.000000,0.385787,-0.063229,0.000000,0.000000,-0.456636,-1.326868,0.000000,thai
10,45,2.415510,0.021410,0.034996,0.000000,-0.007108,0.000000,0.000000,-0.257509,0.069260,0.000000,0.000000,-0.116006,-1.101153,0.000000,thai
1,46,-1.917204,0.034415,-0.057060,0.000000,0.000068,0.000000,0.000000,-0.145490,-0.011973,0.000000,0.000000,-0.812721,0.060441,0.000000,thai
2,46,-2.956647,0.012258,0.028519,0.000000,-0.003682,0.000000,0.000000,0.358856,-0.026143,0.000000,0.000000,-0.454069,-0.440509,0.000000,thai
3,46,-2.608553,-0.016096,-0.052500,0.000000,0.001885,0.000000,0.000000,-0.110494,-0.197465,0.000000,0.000000,-0.029216,-0.331115,0.000000,thai
4,46,0.317339,-0.008881,-0.010575,0.000000,0.016686,0.000000,0.000000,0.564708,0.148513,0.000000,0.000000,-0.203909,-0.715110,0.000000,thai
5,46,-1.789650,-0.003072,-0.010821,0.000000,0.000646,0.000000,0.000000,-0.179035,0.283566,0.000000,0.000000,0.677384,-0.112072,0.000000,thai
6,46,-1.390207,0.010505,-0.008223,0.000000,0.000587,0.000000,0.000000,-0.653614,-0.480035,0.000000,0.000000,0.909152,-0.448436,0.000000,thai
7,46,0.668488,-0.004923,-0.083399,0.000000,0.012364,0.000000,0.000000,-0.009776,-0.422716,0.000000,0.000000,-0.337468,1.395102,0.000000,thai
8,46,-3.524615,0.019791,0.004396,0.000000,-0.009620,0.000000,0.000000,-0.077956,0.027164,0.000000,0.000000,0.206266,-0.416676,0.000000,thai
9,46,-2.412595,-0.003674,0.022511,0.000000,0.001185,0.000000,0.000000,0.628075,-0.663117,0.000000,0.000000,-0.256713,-0.403946,0.000000,thai
10,46,-0.049832,0.025089,-0.011009,0.000000,0.008088,0.000000,0.000000,-0.088461,0.016497,0.000000,0.000000,0.298237,0.018780,0.000000,thai
1,47,2.066293,0.011445,0.064286,0.000000,0.014911,0.000000,0.000000,-0.169296,-0.424735,0.000000,0.000000,0.341104,-0.028265,0.000000,thai
2,47,1.045896,0.012697,0.053759,0.000000,0.008002,0.000000,0.000000,0.157217,0.200311,0.000000,0.000000,0.007764,-0.458965,0.000000,thai
3,47,1.074560,0.030335,0.054018,0.000000,0.007782,0.000000,0.000000,-1.359950,0.321196,0.000000,0.000000,1.597777,-0.027003,0.000000,thai
4,47,4.101517,0.030190,0.018671,0.000000,0.006312,0.000000,0.000000,0.122064,-0.338896,0.000000,0.000000,-0.259019,-0.198605,0.000000,thai
5,47,1.743757,0.017177,0.018157,0.000000,0.003618,0.000000,0.000000,-0.249077,-0.442549,0.000000,0.000000,0.025535,-0.190368,0.000000,thai
6,47,2.879741,0.019951,-0.002252,0.000000,0.001554,0.000000,0.000000,0.430517,0.062943,0.000000,0.000000,0.240290,-0.477139,0.000000,thai
7,47,1.326595,0.017203,0.030514,0.000000,-0.014450,0.000000,0.000000,0.222553,0.235235,0.000000,0.000000,-0.050057,-0.723568,0.000000,thai
8,47,0.953830,-0.019234,0.037304,0.000000,0.000686,0.000000,0.000000,0.230875,-0.080548,0.000000,0.000000,-0.082493,-0.623644,0.000000,thai
9,47,3.270671,0.005856,-0.013311,0.000000,0.008891,0.000000,0.000000,0.755573,-0.004523,0.000000,0.000000,-0.602634,-0.752533,0.000000,thai
10,47,1.459234,-0.030464,0.041729,0.000000,0.015175,0.000000,0.000000,-0.377550,0.072691,0.000000,0.000000,0.699396,-0.400566,0.000000,thai
1,48,0.948012,0.008315,0.040529,0.000000,0.009830,0.000000,0.000000,-0.538853,-0.000960,0.000000,0.000000,-0.111583,0.566189,0.000000,thai
2,48,1.677288,0.034303,0.022317,0.000000,-0.003281,0.000000,0.000000,0.377746,-0.054640,0.000000,0.000000,-0.644512,0.274975,0.000000,thai
3,48,3.526821,0.005253,0.018706,0.000000,0.011199,0.000000,0.000000,-0.362035,0.214142,0.000000,0.000000,-0.460628,0.969136,0.000000,thai
4,48,2.095604,-0.008404,0.010190,0.000000,0.011733,0.000000,0.000000,-0.121310,-0.261957,0.000000,0.000000,-0.572238,0.661071,0.000000,thai
5,48,-0.523905,0.015602,0.039729,0.000000,-0.008378,0.000000,0.000000,0.074840,-0.255668,0.000000,0.000000,-0.543471,-0.559012,0.000000,thai
6,48,0.593176,-0.011194,0.031513,0.000000,-0.000483,0.000000,0.000000,-0.485407,-0.190442,0.000000,0.000000,-0.289064,-0.148753,0.000000,thai
7,48,0.100057,-0.003300,0.037724,0.000000,0.003787,0.000000,0.000000,-0.646189,0.138640,0.000000,0.000000,0.530873,0.547143,0.000000,thai
8,48,3.068005,-0.004802,0.009821,0.000000,0.007409,0.000000,0.000000,-0.354277,0.048011,0.000000,0.000000,-0.349312,1.076352,0.000000,thai
9,48,-0.463270,-0.029570,0.020068,0.000000,-0.012402,0.000000,0.000000,0.203202,-0.208965,0.000000,0.000000,-1.072235,-0.008210,0.000000,thai
10,48,3.325518,-0.020011,-0.065382,0.000000,-0.013328,0.000000,0.000000,0.311831,-0.088414,0.000000,0.000000,-0.043863,0.579699,0.000000,thai
1,49,5.455124,-0.026002,0.044882,0.000000,0.000712,0.000000,0.000000,0.175537,-0.338685,0.000000,0.000000,1.068625,-1.195706,0.000000,thai
2,49,7.970356,-0.040208,-0.022737,0.000000,0.003703,0.000000,0.000000,0.400372,-0.349104,0.000000,0.000000,0.550939,-1.232124,0.000000,thai
3,49,7.102115,0.006489,0.030652,0.000000,0.007032,0.000000,0.000000,1.025278,-0.091808,0.000000,0.000000,-0.087284,-1.401514,0.000000,thai
4,49,6.696241,-0.013767,0.018262,0.000000,0.005593,0.000000,0.000000,1.162531,0.106300,0.000000,0.000000,-0.246841,-1.482996,0.000000,thai
5,49,7.481043,-0.003816,-0.011445,0.000000,0.005120,0.000000,0.000000,0.501382,0.264680,0.000000,0.000000,0.231448,-1.470347,0.000000,thai
6,49,5.477810,-0.008033,0.094567,0.000000,0.016346,0.000000,0.000000,-0.239972,-0.345872,0.000000,0.000000,0.814147,-1.478913,0.000000,thai
7,49,6.881160,-0.012738,-0.008656,0.000000,-0.001832,0.000000,0.000000,0.226410,0.200623,0.000000,0.000000,0.611034,-1.436540,0.000000,thai
8,49,7.245337,0.005491,0.003374,0.000000,0.007048,0.000000,0.000000,0.427920,0.345663,0.000000,0.000000,0.267006,-1.643237,0.000000,thai
9,49,6.588835,-0.001645,0.007180,0.000000,-0.006134,0.000000,0.000000,0.082611,0.421667,0.000000,0.000000,0.894811,-1.355190,0.000000,thai
10,49,7.785768,0.017106,-0.046803,0.000000,0.003172,0.000000,0.000000,-0.564609,-0.196237,0.000000,0.000000,1.249671,-1.195757,0.000000,thai
1,50,1.620283,-0.009695,-0.032134,0.000000,-0.012541,0.000000,0.000000,0.265169,-0.026538,0.000000,0.000000,-0.306246,-0.259375,0.000000,thai
2,50,1.855675,-0.016207,-0.017718,0.000000,0.005728,0.000000,0.000000,0.187195,0.142788,0.000000,0.000000,0.009485,0.497220,0.000000,thai
3,50,3.723312,0.002051,-0.055279,0.000000,0.002250,0.000000,0.000000,0.136205,0.425729,0.000000,0.000000,0.454246,1.106000,0.000000,thai
4,50,1.896817,0.004570,-0.006825,0.000000,0.003983,0.000000,0.000000,0.345750,-0.117951,0.000000,0.000000,0.028365,1.143174,0.000000,thai
5,50,4.695589,0.020063,-0.042981,0.000000,-0.004727,0.000000,0.000000,-0.384464,-0.184662,0.000000,0.000000,0.819197,2.475197,0.000000,thai
6,50,4.538243,0.005767,-0.096580,0.000000,-0.012021,0.000000,0.000000,0.059104,-0.387071,0.000000,0.000000,-0.410066,0.442559,0.000000,thai
7,50,5.795267,0.011162,-0.100503,0.000000,0.012770,0.000000,0.000000,-0.363507,-0.201652,0.000000,0.000000,0.655257,2.191082,0.000000,thai
8,50,5.397868,0.014308,-0.037490,0.000000,-0.003688,0.000000,0.000000,0.601725,0.101490,0.000000,0.000000,-0.049506,2.122598,0.000000,thai
9,50,0.967947,-0.007841,-0.009348,0.000000,-0.002855,0.000000,0.000000,0.758643,0.043410,0.000000,0.000000,-0.463854,2.059003,0.000000,thai
10,50,2.922791,-0.003228,-0.019902,0.000000,0.008333,0.000000,0.000000,0.254642,-0.454726,0.000000,0.000000,-0.465311,0.287391,0.000000,thai
1,51,-1.109309,-0.020749,-0.002584,0.000000,-0.002385,0.000000,0.000000,-0.617536,-0.137585,0.000000,0.000000,0.222813,-0.706340,0.000000,thai
2,51,-1.262639,0.008856,-0.008200,0.000000,-0.015066,0.000000,0.000000,-0.322591,-0.012926,0.000000,0.000000,-0.283220,-0.766519,0.000000,thai
3,51,-1.448967,-0.035376,0.010251,0.000000,-0.011969,0.000000,0.000000,-0.258519,-0.109049,0.000000,0.000000,-0.665922,-0.282478,0.000000,thai
4,51,0.481826,-0.009735,0.023993,0.000000,0.007074,0.000000,0.000000,-0.038634,0.180600,0.000000,0.000000,-0.860194,-0.642753,0.000000,thai
5,51,0.355820,-0.030569,-0.021695,0.000000,-0.002367,0.000000,0.000000,-0.573112,0.384610,0.000000,0.000000,-0.230628,-0.326443,0.000000,thai
6,51,0.576831,-0.016921,-0.000950,0.000000,0.001071,0.000000,0.000000,-0.436404,-0.405964,0.000000,0.000000,-0.255861,-0.416888,0.000000,thai
7,51,-1.441959,0.000979,0.043214,0.000000,-0.018750,0.000000,0.000000,-0.610994,-0.034598,0.000000,0.000000,0.396035,-1.168871,0.000000,thai
8,51,-0.791625,-0.023735,0.020367,0.000000,-0.011841,0.000000,0.000000,0.410186,0.104458,0.000000,0.000000,-0.976245,-1.089895,0.000000,thai
9,51,1.634899,-0.015097,0.003444,0.000000,0.009314,0.000000,0.000000,0.138720,0.046324,0.000000,0.000000,-1.046258,0.046207,0.000000,thai
10,51,0.987647,0.005398,-0.013127,0.000000,-0.000563,0.000000,0.000000,-0.623732,0.106240,0.000000,0.000000,-0.206051,0.342741,0.000000,thai
1,1,0.870344,-0.013348,-0.023192,0.000000,-0.001898,0.000000,0.000000,0.177552,0.137953,0.000000,0.000000,-1.138020,0.139145,0.000000,africa
