initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-1.36329,0.0980392,-1.15834,0.0980392,-1.319,0.0980392,-1.26431,0.0980392,-1.33439,0.0980392,-1.23726,0.0980392,-1.35026,0.0980392,-1.22388,0.0980392,All
-1.34071,0.1,-1.15698,0.1,-1.31081,0.1,-1.25848,0.1,-1.32848,0.1,-1.227,0.1,-1.3476,0.1,-1.21281,0.1,All
-1.33665,0.101961,-1.14974,0.101961,-1.30604,0.101961,-1.25641,0.101961,-1.31098,0.101961,-1.21517,0.101961,-1.32195,0.101961,-1.21089,0.101961,All
-1.32531,0.103922,-1.10619,0.103922,-1.27401,0.103922,-1.25629,0.103922,-1.2881,0.103922,-1.18737,0.103922,-1.32128,0.103922,-1.20873,0.103922,All
-1.3186,0.105882,-1.10507,0.105882,-1.27186,0.105882,-1.25532,0.105882,-1.27985,0.105882,-1.17677,0.105882,-1.30549,0.105882,-1.20756,0.105882,All
-1.30539,0.107843,-1.09273,0.107843,-1.26621,0.107843,-1.24917,0.107843,-1.2728,0.107843,-1.15682,0.107843,-1.3035,0.107843,-1.20736,0.107843,All
-1.28965,0.109804,-1.08783,0.109804,-1.26052,0.109804,-1.23525,0.109804,-1.25678,0.109804,-1.11837,0.109804,-1.28741,0.109804,-1.19903,0.109804,All
-1.28538,0.111765,-1.05764,0.111765,-1.25308,0.111765,-1.2091,0.111765,-1.24421,0.111765,-1.10766,0.111765,-1.28329,0.111765,-1.19432,0.111765,All
-1.28138,0.113725,-1.05115,0.113725,-1.23272,0.113725,-1.20429,0.113725,-1.23956,0.113725,-1.10472,0.113725,-1.28313,0.113725,-1.1834,0.113725,All
-1.26668,0.115686,-1.04817,0.115686,-1.22814,0.115686,-1.20421,0.115686,-1.23244,0.115686,-1.08957,0.115686,-1.27052,0.115686,-1.1774,0.115686,All
-1.26277,0.117647,-1.03882,0.117647,-1.21128,0.117647,-1.20399,0.117647,-1.22807,0.117647,-1.07275,0.117647,-1.26252,0.117647,-1.17119,0.117647,All
-1.25202,0.119608,-1.02667,0.119608,-1.20693,0.119608,-1.18518,0.119608,-1.22568,0.119608,-1.0644,0.119608,-1.25751,0.119608,-1.16892,0.119608,All
-1.23432,0.121569,-1.00547,0.121569,-1.19756,0.121569,-1.16993,0.121569,-1.22198,0.121569,-1.06099,0.121569,-1.25564,0.121569,-1.16431,0.121569,All
-1.22533,0.123529,-0.999963,0.123529,-1.18651,0.123529,-1.16867,0.123529,-1.20829,0.123529,-1.03833,0.123529,-1.2547,0.123529,-1.1486,0.123529,All
-1.21977,0.12549,-0.998142,0.12549,-1.17827,0.12549,-1.16414,0.12549,-1.19292,0.12549,-1.01593,0.12549,-1.25155,0.12549,-1.14374,0.12549,All
-1.2,0.127451,-0.997084,0.127451,-1.17272,0.127451,-1.15616,0.127451,-1.18527,0.127451,-0.990857,0.127451,-1.24861,0.127451,-1.13846,0.127451,All
-1.19975,0.129412,-0.988486,0.129412,-1.16316,0.129412,-1.1485,0.129412,-1.18256,0.129412,-0.987244,0.129412,-1.23963,0.129412,-1.13817,0.129412,All
-1.15344,0.131373,-0.982391,0.131373,-1.15916,0.131373,-1.14765,0.131373,-1.18082,0.131373,-0.964667,0.131373,-1.21922,0.131373,-1.13614,0.131373,All
-1.14496,0.133333,-0.981862,0.133333,-1.1532,0.133333,-1.14324,0.133333,-1.17914,0.133333,-0.958413,0.133333,-1.20753,0.133333,-1.13261,0.133333,All
-1.14398,0.135294,-0.971618,0.135294,-1.14515,0.135294,-1.13756,0.135294,-1.16945,0.135294,-0.937383,0.135294,-1.20686,0.135294,-1.1305,0.135294,All
-1.10925,0.137255,-0.969796,0.137255,-1.14508,0.137255,-1.13501,0.137255,-1.16072,0.137255,-0.936894,0.137255,-1.19653,0.137255,-1.12963,0.137255,All
-1.1046,0.139216,-0.948766,0.139216,-1.14189,0.139216,-1.10803,0.139216,-1.15493,0.139216,-0.899536,0.139216,-1.19284,0.139216,-1.12718,0.139216,All
-1.09504,0.141176,-0.940325,0.141176,-1.12253,0.141176,-1.09276,0.141176,-1.15411,0.141176,-0.899077,0.141176,-1.19011,0.141176,-1.12716,0.141176,All
-1.08269,0.143137,-0.935955,0.143137,-1.11784,0.143137,-1.08741,0.143137,-1.13621,0.143137,-0.897123,0.143137,-1.14925,0.143137,-1.12313,0.143137,All
-1.07471,0.145098,-0.934564,0.145098,-1.11637,0.145098,-1.08687,0.145098,-1.12565,0.145098,-0.854687,0.145098,-1.13488,0.145098,-1.11875,0.145098,All
-1.06902,0.147059,-0.932053,0.147059,-1.09646,0.147059,-1.08266,0.147059,-1.10684,0.147059,-0.847419,0.147059,-1.12578,0.147059,-1.11734,0.147059,All
-1.05334,0.14902,-0.927895,0.14902,-1.0753,0.14902,-1.07751,0.14902,-1.096,0.14902,-0.846537,0.14902,-1.12332,0.14902,-1.1151,0.14902,All
-1.03716,0.15098,-0.927812,0.15098,-1.06237,0.15098,-1.06363,0.15098,-1.07473,0.15098,-0.845732,0.15098,-1.11908,0.15098,-1.11053,0.15098,All
-1.0341,0.152941,-0.926206,0.152941,-1.05393,0.152941,-1.06198,0.152941,-1.06532,0.152941,-0.842505,0.152941,-1.11835,0.152941,-1.10765,0.152941,All
-1.02215,0.154902,-0.917702,0.154902,-1.01998,0.154902,-1.05895,0.154902,-1.06053,0.154902,-0.840279,0.154902,-1.10084,0.154902,-1.10353,0.154902,All
-1.01214,0.156863,-0.9011,0.156863,-1.01381,0.156863,-1.05272,0.156863,-1.05488,0.156863,-0.834833,0.156863,-1.09582,0.156863,-1.10197,0.156863,All
-0.972326,0.158824,-0.900403,0.158824,-1.00755,0.158824,-1.05012,0.158824,-1.04084,0.158824,-0.815721,0.158824,-1.08583,0.158824,-1.10129,0.158824,All
-0.964926,0.160784,-0.89345,0.160784,-0.997099,0.160784,-1.04759,0.160784,-1.03576,0.160784,-0.810104,0.160784,-1.08481,0.160784,-1.09593,0.160784,All
-0.951394,0.162745,-0.893404,0.162745,-0.966334,0.162745,-1.03478,0.162745,-1.03104,0.162745,-0.806184,0.162745,-1.07356,0.162745,-1.09397,0.162745,All
-0.940417,0.164706,-0.88373,0.164706,-0.948427,0.164706,-1.03179,0.164706,-1.02985,0.164706,-0.778294,0.164706,-1.06705,0.164706,-1.0872,0.164706,All
-0.938641,0.166667,-0.875754,0.166667,-0.944926,0.166667,-1.02771,0.166667,-1.00433,0.166667,-0.77621,0.166667,-1.05886,0.166667,-1.08596,0.166667,All
-0.934111,0.168627,-0.869522,0.168627,-0.924921,0.168627,-1.00927,0.168627,-1.00091,0.168627,-0.760736,0.168627,-1.05321,0.168627,-1.08177,0.168627,All
-0.930647,0.170588,-0.861099,0.170588,-0.923503,0.170588,-1.00313,0.170588,-0.987084,0.170588,-0.742173,0.170588,-1.04331,0.170588,-1.07255,0.170588,All
-0.924283,0.172549,-0.85193,0.172549,-0.888972,0.172549,-1.0005,0.172549,-0.98113,0.172549,-0.740122,0.172549,-1.04225,0.172549,-1.0725,0.172549,All
-0.916398,0.17451,-0.849919,0.17451,-0.884186,0.17451,-0.993696,0.17451,-0.980892,0.17451,-0.735228,0.17451,-1.03982,0.17451,-1.06612,0.17451,All
-0.913328,0.176471,-0.847324,0.176471,-0.880109,0.176471,-0.983865,0.176471,-0.971996,0.176471,-0.730876,0.176471,-1.03737,0.176471,-1.06372,0.176471,All
-0.910821,0.178431,-0.833648,0.178431,-0.876015,0.178431,-0.963329,0.178431,-0.967847,0.178431,-0.722352,0.178431,-1.02888,0.178431,-1.06257,0.178431,All
-0.90627,0.180392,-0.827812,0.180392,-0.866693,0.180392,-0.948981,0.180392,-0.963926,0.180392,-0.715813,0.180392,-1.00582,0.180392,-1.04822,0.180392,All
