rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50
1,6,-1.3151046924163,63.2450159843525,0.0541697664555297,0.05,-4.62361144719661,4.6,0.9,-1.34107558055787,0.9,0.001,0.187217489062025,1,-0.819974291502592,-0.241037456881009,-0.101478916212872,-0.0244211405379113,0,-0.0446858098318481,0,0,0,0,0,-0.249427692202097,0,0.0307785512853135
2,6,-1.57037198231065,53.8890637622315,0.0542117797599396,0.05,-4.54731268090186,4.6,0.9,-1.34107558055787,0.9,0.001,0.336124277719636,1,-0.878321790632837,-0.496304746775364,-0.261567683381025,-0.023645855298287,0,0.0316129564629026,0,0,0,0,0,-0.100520903544485,0,-0.027568947844931
1,7,-1.35651434685256,88.4147126276849,0.0516889060505914,0.05,-4.63465289598091,4.6,0.9,-1.34107558055787,0.9,0.001,0.432601258533866,1,-0.865249855308255,-0.282447111317267,0.233543146185771,-0.0713009035461027,0,-0.0557272586161526,0,0,0,0,0,-0.00404392273025517,0,-0.014497012520349
2,7,-0.791588558519121,71.8965968168089,0.0546890512401324,0.05,-4.55916713809776,4.6,0.9,-1.34107558055787,0.9,0.001,0.520907472618215,1,-0.915891530904712,0.28247867701617,0.0267336893851011,-0.0148805496241287,0,0.0197584992670006,0,0,0,0,0,0.0842622913540934,0,-0.0651386881168063
1,8,-0.21095500474728,100.465848304209,0.0571862659918249,0.05,-4.55561127570945,4.6,0.9,-1.34107558055787,0.9,0.001,0.350923598039843,1,-0.87620580072608,0.86311223078801,0.36132260983003,0.0297696856443803,0,0.0233143616553049,0,0,0,0,0,-0.0857215832242789,0,-0.0254529579381739
2,8,-1.76864329351709,69.9854989610398,0.0558827361036255,0.05,-4.5065928670543,4.6,0.9,-1.34107558055787,0.9,0.001,0.562321857239973,1,-0.907790311275825,-0.694576057981798,-0.000207179159552595,0.00671141823253985,0,0.072332770310461,0,0,0,0,0,0.125676675975851,0,-0.0570374684879192
1,9,-1.55651343861938,55.1644969180087,0.0560576039988402,0.05,-4.57707592169791,4.6,0.9,-1.34107558055787,0.9,0.001,0.462098101771107,1,-0.829089477133885,-0.48244620308409,-0.238175667465211,0.0098357260075459,0,0.00184971566684577,0,0,0,0,0,0.0254529205069857,0,0.0216633656540206
2,9,-1.23785508028903,81.1911848416353,0.0530003166453814,0.05,-4.70662855715184,4.6,0.9,-1.34107558055787,0.9,0.001,0.378423141253336,1,-0.871264460237186,-0.16378784475374,0.148311438161489,-0.0462461908980845,0,-0.127702919787084,0,0,0,0,0,-0.0582220400107853,0,-0.0205116174492803
1,10,-1.29212309266562,66.5030732076685,0.0536379946632292,0.05,-4.60234862438488,4.6,0.9,-1.34107558055787,0.9,0.001,0.574587325564518,1,-0.843714612162381,-0.218055857130326,-0.0512470818062178,-0.0342864062590058,0,-0.0234229870201226,0,0,0,0,0,0.137942144300397,0,0.007038230625525
2,10,-1.27350120063842,62.4971723595573,0.054016765078747,0.05,-4.58712931186692,4.6,0.9,-1.34107558055787,0.9,0.001,0.30007348050481,1,-0.840231169005449,-0.199433965103129,-0.113373928577547,-0.0272496160721074,0,-0.00820367450216519,0,0,0,0,0,-0.136571700759311,0,0.0105216737824573
