rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0
1,U4,1.48917882518621,2.07251569241206,0.000933973801061565,1,6.28600411601132e-6,4522.43099741744,23,0.8,0.151249576608749,1e-6
2,U4,-0.255170418134224,3.83387058786514,0.00294434754799594,1,4.22462803799836e-6,9338.97506648806,23,0.8,0.119396635751773,1e-6
3,U4,1.87539796967268,1.94577442576508,0.00137441626815091,1,1.08134236300705e-5,3919.73784965674,23,0.8,0.200296261096479,1e-6
4,U4,1.48155991707255,1.52802515599802,0.000513274577208812,1,4.03139331874825e-6,5255.02176875371,23,0.8,0.168572896242539,1e-6
5,U4,1.7569920726982,3.25386101724986,0.00177805749263547,1,4.3333395710971e-6,8015.17389089771,23,0.8,0.143666867473037,1e-6
6,U4,1.29957255669185,2.24232394788348,0.00144808029457528,1,6.46457363882196e-6,6014.18072062401,23,0.8,0.196717783287763,1e-6
7,U4,1.77734959780696,3.045963133674,0.000509817930959034,1,3.11637111932011e-6,3566.00525151716,23,0.8,0.155384099000496,1e-6
8,U4,1.26834503576009,4.00164527659293,0.0014905684011911,1,3.29735653003071e-6,6676.52745292348,23,0.8,0.147744465208344,1e-6
9,U4,0.998990643154481,1.67834705481697,0.00119376165885826,1,6.22899264275517e-6,6774.28292548528,23,0.8,0.208782967504294,1e-6
10,U4,1.08145679452017,2.99165092198617,0.000699019168134785,1,6.57975342123133e-6,2282.63935666582,23,0.8,0.187469583182995,1e-6
1,U5,2.9649434747188,1.1835186067093,0.00369203608248363,1,1.92416377427161e-5,11515.6572070724,23,0.8,0.134599060600736,1e-6
2,U5,1.2866184266795,4.52888572044127,0.00296072852453639,1,1.5893231144585e-5,2643.97307508565,23,0.8,0.126475780669725,1e-6
3,U5,2.58949244125103,1.44481683580642,0.00344240889340186,1,1.86210446258627e-5,8483.05537306884,23,0.8,0.136803879706915,1e-6
4,U5,2.39429308326388,1.13496881699773,0.00315403703778588,1,1.33343117348116e-5,15074.4855177708,23,0.8,0.131494912782003,1e-6
5,U5,2.31772585202459,3.80042251544998,0.00282017373152812,1,1.97395932910985e-5,2560.30816146321,23,0.8,0.143542298201671,1e-6
6,U5,2.08540751948164,1.31548013520733,0.0035154918602614,1,1.74672614485412e-5,10151.2789454585,23,0.8,0.138747110476686,1e-6
7,U5,0.488031093043822,0.848337571221368,0.0031255597312942,1,2.07052691314476e-5,10313.8614421667,23,0.8,0.125581561292986,1e-6
8,U5,2.30887848036343,4.31469814930815,0.00180634393039699,1,1.72396239668468e-5,1657.93393319067,23,0.8,0.141822295833797,1e-6
9,U5,2.6177174113883,1.65303184861347,0.00244581990613058,1,9.59405682722525e-6,11347.3781200613,23,0.8,0.136600692968317,1e-6
10,U5,1.65391898670397,0.71437199597139,0.00306360755882117,1,2.15643013190185e-5,12981.2317784753,23,0.8,0.152301588174156,1e-6
1,U6,-2.51974883240338,1.37606512525779,0.0115069419118542,1,1.26229228889764e-5,32786.2156882011,23,0.8,0.134535428869229,1e-6
2,U6,-2.21574830708953,5.36918502284882,0.0170317724353426,1,1.35751709084777e-5,12463.3812748488,23,0.8,0.130700874680991,1e-6
3,U6,-3.20140159762806,2.1753457838576,0.0225067785002829,1,2.3049698323532e-5,21436.6083679691,23,0.8,0.147578724875058,1e-6
4,U6,-2.6713062900255,1.58985541812441,0.0106515108600111,1,1.12448135027893e-5,29060.6763838018,23,0.8,0.130664712275264,1e-6
5,U6,-3.26699329464331,6.45621715282254,0.0178485979843775,1,1.24460421156455e-5,10850.6057805353,23,0.8,0.113421182267688,1e-6
6,U6,-3.25323700955893,2.25460373219666,0.0239895505661835,1,2.4164457768536e-5,20025.9732346605,23,0.8,0.17252305509566,1e-6
7,U6,-1.91309220566825,1.27962967995766,0.0118846207731459,1,1.02540833919423e-5,48808.8049731696,23,0.8,0.132206991356836,1e-6
8,U6,-1.89193117577161,5.2453986071959,0.0130115678413778,1,1.01557540662514e-5,13195.3281754942,23,0.8,0.124618415467141,1e-6
9,U6,-3.22392276983624,2.33362920430775,0.0262081381977021,1,2.42250988096276e-5,21280.1112099928,23,0.8,0.125926140731352,1e-6
10,U6,-2.80636226122069,1.74105414450526,0.0165251115275633,1,1.28534867467149e-5,35587.8768754823,23,0.8,0.134551019849967,1e-6
1,U7,1.27769863356954,1.1863484586233,0.00195528807475065,1,1.08686809661815e-5,9253.13318598062,23,0.8,0.152362718666431,1e-6
2,U7,0.887455564710102,0.701056841459879,0.00187698769907755,1,2.05020784288627e-5,7380.16022729475,23,0.8,0.205267844574268,1e-6
3,U7,2.07027691301153,0.513288165121061,0.000627712270491386,1,7.72647078949726e-6,9860.63707909331,23,0.8,0.157728475602602,1e-6
4,U7,-0.195915588317448,1.73314017547513,0.00230499978655915,1,1.08722223126969e-5,6474.06637204249,23,0.8,0.128625038800976,1e-6
5,U7,0.750640822366767,1.06465515868822,0.00184310854449799,1,1.62037544404833e-5,5945.69681428775,23,0.8,0.139194114578768,1e-6
6,U7,2.93080156732186,0.689056094028354,0.000676625702825553,1,6.42243471636925e-6,10908.1037053276,23,0.8,0.151100845712963,1e-6
7,U7,0.840330484342202,2.45133058405408,0.00166541064200041,1,9.76726923231941e-6,4163.2907340483,23,0.8,0.138127524004581,1e-6
