rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
7,U3,0.0389129809713771,0.537657935703696,-0.62847943873606,0,-0.308819303465803,-0.655753286351489,0,0,-0.253775128283647,0
8,U3,-0.0104802985442574,-0.80240001194519,-1.18109339920486,0,-0.589198807350617,0.423889581844677,0,0,-0.182960035027966,0
9,U3,-1.56583800195932,-1.01010939026603,-1.03481931737209,0,-0.0102806802053608,0.0172985691667826,0,0,-0.234020880894684,0
10,U3,-0.424509368120336,0.642281314442652,-0.191942834917292,0,0.0136951895113384,-0.669262039960504,0,0,-0.280378301352777,0
1,U4,0.0720665333444864,0.0815938268935505,-0.680423910970202,0,-0.171741210318295,-0.564588124498217,0,0,0.0431465624026631,0
2,U4,-1.67228270997594,0.69670553740077,0.467770227318473,0,-0.569135584893735,0.160558705247283,0,0,-0.193333710945129,0
3,U4,0.458285677830961,0.0184907073360201,-0.294087910842885,0,0.370721487560287,-0.707613028571424,0,0,0.324012840756354,0
4,U4,0.0644476252308289,-0.223193198877584,-1.27906135834466,0,-0.615954750616139,-0.414453658245601,0,0,0.151583539666664,0
5,U4,0.339879780856479,0.532672943693508,-0.0365955474337644,0,-0.543728295207348,0.00769867645898668,0,0,-0.00828753606455152,0
6,U4,-0.117539735149868,0.160343451957718,-0.241878275087337,0,-0.143729742572743,-0.279517670947781,0,0,0.305985394258755,0
7,U4,0.36023730596524,0.466647798370804,-1.28581863469051,0,-0.873397581373294,-0.802191812946875,0,0,0.0701153744406897,0
8,U4,-0.148767256081636,0.739536242863708,-0.21295949504534,0,-0.816945707530301,-0.175039795043054,0,0,0.0196994598423531,0
9,U4,-0.41812164868724,-0.129359939706327,-0.435007640220258,0,-0.180852178340136,-0.160504285142592,0,0,0.365510544202539,0
10,U4,-0.335655497321554,0.448656030010652,-0.970194134468218,0,-0.126069532825628,-1.24830541902771,0,0,0.25783187400349,0
1,U5,1.54783118287708,-0.478677481222214,0.694061070178392,0,0.947009759894024,0.370069800590727,0,0,-0.0734842972292558,0
2,U5,-0.13049386516222,0.863306578574018,0.473318341638617,0,0.755826500923442,-1.10135506651418,0,0,-0.135733902542378,0
3,U5,1.17238014940931,-0.279186796533253,0.624054466459521,0,0.914225569147249,0.0644328832880567,0,0,-0.0572363700063994,0
4,U5,0.977180791422156,-0.520564176290751,0.536566212019067,0,0.580273739380835,0.639365808806468,0,0,-0.0968165704222959,0
5,U5,0.900613560182867,0.687942895991811,0.424681470409054,0,0.972559627021574,-1.13351017823149,0,0,-0.00915498246991927,0
