,A11200,A11201,A11213,A11214,A11219,A11221,R10155,R10159,T10173,T10187,Z08214,Z09087,Z09106,Z09125,Z09144,Z09192,Z09196,Z09204,Z11151,Z12037,Z12216,Z12351,Z12370,Z12417,Z12420,Z13133,weeks
82,,,,30.0,,,,30.0,30.0,30.0,,1480035.0,30.0,,2265122.0,30.0,,,,,,,,,,,79.0
83,,,,,,,,30.0,30.0,30.0,,,,,,,30.0,,,,,,,,,,80.0
84,,30.0,,,,,,30.0,30.0,30.0,30.0,71452.0,30.0,,3189573.0,30.0,30.0,30.0,,,,,,,,,81.0
85,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,81.4
86,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,81.7
87,30.0,,,,,,,30.0,30.0,30.0,30.0,31978.0,160.0,,1834873.0,30.0,30.0,30.0,,,,,,,,,82.0
88,30.0,,,30.0,,,,30.0,30.0,,,,,,,,80.0,58.0,,,,,,,,,83.0
89,30.0,,,,,,,,30.0,,225.0,107505.0,,,3325736.0,909.0,295096.0,1455.0,,,,,,,,,84.0
90,30.0,,,,,,,,,,8126623.0,71657.0,150604.0,,2143865.0,64592.0,,,,,,,,,,,85.0
91,30.0,,,,,,,,,30.0,11889296.0,27531.0,31093.0,,2009707.0,308338.0,1238924.0,1156.0,,,,,,,,,86.0
92,24748.0,,,30.0,,,,30.0,,,4980666.0,69475.0,3801.0,,1428364.0,38225.0,57415.0,495.0,,,,,,,,,87.0
93,385471.0,,,,,,,,30.0,,2582242.0,21210.0,2288.0,,1386949.0,20104.0,7402.0,65.0,,,,,,,,,88.0
94,1066664.0,,,,,,,30.0,,30.0,4224602.0,41910.0,9466.0,,1058507.0,25207.0,,,,,,,,,,,89.0
95,,,,,,,,,,30.0,2270709.0,31444.0,5157.0,,1515525.0,21967.0,6592.0,606.0,,,,,,,,,90.0
96,1096.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,91.0
97,1299.0,,,,,,,,,,1243847.0,18567.0,4368.0,,688485.0,5376.0,16244.0,530.0,,,,,,,,,92.0
98,827.0,,,,,,,,,,,,,,,,,462.0,,,,,,,,,93.0
99,,,,,,,,,,,,46140.0,2297.0,,1107020.0,10133.0,,,,,,,,,,,94.0
100,4313.0,,,30.0,,,,,,,,,,,,,19143.0,,,,,,,,,,95.0
101,3741.0,,,,,,,,,,,28855.0,2194.0,,,2607.0,,438.0,,,,,,,,,96.0
102,,,,,,,,,,,,,,,1585047.0,,,,,,,,,,,,97.0
103,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0
104,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,99.0
105,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
106,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
108,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0
