rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50,data
4,37,-0.017060,0.000000,-0.034923,0.000000,0.001254,0.000000,0.000000,0.000000,0.000000,0.000000,-0.479745,0.000000,0.112670,thai
5,37,1.517666,0.000000,-0.074240,0.000000,0.034141,0.000000,0.000000,0.000000,0.000000,0.000000,-0.525113,0.000000,0.023430,thai
6,37,0.936818,0.000000,-0.023901,0.000000,0.037361,0.000000,0.000000,0.000000,0.000000,0.000000,-1.142449,0.000000,0.657605,thai
7,37,-0.309352,0.000000,0.008091,0.000000,0.028917,0.000000,0.000000,0.000000,0.000000,0.000000,-1.094997,0.000000,-0.065337,thai
8,37,-0.483160,0.000000,0.004649,0.000000,0.021021,0.000000,0.000000,0.000000,0.000000,0.000000,-0.093850,0.000000,-0.437353,thai
9,37,-2.353755,0.000000,0.035844,0.000000,-0.003908,0.000000,0.000000,0.000000,0.000000,0.000000,-0.252481,0.000000,-0.938323,thai
10,37,-1.033863,0.000000,-0.000200,0.000000,0.004995,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180180,0.000000,-0.423954,thai
1,38,-1.644213,0.000000,0.027186,0.000000,0.006419,0.000000,0.000000,0.000000,0.000000,0.000000,0.022905,0.000000,0.087720,thai
2,38,-2.037929,0.000000,-0.010785,0.000000,-0.011302,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065502,0.000000,0.048194,thai
3,38,-1.082786,0.000000,-0.013363,0.000000,-0.007907,0.000000,0.000000,0.000000,0.000000,0.000000,0.037658,0.000000,0.069727,thai
4,38,0.916805,0.000000,0.010881,0.000000,-0.001383,0.000000,0.000000,0.000000,0.000000,0.000000,-0.269158,0.000000,0.486905,thai
5,38,-0.223313,0.000000,-0.062395,0.000000,-0.025295,0.000000,0.000000,0.000000,0.000000,0.000000,-0.499407,0.000000,0.756590,thai
6,38,-1.956802,0.000000,-0.007415,0.000000,-0.015365,0.000000,0.000000,0.000000,0.000000,0.000000,0.031267,0.000000,-0.075686,thai
7,38,-1.973393,0.000000,0.016135,0.000000,-0.032770,0.000000,0.000000,0.000000,0.000000,0.000000,0.082139,0.000000,0.023378,thai
8,38,-1.106273,0.000000,0.020285,0.000000,0.001595,0.000000,0.000000,0.000000,0.000000,0.000000,-0.333416,0.000000,0.490217,thai
9,38,-1.085589,0.000000,-0.006940,0.000000,0.013121,0.000000,0.000000,0.000000,0.000000,0.000000,-0.127662,0.000000,0.115803,thai
10,38,-3.073458,0.000000,0.077789,0.000000,-0.016671,0.000000,0.000000,0.000000,0.000000,0.000000,-0.184469,0.000000,0.280557,thai
1,39,0.115495,0.000000,0.100260,0.000000,-0.041653,0.000000,0.000000,0.000000,0.000000,0.000000,-0.474461,0.000000,0.596494,thai
2,39,-2.160336,0.000000,0.152602,0.000000,-0.034257,0.000000,0.000000,0.000000,0.000000,0.000000,-0.401283,0.000000,0.524726,thai
3,39,-1.040702,0.000000,0.116369,0.000000,-0.033619,0.000000,0.000000,0.000000,0.000000,0.000000,-0.461862,0.000000,0.665076,thai
4,39,-0.658399,0.000000,0.081716,0.000000,-0.043472,0.000000,0.000000,0.000000,0.000000,0.000000,-0.571766,0.000000,0.677539,thai
5,39,-0.685474,0.000000,-0.005828,0.000000,-0.072044,0.000000,0.000000,0.000000,0.000000,0.000000,-0.536310,0.000000,0.703501,thai
6,39,-0.848996,0.000000,0.072182,0.000000,-0.057414,0.000000,0.000000,0.000000,0.000000,0.000000,-0.497835,0.000000,0.709673,thai
7,39,-0.110928,0.000000,0.034062,0.000000,-0.055336,0.000000,0.000000,0.000000,0.000000,0.000000,-0.486917,0.000000,0.620979,thai
8,39,-0.802485,0.000000,0.046132,0.000000,-0.070885,0.000000,0.000000,0.000000,0.000000,0.000000,-0.572531,0.000000,0.881803,thai
9,39,-3.032542,0.000000,0.077778,0.000000,-0.077533,0.000000,0.000000,0.000000,0.000000,0.000000,-0.553069,0.000000,0.757642,thai
10,39,-1.142833,0.000000,0.075107,0.000000,-0.053748,0.000000,0.000000,0.000000,0.000000,0.000000,-0.661958,0.000000,0.833240,thai
1,40,-2.752899,0.000000,0.027684,0.000000,0.000613,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011003,0.000000,-0.356758,thai
2,40,-2.530041,0.000000,0.066368,0.000000,0.027440,0.000000,0.000000,0.000000,0.000000,0.000000,0.219811,0.000000,-0.621447,thai
3,40,-2.266682,0.000000,0.017899,0.000000,-0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.424614,0.000000,-0.852938,thai
4,40,-2.329250,0.000000,-0.032334,0.000000,-0.007812,0.000000,0.000000,0.000000,0.000000,0.000000,0.360143,0.000000,-0.795759,thai
5,40,-4.001354,0.000000,0.041512,0.000000,-0.000604,0.000000,0.000000,0.000000,0.000000,0.000000,0.247428,0.000000,-0.660451,thai
6,40,-1.867993,0.000000,-0.012640,0.000000,-0.015760,0.000000,0.000000,0.000000,0.000000,0.000000,0.115949,0.000000,-0.665190,thai
7,40,-5.319891,0.000000,0.010510,0.000000,-0.032993,0.000000,0.000000,0.000000,0.000000,0.000000,0.118634,0.000000,-0.586464,thai
8,40,-3.390690,0.000000,-0.000174,0.000000,-0.010825,0.000000,0.000000,0.000000,0.000000,0.000000,0.331769,0.000000,-0.759589,thai
9,40,-2.496254,0.000000,-0.053606,0.000000,-0.023286,0.000000,0.000000,0.000000,0.000000,0.000000,0.390999,0.000000,-0.793622,thai
10,40,-3.995512,0.000000,-0.025725,0.000000,-0.034810,0.000000,0.000000,0.000000,0.000000,0.000000,0.150588,0.000000,-0.590497,thai
1,41,2.347166,0.000000,-0.049211,0.000000,0.036894,0.000000,0.000000,0.000000,0.000000,0.000000,0.318185,0.000000,-0.544755,thai
2,41,2.652277,0.000000,-0.049739,0.000000,0.024968,0.000000,0.000000,0.000000,0.000000,0.000000,0.065090,0.000000,0.001243,thai
3,41,2.616932,0.000000,-0.008313,0.000000,0.042331,0.000000,0.000000,0.000000,0.000000,0.000000,-0.086825,0.000000,0.013030,thai
4,41,1.822785,0.000000,-0.046349,0.000000,0.005371,0.000000,0.000000,0.000000,0.000000,0.000000,-0.157450,0.000000,0.255509,thai
5,41,0.637626,0.000000,-0.030470,0.000000,-0.006137,0.000000,0.000000,0.000000,0.000000,0.000000,-0.082764,0.000000,0.267570,thai
6,41,1.919405,0.000000,-0.064133,0.000000,0.012751,0.000000,0.000000,0.000000,0.000000,0.000000,-0.336386,0.000000,0.333901,thai
7,41,0.576673,0.000000,0.006235,0.000000,-0.003170,0.000000,0.000000,0.000000,0.000000,0.000000,-0.213916,0.000000,0.408578,thai
8,41,-0.619156,0.000000,0.041166,0.000000,-0.010300,0.000000,0.000000,0.000000,0.000000,0.000000,-0.315889,0.000000,0.515419,thai
9,41,1.551730,0.000000,-0.074106,0.000000,-0.004285,0.000000,0.000000,0.000000,0.000000,0.000000,-0.381392,0.000000,0.528966,thai
10,41,-0.286730,0.000000,0.057508,0.000000,0.002166,0.000000,0.000000,0.000000,0.000000,0.000000,-0.278262,0.000000,0.425477,thai
1,42,0.982657,0.000000,-0.022031,0.000000,-0.015402,0.000000,0.000000,0.000000,0.000000,0.000000,-0.349832,0.000000,0.432187,thai
2,42,2.179452,0.000000,-0.043200,0.000000,0.006320,0.000000,0.000000,0.000000,0.000000,0.000000,-0.694642,0.000000,0.728242,thai
3,42,1.809551,0.000000,0.004790,0.000000,0.024032,0.000000,0.000000,0.000000,0.000000,0.000000,-0.479836,0.000000,0.385147,thai
4,42,0.687911,0.000000,-0.020569,0.000000,0.000469,0.000000,0.000000,0.000000,0.000000,0.000000,-0.402822,0.000000,0.307344,thai
5,42,-0.122945,0.000000,-0.019456,0.000000,-0.013712,0.000000,0.000000,0.000000,0.000000,0.000000,-0.607837,0.000000,0.604667,thai
6,42,1.216554,0.000000,-0.020760,0.000000,0.007365,0.000000,0.000000,0.000000,0.000000,0.000000,-0.188491,0.000000,-0.065916,thai
7,42,-0.060402,0.000000,-0.004504,0.000000,0.004874,0.000000,0.000000,0.000000,0.000000,0.000000,-0.135389,0.000000,-0.000692,thai
8,42,-0.672199,0.000000,0.050787,0.000000,-0.000841,0.000000,0.000000,0.000000,0.000000,0.000000,-0.211805,0.000000,0.188600,thai
9,42,0.624871,0.000000,0.012748,0.000000,-0.000734,0.000000,0.000000,0.000000,0.000000,0.000000,-0.418537,0.000000,0.371662,thai
10,42,0.603438,0.000000,0.082602,0.000000,0.023083,0.000000,0.000000,0.000000,0.000000,0.000000,-0.589221,0.000000,0.618759,thai
1,43,-0.429090,0.000000,0.035702,0.000000,-0.024182,0.000000,0.000000,0.000000,0.000000,0.000000,-0.638924,0.000000,-0.019249,thai
2,43,-0.633187,0.000000,-0.020830,0.000000,-0.045487,0.000000,0.000000,0.000000,0.000000,0.000000,-0.669339,0.000000,0.247301,thai
3,43,0.532928,0.000000,0.008539,0.000000,-0.019087,0.000000,0.000000,0.000000,0.000000,0.000000,-1.007762,0.000000,0.750129,thai
4,43,-0.184950,0.000000,-0.014534,0.000000,-0.045931,0.000000,0.000000,0.000000,0.000000,0.000000,-1.088769,0.000000,0.701413,thai
5,43,1.435475,0.000000,-0.009360,0.000000,-0.003793,0.000000,0.000000,0.000000,0.000000,0.000000,-0.827122,0.000000,0.581677,thai
6,43,1.471918,0.000000,-0.024619,0.000000,-0.002455,0.000000,0.000000,0.000000,0.000000,0.000000,-0.822753,0.000000,0.002285,thai
7,43,2.166673,0.000000,-0.013779,0.000000,-0.003268,0.000000,0.000000,0.000000,0.000000,0.000000,-0.459706,0.000000,0.262834,thai
8,43,1.224136,0.000000,0.013272,0.000000,0.010731,0.000000,0.000000,0.000000,0.000000,0.000000,-0.430814,0.000000,-0.017426,thai
9,43,-0.657723,0.000000,0.024476,0.000000,-0.020622,0.000000,0.000000,0.000000,0.000000,0.000000,-0.312470,0.000000,-0.301659,thai
10,43,1.950380,0.000000,-0.025861,0.000000,-0.013738,0.000000,0.000000,0.000000,0.000000,0.000000,0.079744,0.000000,-0.543905,thai
1,44,-1.922020,0.000000,0.048846,0.000000,0.055615,0.000000,0.000000,0.000000,0.000000,0.000000,-0.184575,0.000000,0.474304,thai
2,44,-1.541651,0.000000,-0.031788,0.000000,-0.002030,0.000000,0.000000,0.000000,0.000000,0.000000,-0.414929,0.000000,0.541041,thai
3,44,-0.445920,0.000000,-0.120941,0.000000,-0.019841,0.000000,0.000000,0.000000,0.000000,0.000000,-0.532558,0.000000,0.740084,thai
4,44,-0.721638,0.000000,-0.100208,0.000000,0.018675,0.000000,0.000000,0.000000,0.000000,0.000000,-0.611714,0.000000,0.896000,thai
5,44,1.640346,0.000000,-0.034742,0.000000,0.069712,0.000000,0.000000,0.000000,0.000000,0.000000,-0.446317,0.000000,0.703749,thai
6,44,-1.559355,0.000000,-0.025049,0.000000,0.025035,0.000000,0.000000,0.000000,0.000000,0.000000,-0.515170,0.000000,0.737857,thai
7,44,-2.483164,0.000000,-0.000498,0.000000,-0.018540,0.000000,0.000000,0.000000,0.000000,0.000000,-0.573152,0.000000,0.929277,thai
8,44,-3.300521,0.000000,-0.005563,0.000000,0.006855,0.000000,0.000000,0.000000,0.000000,0.000000,-0.554949,0.000000,0.636786,thai
9,44,-6.969069,0.000000,0.073932,0.000000,-0.007086,0.000000,0.000000,0.000000,0.000000,0.000000,-0.534471,0.000000,0.545397,thai
10,44,-3.217231,0.000000,0.060842,0.000000,0.019077,0.000000,0.000000,0.000000,0.000000,0.000000,-0.345834,0.000000,0.508308,thai
1,45,4.072163,0.000000,0.015684,0.000000,0.011036,0.000000,0.000000,0.000000,0.000000,0.000000,-0.130223,0.000000,0.437545,thai
2,45,2.697352,0.000000,-0.013840,0.000000,-0.003623,0.000000,0.000000,0.000000,0.000000,0.000000,-0.093802,0.000000,0.293874,thai
3,45,2.851826,0.000000,0.018902,0.000000,-0.006062,0.000000,0.000000,0.000000,0.000000,0.000000,-0.208450,0.000000,0.423068,thai
4,45,3.130568,0.000000,0.019151,0.000000,-0.009736,0.000000,0.000000,0.000000,0.000000,0.000000,0.111192,0.000000,0.054137,thai
5,45,3.236197,0.000000,0.044180,0.000000,0.008776,0.000000,0.000000,0.000000,0.000000,0.000000,0.154200,0.000000,0.028865,thai
6,45,4.097078,0.000000,0.012786,0.000000,0.010700,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009315,0.000000,0.250813,thai
7,45,2.920602,0.000000,-0.030704,0.000000,-0.028178,0.000000,0.000000,0.000000,0.000000,0.000000,0.176967,0.000000,-0.037803,thai
8,45,1.645540,0.000000,0.002902,0.000000,-0.037951,0.000000,0.000000,0.000000,0.000000,0.000000,0.202696,0.000000,-0.062673,thai
9,45,2.225267,0.000000,0.032014,0.000000,-0.012618,0.000000,0.000000,0.000000,0.000000,0.000000,0.253632,0.000000,-0.179070,thai
10,45,-0.002693,0.000000,0.055353,0.000000,-0.046216,0.000000,0.000000,0.000000,0.000000,0.000000,-0.094137,0.000000,0.162204,thai
1,46,-1.619392,0.000000,0.015850,0.000000,0.008598,0.000000,0.000000,0.000000,0.000000,0.000000,-0.349378,0.000000,0.080838,thai
2,46,-3.509992,0.000000,-0.061707,0.000000,-0.036354,0.000000,0.000000,0.000000,0.000000,0.000000,-0.085771,0.000000,-0.241143,thai
3,46,-3.428940,0.000000,-0.032892,0.000000,-0.048757,0.000000,0.000000,0.000000,0.000000,0.000000,-0.422966,0.000000,0.141458,thai
4,46,-4.517196,0.000000,-0.028040,0.000000,-0.029278,0.000000,0.000000,0.000000,0.000000,0.000000,-0.551884,0.000000,0.456106,thai
5,46,-4.636695,0.000000,-0.016740,0.000000,-0.039203,0.000000,0.000000,0.000000,0.000000,0.000000,0.030617,0.000000,-0.308668,thai
6,46,-2.925469,0.000000,0.004628,0.000000,-0.001239,0.000000,0.000000,0.000000,0.000000,0.000000,-0.083929,0.000000,-0.101285,thai
7,46,-4.358483,0.000000,-0.006273,0.000000,-0.016602,0.000000,0.000000,0.000000,0.000000,0.000000,-0.291826,0.000000,0.057872,thai
8,46,-2.342896,0.000000,-0.065267,0.000000,-0.010563,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063088,0.000000,-0.217693,thai
9,46,-1.266649,0.000000,0.016699,0.000000,0.021601,0.000000,0.000000,0.000000,0.000000,0.000000,-0.290980,0.000000,-0.040243,thai
10,46,-0.907883,0.000000,0.010135,0.000000,0.044524,0.000000,0.000000,0.000000,0.000000,0.000000,-0.229112,0.000000,0.047364,thai
1,47,2.016797,0.000000,-0.038888,0.000000,-0.021332,0.000000,0.000000,0.000000,0.000000,0.000000,-0.163607,0.000000,0.275736,thai
2,47,1.705783,0.000000,0.017341,0.000000,0.004896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.440046,0.000000,0.613166,thai
3,47,1.976335,0.000000,0.017555,0.000000,0.005996,0.000000,0.000000,0.000000,0.000000,0.000000,-0.429074,0.000000,0.472339,thai
4,47,2.565916,0.000000,0.010759,0.000000,-0.007317,0.000000,0.000000,0.000000,0.000000,0.000000,-0.493548,0.000000,0.663116,thai
5,47,1.728788,0.000000,-0.037853,0.000000,-0.017853,0.000000,0.000000,0.000000,0.000000,0.000000,-0.468826,0.000000,0.699470,thai
6,47,2.406422,0.000000,0.004183,0.000000,0.001090,0.000000,0.000000,0.000000,0.000000,0.000000,-0.303142,0.000000,0.359010,thai
7,47,3.821321,0.000000,-0.011165,0.000000,0.023826,0.000000,0.000000,0.000000,0.000000,0.000000,-0.696272,0.000000,0.972572,thai
8,47,2.131306,0.000000,-0.000049,0.000000,0.006127,0.000000,0.000000,0.000000,0.000000,0.000000,-0.385380,0.000000,0.493738,thai
9,47,-0.363899,0.000000,0.087171,0.000000,0.005976,0.000000,0.000000,0.000000,0.000000,0.000000,-0.590992,0.000000,0.662140,thai
10,47,1.412030,0.000000,-0.015452,0.000000,-0.033804,0.000000,0.000000,0.000000,0.000000,0.000000,-0.237322,0.000000,0.334590,thai
1,48,2.637782,0.000000,0.008270,0.000000,0.016142,0.000000,0.000000,0.000000,0.000000,0.000000,-0.736859,0.000000,0.651017,thai
2,48,0.856460,0.000000,0.104730,0.000000,0.005465,0.000000,0.000000,0.000000,0.000000,0.000000,-0.441326,0.000000,0.352903,thai
3,48,-0.485611,0.000000,0.104724,0.000000,0.014483,0.000000,0.000000,0.000000,0.000000,0.000000,-0.335617,0.000000,0.110538,thai
4,48,2.537746,0.000000,0.023682,0.000000,0.010855,0.000000,0.000000,0.000000,0.000000,0.000000,-0.410766,0.000000,0.346042,thai
5,48,0.332355,0.000000,0.041600,0.000000,-0.023077,0.000000,0.000000,0.000000,0.000000,0.000000,-0.612609,0.000000,0.472777,thai
6,48,2.070406,0.000000,0.051531,0.000000,0.003115,0.000000,0.000000,0.000000,0.000000,0.000000,-0.643372,0.000000,0.674823,thai
7,48,2.794319,0.000000,-0.033815,0.000000,-0.014781,0.000000,0.000000,0.000000,0.000000,0.000000,-0.713578,0.000000,0.801061,thai
8,48,0.092473,0.000000,0.011742,0.000000,-0.037230,0.000000,0.000000,0.000000,0.000000,0.000000,-0.636815,0.000000,0.703466,thai
9,48,2.035978,0.000000,0.063715,0.000000,0.013443,0.000000,0.000000,0.000000,0.000000,0.000000,-0.392001,0.000000,0.195238,thai
10,48,1.783907,0.000000,-0.024062,0.000000,-0.018706,0.000000,0.000000,0.000000,0.000000,0.000000,-0.141853,0.000000,-0.080622,thai
1,49,5.338748,0.000000,0.027098,0.000000,-0.004926,0.000000,0.000000,0.000000,0.000000,0.000000,1.045993,0.000000,-0.932809,thai
2,49,4.885094,0.000000,0.073955,0.000000,-0.000530,0.000000,0.000000,0.000000,0.000000,0.000000,1.034289,0.000000,-0.907707,thai
3,49,6.061589,0.000000,0.091213,0.000000,0.021270,0.000000,0.000000,0.000000,0.000000,0.000000,0.909733,0.000000,-0.743265,thai
4,49,5.450486,0.000000,0.009253,0.000000,-0.011131,0.000000,0.000000,0.000000,0.000000,0.000000,0.758995,0.000000,-0.613125,thai
5,49,6.339549,0.000000,0.034118,0.000000,0.000894,0.000000,0.000000,0.000000,0.000000,0.000000,0.902102,0.000000,-0.734468,thai
6,49,5.495942,0.000000,0.039565,0.000000,-0.020332,0.000000,0.000000,0.000000,0.000000,0.000000,0.695339,0.000000,-0.519375,thai
7,49,6.894576,0.000000,-0.031941,0.000000,-0.005693,0.000000,0.000000,0.000000,0.000000,0.000000,0.834538,0.000000,-0.643591,thai
8,49,6.139457,0.000000,0.003198,0.000000,-0.010976,0.000000,0.000000,0.000000,0.000000,0.000000,0.828407,0.000000,-0.684308,thai
9,49,5.418644,0.000000,-0.061132,0.000000,-0.042366,0.000000,0.000000,0.000000,0.000000,0.000000,0.914601,0.000000,-0.792445,thai
10,49,5.664004,0.000000,0.033477,0.000000,-0.008244,0.000000,0.000000,0.000000,0.000000,0.000000,0.920809,0.000000,-0.776625,thai
1,50,3.400165,0.000000,-0.013097,0.000000,0.005825,0.000000,0.000000,0.000000,0.000000,0.000000,-0.819244,0.000000,0.711500,thai
2,50,3.016991,0.000000,0.003826,0.000000,0.009597,0.000000,0.000000,0.000000,0.000000,0.000000,-1.022944,0.000000,1.156229,thai
3,50,3.360274,0.000000,-0.007800,0.000000,0.005256,0.000000,0.000000,0.000000,0.000000,0.000000,-1.091133,0.000000,1.034074,thai
4,50,2.824225,0.000000,0.062439,0.000000,0.005054,0.000000,0.000000,0.000000,0.000000,0.000000,-1.042446,0.000000,2.112884,thai
5,50,3.169257,0.000000,-0.064866,0.000000,-0.016591,0.000000,0.000000,0.000000,0.000000,0.000000,-0.972565,0.000000,1.064721,thai
6,50,3.275296,0.000000,-0.078562,0.000000,-0.010376,0.000000,0.000000,0.000000,0.000000,0.000000,-0.918005,0.000000,0.665597,thai
7,50,4.259439,0.000000,-0.115718,0.000000,-0.006770,0.000000,0.000000,0.000000,0.000000,0.000000,-0.682375,0.000000,0.496025,thai
8,50,3.671065,0.000000,-0.051679,0.000000,-0.004639,0.000000,0.000000,0.000000,0.000000,0.000000,-0.853732,0.000000,0.831066,thai
9,50,3.293447,0.000000,0.006480,0.000000,0.013994,0.000000,0.000000,0.000000,0.000000,0.000000,-0.755670,0.000000,0.647469,thai
10,50,3.135238,0.000000,-0.103037,0.000000,-0.019906,0.000000,0.000000,0.000000,0.000000,0.000000,-0.565738,0.000000,0.239642,thai
1,51,-1.781342,0.000000,0.043897,0.000000,-0.030998,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060586,0.000000,0.063133,thai
2,51,-1.250191,0.000000,-0.013765,0.000000,-0.059296,0.000000,0.000000,0.000000,0.000000,0.000000,0.147263,0.000000,-0.138023,thai
3,51,-1.210137,0.000000,-0.011690,0.000000,-0.037797,0.000000,0.000000,0.000000,0.000000,0.000000,0.101177,0.000000,-0.247148,thai
4,51,-2.940229,0.000000,-0.034942,0.000000,-0.066607,0.000000,0.000000,0.000000,0.000000,0.000000,0.225602,0.000000,-0.221894,thai
5,51,-2.001712,0.000000,0.033480,0.000000,-0.038958,0.000000,0.000000,0.000000,0.000000,0.000000,-0.101055,0.000000,0.032831,thai
6,51,-1.502820,0.000000,0.060143,0.000000,-0.017686,0.000000,0.000000,0.000000,0.000000,0.000000,-0.158482,0.000000,0.206944,thai
7,51,-5.663506,0.000000,0.061374,0.000000,-0.053389,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069559,0.000000,0.064008,thai
8,51,-4.385703,0.000000,0.122743,0.000000,-0.025321,0.000000,0.000000,0.000000,0.000000,0.000000,0.071882,0.000000,-0.210055,thai
9,51,-2.210291,0.000000,0.061149,0.000000,-0.027875,0.000000,0.000000,0.000000,0.000000,0.000000,-0.135073,0.000000,0.196111,thai
10,51,-0.636470,0.000000,0.051919,0.000000,-0.017932,0.000000,0.000000,0.000000,0.000000,0.000000,-0.185640,0.000000,0.186849,thai
1,1,-0.011467,0.000000,0.031603,0.000000,-0.015269,0.000000,0.000000,0.000000,0.000000,0.000000,-0.430979,0.000000,0.413172,africa
2,1,-0.760944,0.000000,0.043052,0.000000,0.017847,0.000000,0.000000,0.000000,0.000000,0.000000,-0.396294,0.000000,0.451986,africa
3,1,0.807911,0.000000,-0.037561,0.000000,-0.007341,0.000000,0.000000,0.000000,0.000000,0.000000,-0.378310,0.000000,0.253526,africa
4,1,-1.160610,0.000000,0.007790,0.000000,-0.028651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.603016,0.000000,0.771795,africa
5,1,1.078998,0.000000,-0.019219,0.000000,0.012755,0.000000,0.000000,0.000000,0.000000,0.000000,-0.620229,0.000000,0.662823,africa
6,1,-1.249295,0.000000,-0.051483,0.000000,-0.026552,0.000000,0.000000,0.000000,0.000000,0.000000,-0.345765,0.000000,0.285514,africa
7,1,-0.290683,0.000000,-0.069298,0.000000,-0.024028,0.000000,0.000000,0.000000,0.000000,0.000000,-0.338883,0.000000,0.294879,africa
8,1,-1.443548,0.000000,-0.008358,0.000000,-0.029055,0.000000,0.000000,0.000000,0.000000,0.000000,-0.465341,0.000000,0.342409,africa
9,1,1.309616,0.000000,-0.081597,0.000000,0.009868,0.000000,0.000000,0.000000,0.000000,0.000000,0.094980,0.000000,-0.325771,africa
10,1,0.151330,0.000000,-0.003723,0.000000,0.008649,0.000000,0.000000,0.000000,0.000000,0.000000,0.342250,0.000000,-0.629905,africa
1,2,2.098501,0.000000,-0.039020,0.000000,0.006340,0.000000,0.000000,0.000000,0.000000,0.000000,-0.541899,0.000000,0.539214,africa
2,2,3.779476,0.000000,0.031990,0.000000,0.032849,0.000000,0.000000,0.000000,0.000000,0.000000,-0.439655,0.000000,0.630449,africa
3,2,2.009887,0.000000,0.022545,0.000000,0.002026,0.000000,0.000000,0.000000,0.000000,0.000000,-0.858907,0.000000,1.074847,africa
4,2,2.391233,0.000000,-0.028424,0.000000,0.004877,0.000000,0.000000,0.000000,0.000000,0.000000,-0.714953,0.000000,0.851911,africa
5,2,1.314628,0.000000,0.001336,0.000000,-0.021378,0.000000,0.000000,0.000000,0.000000,0.000000,-0.599346,0.000000,0.715643,africa
