id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,lk_SAEM,lae_SAEM,f_SAEM,dp_SAEM,lw_SAEM,dE_SAEM,lI50_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,lk_mean,lae_mean,f_mean,dp_mean,lw_mean,dE_mean,lI50_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,lk_mode,lae_mode,f_mode,dp_mode,lw_mode,dE_mode,lI50_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,lk_sd,lae_sd,f_sd,dp_sd,lw_sd,dE_sd,lI50_sd,data
7,-5.83946,15.6382,0.00938027,0.05,-4.91065,4.6,0.9,-4.11395,0.037858,0.9,0.001,1.32813,1,1.95947e+32,-5.92727,15.6957,0.00936724,0.05,-4.91099,4.6,0.9,-4.05699,0.0340017,0.9,0.001,1.32529,0.999857,5.42586e+45,-5.52343,15.7411,0.00932774,0.05,-4.91071,4.6,0.9,-3.98239,0.0352314,0.9,0.001,1.35765,1,1.00801e-06,1.67198,0.748156,0.000454577,0,0.012111,0,0,0.468887,0.52942,0,0,0.132506,0.00468252,2.43127e+47,africa
8,-9.019,16.0532,0.00913689,0.05,-4.90845,4.6,0.9,-4.1596,-0.188463,0.9,0.001,-2.00098,1,6.91332e+39,-9.44982,15.9419,0.00917985,0.05,-4.9087,4.6,0.9,-3.85816,0.378325,0.9,0.001,-1.24198,1,1.19867e+37,-9.4731,15.9547,0.00918087,0.05,-4.9097,4.6,0.9,-3.62017,0.455415,0.9,0.001,-0.622416,1,2.78933e-08,1.75237,0.659805,0.000407161,0,0.0119648,0,0,0.476505,0.661157,0,0,0.679079,4.75139e-06,5.37116e+38,africa
9,-8.47221,15.9468,0.00926311,0.05,-4.90927,4.6,0.9,-4.40557,-0.317308,0.9,0.001,0.653158,0.999959,0.00141482,-8.57307,15.8703,0.0092451,0.05,-4.90944,4.6,0.9,-4.34788,-0.426142,0.9,0.001,0.659376,1,3.19935e+09,-8.63976,15.7463,0.00930548,0.05,-4.91046,4.6,0.9,-4.43437,-0.598881,0.9,0.001,0.679082,1,6.36514e-07,1.50909,0.691436,0.000447228,0,0.0118756,0,0,0.432522,0.498753,0,0,0.113065,4.8347e-06,1.39261e+11,africa
10,-9.99103,16.1221,0.00910922,0.05,-4.90532,4.6,0.9,-3.80543,0.267258,0.9,0.001,-0.213664,0.999999,0.00419734,-10.0203,16.1731,0.00912529,0.05,-4.9073,4.6,0.9,-3.87122,0.257899,0.9,0.001,-0.205441,0.999008,5.81419e+27,-9.67464,16.125,0.00904691,0.05,-4.90684,4.6,0.9,-4.01043,0.327056,0.9,0.001,-0.0824439,1,9.76094e-07,1.56015,0.673173,0.000427729,0,0.0111591,0,0,0.442377,0.526611,0,0,0.42411,0.0235644,2.60536e+29,africa
11,-5.08911,16.4304,0.00897441,0.05,-4.90421,4.6,0.9,-3.8793,0.684533,0.9,0.001,-0.301622,0.999998,0.00406399,-5.43841,16.336,0.00903593,0.05,-4.90677,4.6,0.9,-3.88667,0.534589,0.9,0.001,-0.217982,0.999896,0.0289292,-5.1765,16.2932,0.00900217,0.05,-4.9064,4.6,0.9,-3.86325,0.370248,0.9,0.001,-0.0612665,1,1.46693e-06,1.23558,0.676798,0.000405679,0,0.0118744,0,0,0.395641,0.458957,0,0,0.304185,0.0036974,0.129422,africa
12,-7.28019,16.1267,0.00910493,0.05,-4.9072,4.6,0.9,-4.33444,0.0443252,0.9,0.001,0.448745,0.999915,0.00555384,-7.91618,16.0121,0.00917277,0.05,-4.90814,4.6,0.9,-4.15652,-0.155685,0.9,0.001,0.442168,0.999858,0.0049194,-7.5248,15.9649,0.0091763,0.05,-4.90849,4.6,0.9,-4.16987,-0.135385,0.9,0.001,0.456308,1,1.39989e-06,1.85081,0.718071,0.000429499,0,0.0119243,0,0,0.435152,0.456074,0,0,0.119742,0.00460576,0.0300047,africa
13,-7.38828,15.8806,0.00924541,0.05,-4.90924,4.6,0.9,-3.89099,0.463875,0.9,0.001,0.147429,1,2.01375e+33,-7.22151,15.9017,0.00925244,0.05,-4.91043,4.6,0.9,-3.84856,0.377564,0.9,0.001,0.165607,0.999008,2.47492e+40,-6.86729,15.8942,0.00922549,0.05,-4.90922,4.6,0.9,-3.73421,0.554666,0.9,0.001,0.171308,1,0.202983,1.57968,0.76068,0.000442418,0,0.0120745,0,0,0.451393,0.549269,0,0,0.197846,0.0251775,9.32936e+41,africa
14,-4.90552,16.032,0.00924671,0.05,-4.90879,4.6,0.9,-4.1737,-0.0365333,0.9,0.001,0.592499,1,0.00383221,-5.2051,15.8652,0.00925281,0.05,-4.90963,4.6,0.9,-4.1527,-0.0468774,0.9,0.001,0.544889,0.999974,5.62101e+35,-4.97942,15.8889,0.00922896,0.05,-4.9093,4.6,0.9,-4.16016,-0.0630524,0.9,0.001,0.574306,1,1.65376e-06,1.2832,0.718391,0.000433558,0,0.0118612,0,0,0.447706,0.524539,0,0,0.160688,0.000756225,1.79107e+37,africa
15,-7.9519,16.0608,0.00920926,0.05,-4.90845,4.6,0.9,-3.9765,0.134848,0.9,0.001,-1.44382,0.99046,6.06594e+31,-7.67921,16.2566,0.00909994,0.05,-4.90655,4.6,0.9,-3.70475,0.542424,0.9,0.001,-1.31571,0.999821,8.6823e+52,-7.10062,16.4744,0.00891789,0.05,-4.9047,4.6,0.9,-3.35834,0.853085,0.9,0.001,-0.749262,1,0.000466713,1.44238,0.735406,0.000422061,0,0.0122045,0,0,0.581529,0.755437,0,0,0.511251,0.00534983,3.80175e+54,africa
16,-6.63106,15.8775,0.00923131,0.05,-4.90926,4.6,0.9,-4.01873,0.25048,0.9,0.001,-1.53666,0.999564,1.32343e+44,-6.35519,16.0139,0.00920328,0.05,-4.90823,4.6,0.9,-3.81093,0.397046,0.9,0.001,-1.20497,0.999808,1.80092e+41,-5.86573,16.1873,0.00907389,0.05,-4.90741,4.6,0.9,-3.55424,0.694197,0.9,0.001,-0.535677,1,0.000792444,1.4652,0.739287,0.000434194,0,0.0115624,0,0,0.490426,0.67268,0,0,0.671945,0.00435295,6.89821e+42,africa
