rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,lod,data
4,41,-2.52189758894327,70,0.0514942524592617,0.05,-4.74372971469036,4.6,0.9,-1.81567133299712,0.9,0.001,0.0894372901997043,1,0.0525130367731209,15,thai
5,41,-2.99933495576987,70,0.050615607329079,0.05,-4.76924628359273,4.6,0.9,-1.81567133299712,0.9,0.001,0.0231258906485207,1,0.0711932728537237,15,thai
6,41,-2.71079777673032,70,0.0518337506441025,0.05,-4.73377313137582,4.6,0.9,-1.81567133299712,0.9,0.001,0.076890698936177,1,-0.0272354096278605,15,thai
7,41,-3.02782798856653,70,0.0509334949773258,0.05,-4.76042279632511,4.6,0.9,-1.81567133299712,0.9,0.001,0.0402635068405546,1,0.151704634592383,15,thai
8,41,-3.89667185471669,70,0.0504138093658429,0.05,-4.76687605301348,4.6,0.9,-1.81567133299712,0.9,0.001,0.076934689494584,1,-0.0222221513750455,15,thai
9,41,-3.15725226847627,70,0.0500188822504932,0.05,-4.76318910741329,4.6,0.9,-1.81567133299712,0.9,0.001,-0.154991888506244,1,0.238085402258627,15,thai
10,41,-3.08539987765649,70,0.0509473000093493,0.05,-4.75822276518879,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0536595173173204,1,0.18981040380698,15,thai
1,42,-5.63021465094419,70,0.0481110665203173,0.05,-4.81453354918906,4.6,0.9,-1.81567133299712,0.9,0.001,-0.257563574549677,1,0.186987085817235,15,thai
2,42,-2.36725314610573,70,0.0535222200506217,0.05,-4.71835468107983,4.6,0.9,-1.81567133299712,0.9,0.001,0.0782666232472085,1,-0.136641838199051,15,thai
3,42,-2.4809613842822,70,0.0533783679726311,0.05,-4.71836407388139,4.6,0.9,-1.81567133299712,0.9,0.001,0.0630512967792791,1,-0.143792268461136,15,thai
4,42,-2.93765206873261,70,0.052930617537969,0.05,-4.7253351708964,4.6,0.9,-1.81567133299712,0.9,0.001,0.164465307710802,1,-0.232436540751045,15,thai
5,42,-2.81563063386812,70,0.0525582359829054,0.05,-4.72873017373116,4.6,0.9,-1.81567133299712,0.9,0.001,0.175779817502269,1,-0.362678532957354,15,thai
6,42,-2.98287096177145,70,0.0523477703150189,0.05,-4.73269655189556,4.6,0.9,-1.81567133299712,0.9,0.001,0.223294372737058,1,-0.299315295011217,15,thai
7,42,-2.64478364764928,70,0.0525591935342085,0.05,-4.73325482625652,4.6,0.9,-1.81567133299712,0.9,0.001,0.301574007748036,1,-0.469473085303428,15,thai
8,42,-2.86947728281502,70,0.0530431041613731,0.05,-4.73170364044959,4.6,0.9,-1.81567133299712,0.9,0.001,0.273682130151286,1,-0.328132773474223,15,thai
9,42,-2.88631234050185,70,0.0530901396712215,0.05,-4.72144556107058,4.6,0.9,-1.81567133299712,0.9,0.001,0.0920911305991863,1,-0.208526867475965,15,thai
10,42,-2.49888021215899,70,0.0538530007857244,0.05,-4.70901479008077,4.6,0.9,-1.81567133299712,0.9,0.001,0.137837597999605,1,-0.243510614240728,15,thai
1,43,-3.62807866273008,70,0.0459576830872982,0.05,-4.84871307198852,4.6,0.9,-1.81567133299712,0.9,0.001,-0.436111024312959,1,0.162967133887628,15,thai
2,43,-4.05967607725987,70,0.0463113240666122,0.05,-4.83952043349423,4.6,0.9,-1.81567133299712,0.9,0.001,-0.406504678603921,1,-0.00302890506908462,15,thai
3,43,-3.76674118310463,70,0.0456903631179959,0.05,-4.84966429908059,4.6,0.9,-1.81567133299712,0.9,0.001,-0.247785757057784,1,-0.140593608413393,15,thai
4,43,-4.10593553850452,70,0.0468319889391858,0.05,-4.82999006570216,4.6,0.9,-1.81567133299712,0.9,0.001,-0.218974003137845,1,-0.104383819428256,15,thai
5,43,-3.07543699180153,70,0.049810278881708,0.05,-4.77512149621023,4.6,0.9,-1.81567133299712,0.9,0.001,0.338076474684991,1,-0.625110733066729,15,thai
6,43,-2.22649888770959,70,0.0505663878728866,0.05,-4.76488986679821,4.6,0.9,-1.81567133299712,0.9,0.001,0.229777625923516,1,-0.576603747462794,15,thai
7,43,-2.41115415846725,70,0.0502686700622381,0.05,-4.76844613337908,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0292233490166458,1,-0.305084349731958,15,thai
8,43,-3.48091302473454,70,0.0501770041143101,0.05,-4.77856864088922,4.6,0.9,-1.81567133299712,0.9,0.001,-0.15392433726418,1,-0.149968195764529,15,thai
9,43,-2.85472360830497,70,0.0513422743946146,0.05,-4.75409107277751,4.6,0.9,-1.81567133299712,0.9,0.001,-0.20652561768699,1,-0.325608050357242,15,thai
10,43,-1.69147793210326,70,0.0510290757999601,0.05,-4.75320260735402,4.6,0.9,-1.81567133299712,0.9,0.001,0.21142277110411,1,-0.490157893444194,15,thai
1,44,-5.35217146108442,70,0.0505623701111382,0.05,-4.76423872663073,4.6,0.9,-1.81567133299712,0.9,0.001,0.120928715614313,1,0.12913265600331,15,thai
2,44,-4.78487821201886,70,0.0510670749740432,0.05,-4.75511806471919,4.6,0.9,-1.81567133299712,0.9,0.001,-0.151636786334709,1,0.415684261556736,15,thai
3,44,-8.86788791261498,70,0.0466173223362849,0.05,-4.8368960388615,4.6,0.9,-1.81567133299712,0.9,0.001,-0.167127691975712,1,0.294922032359825,15,thai
4,44,-10.0566171848552,70,0.0465063540836601,0.05,-4.83359281904823,4.6,0.9,-1.81567133299712,0.9,0.001,-0.033810140243369,1,0.149178596931151,15,thai
5,44,-8.00034105579194,70,0.0464138765100272,0.05,-4.84356617755893,4.6,0.9,-1.81567133299712,0.9,0.001,0.122835650882294,1,0.02754388624615,15,thai
6,44,-9.95841253214105,70,0.0462490115337274,0.05,-4.84014910111492,4.6,0.9,-1.81567133299712,0.9,0.001,-0.00648106407469413,1,0.13962132031791,15,thai
7,44,-11.6404997446586,70,0.0453808967895318,0.05,-4.85301730303097,4.6,0.9,-1.81567133299712,0.9,0.001,0.182505287290741,1,-0.211041577621799,15,thai
8,44,-9.99550508187966,70,0.0450225000983634,0.05,-4.86653558365935,4.6,0.9,-1.81567133299712,0.9,0.001,0.244037560471527,1,-0.130768370589715,15,thai
9,44,-10.255139614241,70,0.0443263413012043,0.05,-4.87243603310414,4.6,0.9,-1.81567133299712,0.9,0.001,0.175401624380858,1,-0.105106267780244,15,thai
10,44,-11.6982003428157,70,0.0444172349103093,0.05,-4.87709743248773,4.6,0.9,-1.81567133299712,0.9,0.001,0.24265245816195,1,-0.18549632535477,15,thai
1,45,-1.79263287909453,70,0.0500100767304894,0.05,-4.78252137167844,4.6,0.9,-1.81567133299712,0.9,0.001,0.162596327109506,1,0.019285703562303,15,thai
2,45,-2.21837405601743,70,0.0498921906812909,0.05,-4.77955280084787,4.6,0.9,-1.81567133299712,0.9,0.001,0.433170170385913,1,-0.310113456944895,15,thai
3,45,-0.922995042393694,70,0.0500343170834491,0.05,-4.77818008901139,4.6,0.9,-1.81567133299712,0.9,0.001,0.377769756051276,1,-0.236004657280244,15,thai
4,45,-1.72458523660886,70,0.0494294528354688,0.05,-4.79041219394473,4.6,0.9,-1.81567133299712,0.9,0.001,0.449588453761845,1,-0.432616552997835,15,thai
5,45,-0.871470120985454,70,0.0487088829722603,0.05,-4.79812841722614,4.6,0.9,-1.81567133299712,0.9,0.001,0.361478104707891,1,-0.224872001362086,15,thai
6,45,-1.66650242779006,70,0.0479887445689268,0.05,-4.81155001747657,4.6,0.9,-1.81567133299712,0.9,0.001,0.556773255847753,1,-0.499245736478101,15,thai
7,45,-1.24164765186025,70,0.0487772362535225,0.05,-4.79842814846054,4.6,0.9,-1.81567133299712,0.9,0.001,0.597056723082277,1,-0.526518029938688,15,thai
8,45,-1.26480707047784,70,0.0497425194518845,0.05,-4.78250453857124,4.6,0.9,-1.81567133299712,0.9,0.001,0.564773771060213,1,-0.35084468452228,15,thai
9,45,-0.847373358842125,70,0.0498612820925677,0.05,-4.77158804141146,4.6,0.9,-1.81567133299712,0.9,0.001,0.513330793397265,1,-0.335847817643538,15,thai
10,45,-0.0730495774401858,70,0.048052273492664,0.05,-4.80284270671765,4.6,0.9,-1.81567133299712,0.9,0.001,0.374521814914963,1,-0.100571902553373,15,thai
