iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
71,757.801,1,0.669908,0,0.062124,-1.91935,-4.54631,-1.08953,-1.34712,0.657616,0.117324,0.0747597,0.0568076,0.225299
72,743.497,1,0.671883,0,0.0610285,-1.89444,-4.54694,-1.09154,-1.33949,0.65993,0.114353,0.0728667,0.0615933,0.219595
73,745.618,1,0.674966,0,0.0622806,-1.8795,-4.53883,-1.09508,-1.34629,0.659528,0.111457,0.0762551,0.0600337,0.214034
74,761.282,1,0.675185,0,0.0632174,-1.84078,-4.53223,-1.09636,-1.34524,0.678592,0.108635,0.0743243,0.0644729,0.208615
75,749.046,1,0.681147,0,0.0635078,-1.83095,-4.52509,-1.10654,-1.33762,0.688141,0.105885,0.0724423,0.0675531,0.203333
76,755.147,1,0.679324,0,0.0638272,-1.81906,-4.52476,-1.10605,-1.34347,0.682513,0.103204,0.070608,0.0658426,0.198184
77,728.995,1,0.681773,0,0.0640118,-1.8384,-4.5178,-1.115,-1.34334,0.684332,0.117323,0.0688202,0.0658108,0.193166
78,735.716,1,0.675061,0.0433039,0.0644544,-1.83655,-4.51812,-1.10466,-1.33986,0.669397,0.117217,0.0674208,0.0641445,0.188275
79,723.839,1,0.685878,-0.0203769,0.0640928,-1.82878,-4.52381,-1.10683,-1.34189,0.680325,0.114249,0.0657137,0.0625203,0.183508
80,713.672,1,0.69198,-0.0505551,0.0638714,-1.86274,-4.53171,-1.10531,-1.34706,0.676756,0.111356,0.0652146,0.0609372,0.178861
81,752.179,1,0.702253,-0.0118157,0.0635369,-1.86016,-4.53379,-1.09961,-1.34825,0.673462,0.108536,0.0635633,0.0669913,0.182911
82,736.29,1,0.687797,0.114616,0.0649045,-1.87109,-4.52875,-1.1015,-1.3551,0.676898,0.105788,0.0660484,0.065295,0.17828
83,743.511,1,0.690993,0.351675,0.0637271,-1.84933,-4.53358,-1.09904,-1.35192,0.669847,0.103109,0.0728744,0.0643207,0.184535
84,775.447,1,0.69962,0.328191,0.0642117,-1.83124,-4.52727,-1.09828,-1.3539,0.681748,0.112386,0.0818453,0.0626921,0.180928
85,754.765,1,0.681906,0.28411,0.0652251,-1.84683,-4.52219,-1.10011,-1.35668,0.67521,0.109541,0.0797729,0.0611047,0.184916
86,729.429,1,0.683992,0.361745,0.0665456,-1.86963,-4.51109,-1.08657,-1.35807,0.674814,0.106767,0.077753,0.0595575,0.208442
87,734.712,1,0.666673,0.442137,0.0657439,-1.90671,-4.52008,-1.08592,-1.36132,0.674007,0.115586,0.0762128,0.0610431,0.20675
88,745.134,1,0.665454,0.429676,0.0660707,-1.91596,-4.51616,-1.08176,-1.36078,0.669031,0.119613,0.0796315,0.0594975,0.218291
89,791.126,1,0.677292,0.466574,0.066363,-1.90071,-4.51198,-1.06791,-1.36583,0.660971,0.119022,0.0878741,0.057991,0.217773
90,745.994,1,0.676829,0.4329,0.066326,-1.82797,-4.51432,-1.05263,-1.3605,0.630207,0.127723,0.085649,0.0565226,0.221027
91,738.978,1,0.677343,0.190877,0.0670004,-1.82101,-4.51351,-1.05622,-1.36292,0.643097,0.124489,0.0834804,0.0550914,0.221395
92,757.175,1,0.670166,0.251167,0.0685882,-1.82913,-4.49687,-1.06048,-1.36452,0.636186,0.121337,0.0850391,0.0536965,0.226807
93,772.699,1,0.681041,0.376689,0.0675124,-1.82759,-4.50587,-1.04902,-1.36532,0.638975,0.118265,0.0847529,0.0563372,0.227387
94,750.47,1,0.680724,0.377501,0.0682101,-1.85133,-4.50455,-1.0571,-1.35925,0.657868,0.11527,0.0826069,0.0549107,0.229654
95,822.41,1,0.684445,0.560805,0.0687907,-1.90906,-4.49048,-1.05512,-1.35939,0.650873,0.129897,0.0964352,0.0565339,0.232844
96,814.427,1,0.670027,0.608291,0.0677211,-1.91145,-4.50675,-1.06181,-1.36324,0.642276,0.150135,0.108607,0.0551024,0.242245
97,794.284,1,0.695197,0.602694,0.0676381,-1.89648,-4.50504,-1.06128,-1.3627,0.667781,0.146333,0.105857,0.0537072,0.236112
98,802.765,1,0.686339,0.472158,0.0688529,-1.90457,-4.50724,-1.06541,-1.37741,0.667311,0.142628,0.103177,0.0581268,0.230775
