rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
4,6,0,1.19444720041826,-10.9546010502564,0,-7.66466225286325,0.613612982514131,3.13549421592915,-2.52572864430826,-1.74287515047494,-10.5959984876765,0,-0.874449175703249,0.315749517357469,0,0.374134367192493,0.0178453147705002,0,0,0.816006493634954,0.172478166624316
5,6,0,2.68426626381636,-12.207275866061,0,-7.8953807298685,0.581338539942777,3.13549421592915,-2.52572864430826,-1.70745418621452,-10.772346258487,0,0.615369887694848,-0.936925298447157,0,0.143415890187247,-0.0144291278008534,0,0,0.85142745789537,-0.00386960418617655
6,6,0,0.984130591306197,-11.2328005302096,0,-7.84972737301435,0.564777519796514,3.13549421592915,-2.52572864430826,-1.65532234304989,-11.1027439274308,0,-1.08476578481531,0.037550037404257,0,0.189069247041396,-0.0309901479471164,0,0,0.903559301060005,-0.334267273129955
1,7,0,-0.0373581351781255,-10.7800349105271,0,-7.93462440230762,0.565813215009506,3.13549421592915,-2.52572864430826,-2.9032441444422,-9.64159683127332,0,-2.10625451129964,0.490315657086775,0,0.0603540019330371,-0.0299544527341246,0,0,-0.34436250033231,0.235635688247013
2,7,0,0.1435057743967,-10.8694448878983,0,-7.87635119981528,0.626010258480936,3.13549421592915,-2.52572864430826,-3.30603293745722,-9.8506431900527,0,-1.92539060172481,0.400905679715553,0,0.118627204425385,0.0302425907373057,0,0,-0.747151293347321,0.0265893294676331
3,7,0,0.353702794630243,-11.3567856761261,0,-8.52347508551938,0.63417874605007,3.13549421592915,-2.52572864430826,-3.25962736926482,-9.74469692051042,0,-1.71519358149127,-0.0864351085122674,0,-0.528496681278716,0.0384110783064396,0,0,-0.700745725154928,0.132535599009916
4,7,0,-0.171379605650379,-11.1353084170184,0,-8.17191931876415,0.617842812465876,3.13549421592915,-2.52572864430826,-1.77949717268385,-9.94933084091031,0,-2.24027598177189,0.135042150595423,0,-0.17694091452349,0.0220751447222457,0,0,0.779384471426045,-0.0720983213899746
5,7,0,-0.52124919438149,-11.9674159694726,0,-8.39591812767794,0.605585721355101,3.13549421592915,-2.52572864430826,-3.49595498439241,-10.433175964074,0,-2.590145570503,-0.697065401858776,0,-0.400939723437281,0.00981805361147114,0,0,-0.937073340282512,-0.555943444553636
6,7,0,-0.0472416900074781,-11.4311231512177,0,-8.05440253810669,0.604157410125157,3.13549421592915,-2.52572864430826,-4.56369021682025,-10.0543820244018,0,-2.11613806612899,-0.160772583603874,0,-0.0594241338660275,0.0083897423815269,0,0,-2.00480857271036,-0.177149504881445
1,8,0,3.84677763747524,-10.5026404690988,0,-8.1030790675496,0.566887914639428,3.13549421592915,-2.52572864430826,-2.3277936264267,-9.21076427598876,0,1.77788126135373,0.767710098515016,0,-0.108100663308941,-0.0288797531042022,0,0,0.231088017683198,0.666468243531574
2,8,0,3.51592943508352,-11.5027731338074,0,-8.1942717268653,0.587786168747394,3.13549421592915,-2.52572864430826,-2.063591987921,-9.49626365221775,0,1.44703305896201,-0.232422566193581,0,-0.199293322624637,-0.0079814989962359,0,0,0.495289656188897,0.380968867302588
3,8,0,4.31662232369368,-10.7381376310611,0,-7.82688040539904,0.606406978777904,3.13549421592915,-2.52572864430826,-1.85630781479757,-9.47646869509479,0,2.24772594757217,0.532212936552698,0,0.168097998841618,0.0106393110342741,0,0,0.70257382931232,0.400763824425546
4,8,0,3.4012360017847,-11.5864359269641,0,-7.93058969189222,0.595527790013549,3.13549421592915,-2.52572864430826,-1.84922551282881,-9.84013559825835,0,1.33233962566319,-0.316085359350215,0,0.0643887123484372,-0.000239877730081162,0,0,0.70965613128108,0.0370969212619823
5,8,0,5.58879648563678,-10.7031351720502,0,-8.42330257183517,0.593038230324968,3.13549421592915,-2.52572864430826,-1.7284241191408,-10.1009714521851,0,3.51990010951527,0.567215395563629,0,-0.428324167594514,-0.00272943741866272,0,0,0.830457524969098,-0.223738932664785
6,8,0,4.46319315713724,-11.1168167331894,0,-8.35177370232692,0.618054392299529,3.13549421592915,-2.52572864430826,-1.9037269052956,-9.59656627038855,0,2.39429678101573,0.153533834424396,0,-0.356795298086258,0.0222867245558983,0,0,0.655154738814296,0.280666249131784
1,9,0,5.85351436282071,-10.778001868922,0,-7.65412171280776,0.568573555255411,3.13549421592915,-2.52572864430826,-1.96037278663399,-9.54214788995553,0,3.7846179866992,0.492348698691822,0,0.3408566914329,-0.0271941124882193,0,0,0.598508857475907,0.335084629564806
2,9,0,4.70690677450831,-12.2778596223356,0,-7.97043852665585,0.549542578610609,3.13549421592915,-2.52572864430826,-2.05184480490659,-9.30379653262729,0,2.6380103983868,-1.0075090547218,0,0.0245398775848145,-0.0462250891330216,0,0,0.5070368392033,0.573435986893045
3,9,0,5.44492188064061,-10.7092069454204,0,-7.97544099131744,0.623388013534852,3.13549421592915,-2.52572864430826,-1.85283766029162,-10.327589641394,0,3.37602550451909,0.5611436221934,0,0.0195374129232233,0.0276203457912221,0,0,0.706043983818271,-0.450357121873688
4,9,0,4.13378920926145,-11.0461302582991,0,-7.99614092009812,0.561495614351195,3.13549421592915,-2.52572864430826,-1.94270241490877,-9.91571262039906,0,2.06489283313994,0.224220309314735,0,-0.00116251585746063,-0.0342720533924353,0,0,0.616179229201128,-0.0384801008787221
5,9,0,3.78454331888751,-11.7342089423993,0,-7.81971142496415,0.590775779657115,3.13549421592915,-2.52572864430826,-2.33304880969951,-10.7183153089974,0,1.715646942766,-0.463858374785476,0,0.175266979276511,-0.00499188808651496,0,0,0.225832834410384,-0.841082789477101
6,9,0,4.18991005670808,-10.4622445636876,0,-8.30451467782081,0.551181074611973,3.13549421592915,-2.52572864430826,-1.92807128114314,-10.1800611081434,0,2.12101368058657,0.808106003926277,0,-0.309536273580147,-0.0445865931316572,0,0,0.630810362966758,-0.302828588623111
