rep,id,eta_initT,eta_aS,eta_r,eta_K,eta_tau,eta_Bt0,eta_pP,eta_pU,eta_g,eta_dI,eta_k,eta_aE,eta_w,eta_dE,eta_E50,data
4,37,-6.85399957166326,-3.45305817561574,0.711446310221321,0.0504954031418961,-0.405775606727221,0,0.32791654778836,-0.541809767309528,0,0,0,0,0.635367616334225,1.30719050162871,0.380560420463448,thai
5,37,-3.23900166622754,1.07179189327995,0.36838495342052,0.353321992464559,-0.0456556567200022,0,-0.144667933006741,-1.22942828807536,0,0,0,0,0.405442543156436,-0.460234721492258,1.09380099344076,thai
6,37,-1.56515614967915,6.00579790322651,-0.328071424759389,0.550268292158259,0.0420395529768289,0,-0.367039126625608,-1.09094380650427,0,0,0,0,-0.670641582573587,-0.501445235951102,-0.820836167339618,thai
7,37,-1.99909375002105,1.9166365752222,0.206778001679004,0.574143436050353,0.0493098338403333,0,-0.477203997608551,-0.33746028968641,0,0,0,0,0.687379807544031,0.777250295346769,1.00083870140215,thai
8,37,-1.83704233835148,-2.38593401105495,0.595245433421722,0.221150781644398,0.178571123763303,0,-0.111523448758383,-0.347377111605896,0,0,0,0,0.615501216090905,0.299897679575096,0.187574036810243,thai
9,37,-1.57911116550173,-2.80987773583679,0.884047825418507,0.632669733391577,-0.0210492129962336,0,-0.222004041019824,-1.15793297273429,0,0,0,0,0.157712804257842,0.438848375491939,-0.456899974152504,thai
10,37,-1.68612958662404,-6.25162073760873,0.083164585495403,0.49381444916347,-0.0803997074410438,0,-0.237005400603957,-0.176170372852366,0,0,0,0,0.21128537251757,-0.371805858979769,-0.388134429861232,thai
1,38,-5.66678667405683,3.68910428796349,0.267310268215925,0.442389139386617,-0.175754263458199,0,-0.22671793955121,-2.74948208190612,0,0,0,0,0.280255325071439,0.0912170780019056,-0.0676579196644344,thai
2,38,-5.9214998738253,-4.83442335492663,-0.26707855685474,0.337114422412866,-0.12821075027809,0,-0.13590468202522,-2.1057857010485,0,0,0,0,0.250272053407027,0.125011337530237,-0.737623450381933,thai
3,38,-6.5949516740499,5.85617651111723,-0.91201265856063,0.32053305979865,-0.288955600145771,0,-0.056465154013981,-1.41237721822581,0,0,0,0,0.346705530034273,-0.687289491073075,0.716330163419348,thai
