rep,id,initT,aS,r,K,tau,Bt0,pP,pU,g,dI,k,aE,w,dE,E50,data
8,37,-1.83704233835148,0.0009200300760995,0.618211500309232,171.640283094334,0.0597753954635662,0.0001,44723.5208468337,35326.9417008777,23,0.8,0.01,1e-05,1.85058390958061,0.0269944139303032,12.0631955816709,thai
9,37,-1.57911116550173,0.00060212353755396,0.82520597712591,259.023777166776,0.048958538772801,0.0001,40045.6063913169,15706.741776419,23,0.8,0.01,1e-05,1.17082988905828,0.0310184022411991,6.33243677630536,thai
10,37,-1.68612958662404,1.92732791068717e-05,0.370461595870413,225.442373634203,0.0461373721822766,0.0001,39449.3513499825,41923.7558884883,23,0.8,0.01,1e-05,1.23526481539799,0.0137897617490428,6.78321150516593,thai
1,38,-5.66678667405683,0.400089943650632,0.445365577428823,214.141983049113,0.0419412043871423,0.0001,39857.2796913682,3198.04895890938,23,0.8,0.01,1e-05,1.32346768368297,0.0219101357974729,9.34580120382848,thai
2,38,-5.9214998738253,7.95127206510426e-05,0.260996407312771,192.744321243912,0.0439833984669291,0.0001,43646.2917022987,6087.4988797232,23,0.8,0.01,1e-05,1.28437478769869,0.0226632260048901,4.78249148849592,thai
3,38,-6.5949516740499,3.49385714520038,0.136944062624182,189.574708630772,0.0374522731086849,0.0001,47254.9708421207,12178.1795295936,23,0.8,0.01,1e-05,1.41440016567297,0.0100587487929773,20.4690759383296,thai
4,38,-5.34041050515168,9.58447655263694,0.125254717255492,181.68972195754,0.0375534600210826,0.0001,43447.9058045298,9397.30867810701,23,0.8,0.01,1e-05,2.20490832274079,0.0366574861599112,2.43314129638123,thai
5,38,-3.77610524715463,30.5491028162031,0.107700999488953,173.1573456207,0.0393744338372029,0.0001,36347.9022868204,2782.91592858934,23,0.8,0.01,1e-05,0.736384604572541,0.014493416602953,2.6265475083296,thai
6,38,-1.96567267528762,68.5775609575714,0.12582231058288,89.2504363113878,0.0397740159528072,0.0001,47002.6090762698,14670.3038648946,23,0.8,0.01,1e-05,1.06516593238112,0.00798873691538501,4.63429771793358,thai
7,38,-5.55037392294736,71.5646160855721,0.414766620678336,87.2860765522749,0.0476607013869676,0.0001,46658.4029637085,17659.418452894,23,0.8,0.01,1e-05,1.47870541592689,0.0280351796809019,3.88447740829025,thai
8,38,-2.48081229109641,49.9221016341477,0.490483747221571,92.208495596766,0.0666021313312985,0.0001,45326.191219464,16733.9269254541,23,0.8,0.01,1e-05,1.53298609886364,0.00784602133578925,3.04228979484797,thai
9,38,-4.58720213193343,1.4266159384773,1.18166507164498,107.79421363795,0.0847040434931139,0.0001,45643.115507829,6331.62073956059,23,0.8,0.01,1e-05,1.40022332416626,0.0195730199875605,1.10188797944513,thai
