rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50,data
1,6,-1.498785,-0.010253,0.018613,0.000000,0.013284,0.000000,0.000000,0.204009,-0.248811,0.000000,0.000000,-0.096204,-2.462525,12.916518,africa
1,7,2.649124,-0.036610,-0.030602,0.000000,0.006146,0.000000,0.000000,0.372022,-0.567295,0.000000,0.000000,1.877373,2.747697,0.189528,africa
1,8,-2.299405,-0.012721,0.038579,0.000000,0.002436,0.000000,0.000000,-0.019757,0.489180,0.000000,0.000000,-0.560162,17.856798,-11.361751,africa
1,9,-2.276483,-0.082747,0.030045,0.000000,0.009301,0.000000,0.000000,-1.166018,-0.108503,0.000000,0.000000,1.247462,-1.501805,-10.082492,africa
1,10,-2.547856,0.025630,0.081139,0.000000,0.007374,0.000000,0.000000,0.355541,-0.634725,0.000000,0.000000,0.031782,5.964476,-10.846602,africa
1,11,2.081875,0.067228,0.034137,0.000000,-0.007829,0.000000,0.000000,0.112223,-0.181710,0.000000,0.000000,0.452218,-5.465243,-8.910651,africa
1,12,0.762249,0.096594,0.119098,0.000000,0.007987,0.000000,0.000000,-0.218584,-0.572726,0.000000,0.000000,0.877487,-1.407947,-1.002239,africa
1,13,-0.056260,-0.019988,-0.027763,0.000000,-0.005566,0.000000,0.000000,-0.122243,-0.108140,0.000000,0.000000,0.738831,5.338821,8.300608,africa
1,14,2.906960,-0.025083,0.017479,0.000000,0.002230,0.000000,0.000000,-0.191711,-0.410938,0.000000,0.000000,1.031712,-9.177527,-9.982093,africa
1,15,-0.510085,0.071136,0.070708,0.000000,-0.004029,0.000000,0.000000,0.764222,-0.011908,0.000000,0.000000,-0.024972,-20.426574,-2.834027,africa
1,16,2.137521,-0.003668,0.011407,0.000000,0.019849,0.000000,0.000000,-0.125575,0.198764,0.000000,0.000000,-1.765042,3.480011,7.371064,africa
1,17,-1.709154,-0.015147,-0.007923,0.000000,-0.011981,0.000000,0.000000,1.022627,-0.125752,0.000000,0.000000,-0.119178,5.412759,-1.964398,africa
1,18,5.528032,-0.101457,0.059848,0.000000,-0.001003,0.000000,0.000000,-0.183817,-0.260962,0.000000,0.000000,1.364415,-5.612108,0.201258,africa
1,19,-3.043240,0.055605,0.065244,0.000000,0.015580,0.000000,0.000000,-0.156727,-0.048365,0.000000,0.000000,-0.685849,22.099942,12.497681,africa
1,20,0.277693,0.055523,0.034356,0.000000,-0.006657,0.000000,0.000000,0.373320,0.454008,0.000000,0.000000,-0.212567,-11.915810,-10.906980,africa
1,21,0.498116,0.113011,-0.033312,0.000000,0.005777,0.000000,0.000000,-0.250924,0.401944,0.000000,0.000000,-1.303868,-15.897569,16.850159,africa
1,22,-3.015810,-0.015366,-0.068191,0.000000,-0.003240,0.000000,0.000000,-0.213357,-0.041136,0.000000,0.000000,0.914143,-12.317100,-15.328864,africa
1,23,-1.471840,0.010291,0.008941,0.000000,-0.012082,0.000000,0.000000,-0.096959,-0.066585,0.000000,0.000000,-0.099863,-27.453358,0.346358,africa
1,24,-2.019073,-0.027604,0.033416,0.000000,0.004604,0.000000,0.000000,-0.406244,0.439298,0.000000,0.000000,-1.836066,7.623931,16.447591,africa
1,25,-2.029614,-0.014208,0.043910,0.000000,0.002212,0.000000,0.000000,0.233473,0.120298,0.000000,0.000000,1.054248,15.150904,-7.856918,africa
1,26,-2.201773,-0.048474,-0.017071,0.000000,-0.003799,0.000000,0.000000,-0.245939,0.255651,0.000000,0.000000,0.470538,-39.065372,-21.421885,africa
1,27,-2.357342,-0.019267,0.041599,0.000000,0.016466,0.000000,0.000000,0.530821,-0.254344,0.000000,0.000000,-0.650177,-4.402042,-5.815090,africa
1,28,-1.696567,0.024485,0.042160,0.000000,-0.011631,0.000000,0.000000,0.701365,0.012759,0.000000,0.000000,-0.992558,8.470703,-36.504872,africa
1,29,-5.843303,-0.019373,-0.003679,0.000000,0.013256,0.000000,0.000000,-0.362530,0.137335,0.000000,0.000000,-1.126463,6.002324,6.985723,africa
1,30,-0.768329,-0.050953,0.033866,0.000000,0.010631,0.000000,0.000000,-0.799486,-0.679696,0.000000,0.000000,-0.240413,48.281645,20.000132,africa
1,31,2.083772,0.149501,0.001271,0.000000,0.022120,0.000000,0.000000,0.050657,-0.000824,0.000000,0.000000,-1.343257,3.935861,0.909223,africa
1,32,-1.970420,0.086777,-0.079682,0.000000,-0.029867,0.000000,0.000000,0.037171,-0.309027,0.000000,0.000000,1.176132,-5.091898,16.576973,africa
1,33,1.120170,-0.008311,-0.045927,0.000000,-0.004128,0.000000,0.000000,-0.494154,-0.519158,0.000000,0.000000,0.866254,-16.385722,-1.993593,africa
1,34,-0.552079,-0.053096,0.039121,0.000000,-0.011208,0.000000,0.000000,-0.287469,0.959282,0.000000,0.000000,0.299011,-39.374276,-5.240132,africa
