rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,f,dp,lw,dE,lI50,data
7,38,-7.73697556307011,16.6448735373011,0.00887543923432596,0.05,-4.90125348659338,4.6,0.9,-4.37644335165113,-0.145081029443259,0.9,0.001,-0.437877674734198,1,8.64979065539344e-14,thai
8,38,-6.63128616939342,15.8422894258285,0.00888773292729913,0.05,-4.89945418970373,4.6,0.9,-3.96101601811965,0.293756881448154,0.9,0.001,-1.11614318579114,1,7.07391179794518e-07,thai
9,38,-9.29187245267534,15.5812384632279,0.00874832686093171,0.05,-4.89864666731868,4.6,0.9,-4.16514894661927,-0.595042863318209,0.9,0.001,-0.299254627081967,1,2.23349317224264e-36,thai
10,38,-9.22505139906671,16.3033283323599,0.00924682645599205,0.05,-4.9002183634835,4.6,0.9,-3.25507907082555,0.287663078241786,0.9,0.001,-0.119935366293663,1,1.07546827579198e-25,thai
1,39,-5.70404926145804,15.3080248049146,0.0093013577903713,0.05,-4.91050616619876,4.6,0.9,-3.47681374950423,0.444081050381646,0.9,0.001,-0.785709819973757,1,27894.528169844,thai
2,39,-6.62816502799471,15.3023424560983,0.00955746057929097,0.05,-4.89959554025565,4.6,0.9,-2.85245928519125,0.0142876571832764,0.9,0.001,-0.336075124377122,1,7.32259143482747e-13,thai
3,39,-7.64321261779011,15.5775689811867,0.00949867259748618,0.05,-4.91155740578554,4.6,0.9,-3.29728606490824,0.386578103420529,0.9,0.001,-0.297941017051733,1,6.03199448978124e-05,thai
4,39,-6.12978251811305,15.2138693173633,0.009251349665772,0.05,-4.91761097698229,4.6,0.9,-3.52354651258272,0.965258154057171,0.9,0.001,-0.643486984611782,1,3.52324685263631e-16,thai
5,39,-7.13678642608003,15.2442746861183,0.00920331930861321,0.05,-4.91853438156611,4.6,0.9,-3.42808813196839,0.322563134366689,0.9,0.001,-0.171006168761676,1,4.31644980104515e-20,thai
6,39,-7.0929052762876,15.7154332058847,0.00925752027745479,0.05,-4.92974957900719,4.6,0.9,-2.98729073702889,0.0711352025921866,0.9,0.001,-0.181900561213685,1,1.62162547806575e-11,thai
7,39,-7.56128352273229,13.8439940238632,0.00868846602289149,0.05,-4.91860004920355,4.6,0.9,-3.12534062485067,0.559620788469271,0.9,0.001,-0.497505942033325,1,6.77078508927263e-14,thai
8,39,-4.19549797377196,15.0080351348275,0.00892359999740244,0.05,-4.90243423941783,4.6,0.9,-3.44302350956418,0.628516120513936,0.9,0.001,-0.568911066080598,1,1098754.02802828,thai
9,39,-7.57127837492497,15.1792654185607,0.00949234121711887,0.05,-4.917565655016,4.6,0.9,-3.62760518553674,0.733391299405768,0.9,0.001,-0.353905079571184,1,0.00115895183890891,thai
10,39,-5.81116494579274,15.3496002454081,0.00978420711923059,0.05,-4.88363619084939,4.6,0.9,-3.81842041091155,1.20341573890033,0.9,0.001,-0.450816814542084,1,1.84878543376921e-07,thai
1,40,-9.18384499249582,16.3025071957918,0.00928957061162827,0.05,-4.90012287815204,4.6,0.9,-3.25609915664457,0.451549248727687,0.9,0.001,-2.66264173358221,1,192878904927.672,thai
2,40,-9.90105427634145,16.4167944597331,0.00927926998818375,0.05,-4.9162291545377,4.6,0.9,-3.86789455956687,-0.357315767934196,0.9,0.001,-1.40358106569363,1,8.21725176466462e+26,thai
3,40,-9.53177963543255,15.762330386229,0.009158667799139,0.05,-4.90265258862037,4.6,0.9,-3.58476417395878,-0.139453315191357,0.9,0.001,-1.85425864679128,1,15791350262028.5,thai
4,40,-10.0774857262669,16.0082303612694,0.00879666522416583,0.05,-4.91171187334476,4.6,0.9,-3.70469759688855,0.508634520328533,0.9,0.001,-2.38113911069066,1,1.03343641043202e+21,thai
5,40,-8.53314341369208,16.7447334801759,0.0088824222819014,0.05,-4.89790015485824,4.6,0.9,-3.67192407897959,0.160862957053157,0.9,0.001,-1.94089208249875,1,3.94479718114365e+21,thai
6,40,-11.5771364947222,16.4749696837157,0.0095040148403232,0.05,-4.91063904243924,4.6,0.9,-3.62786424442456,0.39155590699822,0.9,0.001,-2.07849764607356,1,912.258355985148,thai
7,40,-10.214086479018,16.4550733481041,0.00903339527081226,0.05,-4.92719215913018,4.6,0.9,-4.3771751279086,0.579611659054313,0.9,0.001,-1.84262903432367,1,11.0703818980258,thai
8,40,-9.46644234018118,17.8759295435135,0.00921928939703693,0.05,-4.93423145631892,4.6,0.9,-3.45869689450879,0.173858195530909,0.9,0.001,-2.10130475151503,1,263.453047697147,thai
