,time_weeks,id_monkey,value,obs_log10VL,censor,time_days
205,2.5,U9,21000000.0,7.3222192947339195,0,17.5
206,3.0,U9,13000000.0,7.113943352306837,0,21.0
207,3.5,U9,47000000.0,7.672097857935717,0,24.5
208,4.0,U9,12000000.0,7.079181246047625,0,28.0
209,4.5,U9,780000.0,5.892094602690481,0,31.5
210,5.0,U9,720000.0,5.857332496431268,0,35.0
211,5.5,U9,1200000.0,6.079181246047625,0,38.5
212,6.0,U9,360000.0,5.556302500767287,0,42.0
213,6.5,U9,840000.0,5.924279286061882,0,45.5
214,7.0,U9,480000.0,5.681241237375588,0,49.0
216,8.0,U9,500000.0,5.698970004336019,0,56.0
218,9.0,U9,500000.0,5.698970004336019,0,63.0
220,10.0,U9,680000.0,5.832508912706237,0,70.0
222,11.0,U9,1000000.0,6.0,0,77.0
224,12.0,U9,2500000.0,6.3979400086720375,0,84.0
225,0.0,U10,30.0,1.4771212547196624,1,0.0
226,0.5,U10,30.0,1.4771212547196624,1,3.5
227,1.0,U10,30.0,1.4771212547196624,1,7.0
229,2.0,U10,2600000.0,6.414973347970818,0,14.0
230,2.5,U10,32000000.0,7.505149978319906,0,17.5
231,3.0,U10,36000000.0,7.556302500767287,0,21.0
233,4.0,U10,3500000.0,6.544068044350276,0,28.0
235,5.0,U10,4200000.0,6.623249290397901,0,35.0
237,6.0,U10,1500000.0,6.176091259055681,0,42.0
239,7.0,U10,1400000.0,6.146128035678238,0,49.0
241,8.0,U10,1600000.0,6.204119982655925,0,56.0
243,9.0,U10,1200000.0,6.079181246047625,0,63.0
245,10.0,U10,1200000.0,6.079181246047625,0,70.0
247,11.0,U10,750000.0,5.8750612633917,0,77.0
249,12.0,U10,1300000.0,6.113943352306837,0,84.0
250,0.0,U11,30.0,1.4771212547196624,1,0.0
251,0.5,U11,30.0,1.4771212547196624,1,3.5
252,1.0,U11,30.0,1.4771212547196624,1,7.0
253,1.5,U11,30.0,1.4771212547196624,1,10.5
254,2.0,U11,26000.0,4.414973347970818,0,14.0
255,2.5,U11,4100000.0,6.6127838567197355,0,17.5
256,3.0,U11,7000000.0,6.845098040014257,0,21.0
257,3.5,U11,960000.0,5.982271233039568,0,24.5
258,4.0,U11,570000.0,5.7558748556724915,0,28.0
260,5.0,U11,100000.0,5.0,0,35.0
262,6.0,U11,38000.0,4.57978359661681,0,42.0
264,7.0,U11,44000.0,4.643452676486188,0,49.0
266,8.0,U11,120000.0,5.079181246047625,0,56.0
268,9.0,U11,100000.0,5.0,0,63.0
270,10.0,U11,70000.0,4.845098040014257,0,70.0
272,11.0,U11,130000.0,5.113943352306837,0,77.0
274,12.0,U11,89000.0,4.949390006644912,0,84.0
275,0.0,U12,30.0,1.4771212547196624,1,0.0
276,0.5,U12,100.0,2.0,0,3.5
277,1.0,U12,120000.0,5.079181246047625,0,7.0
278,1.5,U12,29000000.0,7.4623979978989565,0,10.5
279,2.0,U12,95000000.0,7.977723605288848,0,14.0
280,2.5,U12,7000000.0,6.845098040014257,0,17.5
281,3.0,U12,5500000.0,6.740362689494244,0,21.0
282,3.5,U12,230000.0,5.361727836017593,0,24.5
283,4.0,U12,330000.0,5.518513939877887,0,28.0
285,5.0,U12,880000.0,5.944482672150168,0,35.0
287,6.0,U12,450000.0,5.653212513775344,0,42.0
289,7.0,U12,610000.0,5.785329835010767,0,49.0
291,8.0,U12,680000.0,5.832508912706237,0,56.0
293,9.0,U12,510000.0,5.707570176097937,0,63.0
295,10.0,U12,710000.0,5.8512583487190755,0,70.0
297,11.0,U12,1100000.0,6.041392685158225,0,77.0
300,0.0,U13,30.0,1.4771212547196624,1,0.0
301,0.5,U13,30.0,1.4771212547196624,1,3.5
302,1.0,U13,820.0,2.9138138523837167,0,7.0
303,1.5,U13,430000.0,5.633468455579586,0,10.5
304,2.0,U13,6600000.0,6.819543935541868,0,14.0
305,2.5,U13,16000000.0,7.204119982655925,0,17.5
306,3.0,U13,2300000.0,6.361727836017593,0,21.0
308,4.0,U13,150000.0,5.176091259055681,0,28.0
310,5.0,U13,150000.0,5.176091259055681,0,35.0
312,6.0,U13,760.0,2.8808135922807914,0,42.0
314,7.0,U13,2400.0,3.380211241711606,0,49.0
316,8.0,U13,1100.0,3.041392685158225,0,56.0
318,9.0,U13,1000.0,3.0,0,63.0
320,10.0,U13,800.0,2.9030899869919438,0,70.0
322,11.0,U13,750.0,2.8750612633917,0,77.0
324,12.0,U13,200.0,2.3010299956639813,0,84.0
325,0.0,U14,30.0,1.4771212547196624,1,0.0
326,0.5,U14,30.0,1.4771212547196624,1,3.5
327,1.0,U14,270.0,2.4313637641589874,0,7.0
328,1.5,U14,330000.0,5.518513939877887,0,10.5
329,2.0,U14,12000000.0,7.079181246047625,0,14.0
