dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
0.0363121,-0.106674,0.0226129,-1.62508,0.0819024,0.0166013,-0.0819158,0.170541,-0.00752362,0.200894,-0.23433,-0.0360123,0.324042,0.0643664,-0.0985678,-1.62508,-0.181794,-0.106705,-0.0819158,-0.34258,-0.164262,0.200894,-0.0182349,-0.0779238,0.324042,0.287823,0.167374,0.0363121,-0.360604,0.15614,-0.0819158,-0.431483,0.0929471,0.200894,0.451129,0.068179,0.324042,0.114187,0.0491825,0.0363121,-0.0791593,0.0139221,-1.62508,-0.0504301,-0.043462,0.200894,-0.0488364,-0.0238185,0.324042,-0.24428,-0.0966638,0.0363121,-0.0019803,-0.0311215,-1.62508,-0.0640835,0.00653868,-0.0819158,-0.119851,-0.0181143
0.0823439,0.00101318,0.0183376,-1.47218,0.0377652,0.0177532,-0.0606156,0.216974,0.00380157,0.23833,-0.355565,-0.0468751,0.36424,0.149078,-0.106308,-1.47218,-0.173971,-0.101085,-0.0606156,-0.318823,-0.12722,0.23833,-0.120941,-0.0838586,0.36424,0.116899,0.171477,0.0823439,-0.504967,0.167197,-0.0606156,-0.300388,0.106391,0.23833,0.347205,0.0567758,0.36424,0.170137,0.0574843,0.0823439,-0.0282662,0.02892,-1.47218,-0.0712403,-0.0406951,0.23833,-0.155615,-0.0258379,0.36424,-0.256889,-0.106295,0.0823439,-0.0489672,-0.034028,-1.47218,0.0282533,0.0037001,-0.0606156,-0.174026,-0.020557
0.128376,0.0530165,0.0140622,-1.31929,-0.030492,0.0189051,-0.0393153,0.182342,0.0151268,0.275765,-0.294178,-0.0577379,0.404438,0.218207,-0.114049,-1.31929,-0.193566,-0.0954649,-0.0393153,-0.16836,-0.0901775,0.275765,-0.0489993,-0.0897934,0.404438,-0.0432199,0.17558,0.128376,-0.501277,0.178253,-0.0393153,0.154276,0.119836,0.275765,0.10829,0.0453726,0.404438,0.226245,0.0657861,0.128376,0.017693,0.043918,-1.31929,-0.109704,-0.0379283,0.275765,-0.115796,-0.0278574,0.404438,-0.268136,-0.115927,0.128376,-0.0451004,-0.0369344,-1.31929,0.18746,0.000861519,-0.0393153,-0.176011,-0.0229996
0.174407,0.0286294,0.0097869,-1.16639,-0.0328878,0.020057,-0.0180151,0.0641821,0.0264519,0.3132,-0.142476,-0.0686007,0.444636,0.23241,-0.121789,-1.16639,-0.25891,-0.0898451,-0.0180151,0.0524852,-0.053135,0.3132,0.104497,-0.0957282,0.444636,-0.0682544,0.179683,0.174407,-0.352448,0.189309,-0.0180151,0.624792,0.13328,0.3132,-0.135392,0.0339695,0.444636,0.26166,0.0740879,0.174407,0.0487465,0.058916,-1.16639,-0.120598,-0.0351615,0.3132,0.00379983,-0.0298769,0.444636,-0.259099,-0.125558,0.174407,0.00998032,-0.0398409,-1.16639,0.227,-0.00197706,-0.0180151,-0.102688,-0.0254423
0.220439,-0.0410315,0.00551155,-1.01349,0.0382342,0.021209,0.00328513,0.0488137,0.0377771,0.350636,-0.150824,-0.0794635,0.484834,0.184644,-0.12953,-1.01349,-0.345446,-0.0842252,0.00328513,-0.0143681,-0.0160925,0.350636,0.0561787,-0.101663,0.484834,0.0240833,0.183786,0.220439,-0.151628,0.200366,0.00328513,0.073869,0.146724,0.350636,-0.208221,0.0225663,0.484834,0.261907,0.0823897,0.220439,0.0623891,0.0739139,-1.01349,-0.096426,-0.0323946,0.350636,-0.0188766,-0.0318964,0.484834,-0.241114,-0.13519,0.220439,0.0767988,-0.0427474,-1.01349,0.111097,-0.00481564,0.00328513,-0.0575091,-0.027885
0.266471,-0.104339,0.0012362,-0.860599,0.0843521,0.0223609,0.0245854,0.0816915,0.0491023,0.388071,-0.280887,-0.0903262,0.525031,0.0724258,-0.13727,-0.860599,-0.370361,-0.0786053,0.0245854,-0.110054,0.02095,0.388071,-0.112983,-0.107598,0.525031,0.179474,0.187889,0.266471,-0.030901,0.211422,0.0245854,-0.576013,0.160168,0.388071,-0.142987,0.0111632,0.525031,0.215896,0.0906914,0.266471,0.0593668,0.0889119,-0.860599,-0.0776001,-0.0296278,0.388071,-0.135467,-0.0339158,0.525031,-0.228562,-0.144822,0.266471,0.100662,-0.0456539,-0.860599,-0.00104317,-0.00765422,0.0245854,-0.0501371,-0.0303277
0.312503,-0.13195,-0.00303915,-0.707703,0.0255162,0.0235128,0.0458856,0.0424222,0.0604275,0.425506,-0.403457,-0.101189,0.565229,-0.0925514,-0.14501,-0.707703,-0.268694,-0.0729854,0.0458856,0.0887405,0.0579924,0.425506,-0.207913,-0.113533,0.565229,0.258459,0.191992,0.312503,-0.0488156,0.222478,0.0458856,-0.13125,0.173612,0.425506,-0.0383471,-0.000240007,0.565229,0.144216,0.0989932,0.312503,0.0453174,0.10391,-0.707703,-0.0965344,-0.026861,0.425506,-0.212761,-0.0359353,0.565229,-0.209552,-0.154453,0.312503,0.063815,-0.0485603,-0.707703,0.0238982,-0.0104928,0.0458856,-0.0298929,-0.0327703
0.358534,-0.127856,-0.0073145,-0.554808,-0.0585019,0.0246647,0.0671858,0.0434293,0.0717527,0.462942,-0.415906,-0.112052,0.605427,-0.279409,-0.152751,-0.554808,-0.122246,-0.0673655,0.0671858,0.143309,0.0950349,0.462942,-0.103921,-0.119467,0.605427,0.134357,0.196095,0.358534,-0.151785,0.233535,0.0671858,0.338345,0.187057,0.462942,0.0299125,-0.0116432,0.605427,0.0810255,0.107295,0.358534,0.0345871,0.118908,-0.554808,-0.116037,-0.0240942,0.462942,-0.158626,-0.0379548,0.605427,-0.168095,-0.164085,0.358534,0.00872739,-0.0514668,-0.554808,0.092361,-0.0133314,0.0671858,0.0168083,-0.035213
0.404566,-0.104604,-0.0115898,-0.401912,-0.0444452,0.0258166,0.0884861,0.0917646,0.0830779,0.500377,-0.321167,-0.122915,0.645625,-0.363303,-0.160491,-0.401912,-0.0531995,-0.0617456,0.0884861,-0.0584183,0.132077,0.500377,0.0385596,-0.125402,0.645625,0.000255518,0.200198,0.404566,-0.257965,0.244591,0.0884861,0.308776,0.200501,0.500377,0.0750764,-0.0230463,0.645625,0.0622605,0.115597,0.404566,0.0424005,0.133906,-0.401912,-0.0797915,-0.0213273,0.500377,-0.0467634,-0.0399742,0.645625,-0.141693,-0.173716,0.404566,-0.0115523,-0.0543733,-0.401912,0.0448851,-0.01617,0.0884861,0.0787636,-0.0376557
0.450598,-0.0841822,-0.0158652,-0.249016,-0.00788551,0.0269685,0.109786,0.0325645,0.094403,0.537812,-0.158498,-0.133777,0.685823,-0.293069,-0.168232,-0.249016,-0.00317571,-0.0561257,0.109786,-0.046347,0.16912,0.537812,0.00859995,-0.131337,0.685823,0.0126968,0.204301,0.450598,-0.274,0.255648,0.109786,0.443535,0.213945,0.537812,0.116986,-0.0344495,0.685823,0.0955263,0.123899,0.450598,0.069631,0.148904,-0.249016,-0.0168055,-0.0185605,0.537812,0.0138254,-0.0419937,0.685823,-0.155941,-0.183348,0.450598,0.0211453,-0.0572798,-0.249016,-0.018771,-0.0190085,0.109786,0.116809,-0.0400984
