id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,w_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,w_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,w_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,w_sd,initT_randomEffects,aS_randomEffects,dS_randomEffects,tau_randomEffects,lBt0_randomEffects,lp_randomEffects,dI_randomEffects,w_randomEffects
11,-2.89928485822436599,0.42003503238426720,-4.95847098768793781,-2.99573227355399085,-4.05290805659248043,4.59999999999999964,2.07615443448712744,-2.84366166112908170,-2.75768398867277753,0.45420434728649628,-4.97284402036339745,-2.99573227355399085,-4.06810166130737194,4.59999999999999964,2.16334562124854823,-2.81001527726711231,-2.60302842935226764,0.45423574938053934,-4.99967062919657579,-2.99573227355399085,-4.07787436767254974,4.59999999999999964,1.71718600829871626,-2.76361273441566180,0.75148326817643030,0.05973114053548737,0.09514166495939981,0.00000000000000000,0.04412678981162663,0.00000000000000000,1.33067727638719346,0.28091257681267773,2.10853465845501153,-0.00624499253360405,0.04642310875457620,0.00000000000000000,0.00249755782309164,0.00000000000000000,1.09346729008635823,-0.18897874459310640
12,-5.74693604332965524,0.46610192965923458,-5.02934003483887881,-2.99573227355399085,-4.06223039922048201,4.59999999999999964,1.01417296228806775,-2.07762716370464773,-5.41907813474180067,0.46261404232461645,-5.04033376108319775,-2.99573227355399085,-4.05842257797427308,4.59999999999999964,0.74248823360576199,-2.16412913794045725,-5.63583811464394380,0.46307210531006948,-5.01660110600001907,-2.99573227355399085,-4.07258761639403577,4.59999999999999964,0.74434529964228335,-2.14367859395528537,1.60592271849203394,0.05984217998145896,0.09522434823501739,0.00000000000000000,0.06985089492242912,0.00000000000000000,1.35126826459068439,0.44064521964887143,-0.55285948761400983,0.00216470250451625,-0.02106663196522696,0.00000000000000000,0.01217664115619316,0.00000000000000000,-0.32739009755642645,0.45690739473354830
13,-2.77198061045208277,0.44592074020057687,-4.99933073697724240,-2.99573227355399085,-4.08736622663443683,4.59999999999999964,1.17462722383414464,-2.09161533825545209,-2.77091529941531611,0.43764000497067279,-4.97049986915576980,-2.99573227355399085,-4.06684028920375251,4.59999999999999964,1.53544903319317627,-2.09473266315898554,-2.69595512026644979,0.45790181626222948,-4.99268408425380983,-2.99573227355399085,-4.08868603802698871,4.59999999999999964,1.33184489047203725,-2.04958737822390979,0.87786835755523496,0.05500925158849635,0.11070977730165434,0.00000000000000000,0.05922792514081183,0.00000000000000000,1.42785078568873258,0.28332110750334233,2.09530334771247340,-0.02280933484942749,0.04876725996219860,0.00000000000000000,0.00375892992671127,0.00000000000000000,0.46557070203098838,0.52630386951501928
14,-4.66175663149428932,0.44536075216106991,-4.98998883927762815,-2.99573227355399085,-4.16539031193633846,4.59999999999999964,0.44307980207482950,-2.38823296751500136,-4.45256698456580313,0.42627039374893116,-4.95484567651539187,-2.99573227355399085,-4.12818275128487233,4.59999999999999964,1.05642888866737050,-2.25582687532405357,-4.44474137833743388,0.44540409138446591,-4.95916769847385819,-2.99573227355399085,-4.15219159689537243,4.59999999999999964,0.75931655954210120,-2.16645145003583384,1.43671439442340998,0.05537802627384306,0.08810655486807460,0.00000000000000000,0.04322360172494827,0.00000000000000000,1.39741019148853107,0.39310199090690845,0.41365166256198321,-0.03417894607116888,0.06442145260257701,0.00000000000000000,-0.05758353215440689,0.00000000000000000,-0.01344944249481803,0.36520965734995225
15,-0.82842300189468454,0.42606199704870423,-4.97551264876791244,-2.99573227355399085,-4.02611939546325548,4.59999999999999964,2.66369349700210645,-3.26955722160549200,-0.87329365027712891,0.46933521052716326,-4.95868729709738343,-2.99573227355399085,-4.03727323904157487,4.59999999999999964,2.94055227910608608,-3.30831966233399966,-0.83013831041698083,0.44723911719856690,-4.97520045053448001,-2.99573227355399085,-4.03372466079116698,4.59999999999999964,2.64119704710256276,-3.25286874941118853,0.38541576506755648,0.06585141234850775,0.08282078889017425,0.00000000000000000,0.04306371220302376,0.00000000000000000,1.09680576319933709,0.20236074467556958,3.99292499685066105,0.00888587070706298,0.06057983202058606,0.00000000000000000,0.03332598008888471,0.00000000000000000,1.87067394794390029,-0.68728312965999516
16,-0.87739181150655643,0.46713308663886471,-5.00266264724529464,-2.99573227355399085,-4.04462939251750431,4.59999999999999964,-0.24670221462428996,-2.00276859751556779,-1.00521774910709660,0.47604815473076362,-5.01495738110894607,-2.99573227355399085,-4.06035431274573444,4.59999999999999964,-0.46063676643554619,-2.33135393381328360,-0.77930868867617731,0.46725842369276538,-5.03953092073750497,-2.99573227355399085,-4.04513167966137743,4.59999999999999964,-0.93641725680777210,-2.50961120022110684,0.40218256544393310,0.06384713938876038,0.09496966960947480,0.00000000000000000,0.05164299689999675,0.00000000000000000,1.02186486271857291,0.71225410913061193,3.86100089802069313,0.01559881491066334,0.00430974800902174,0.00000000000000000,0.01024490638472958,0.00000000000000000,-1.53051509759773485,0.28968259886072423
17,-6.31453212280747067,0.45684063294224897,-4.95318577159993723,-2.99573227355399085,-4.10589103037938763,4.59999999999999964,1.55968839842052609,-2.41334974655198709,-6.25402788090529782,0.46316357010465364,-4.98233925658796384,-2.99573227355399085,-4.11979684250628519,4.59999999999999964,1.62245552202403664,-2.46449204649884202,-6.32678493924408158,0.44983584663065401,-4.98082332801919847,-2.99573227355399085,-4.11692777628685391,4.59999999999999964,1.55756951279694178,-2.46621174167925439,1.55101416917140211,0.05883654408673034,0.08048231847425663,0.00000000000000000,0.04635441203457098,0.00000000000000000,1.38415212513896968,0.27406421914791435,-1.38780923377750831,0.00271423028455360,0.03692787253000702,0.00000000000000000,-0.04919762337582232,0.00000000000000000,0.55257719086184931,0.15654448617516545
18,-6.15560978099176381,0.43809228140947520,-4.98840947160083115,-2.99573227355399085,-4.13073039449583135,4.59999999999999964,0.93727918783408559,-2.43479495887802155,-6.03297498013949074,0.42835565478043880,-4.97847143153656191,-2.99573227355399085,-4.10692409510827705,4.59999999999999964,1.35894260730441929,-2.44396946201688703,-5.88844650015358084,0.44823697683935038,-4.98498189255655610,-2.99573227355399085,-4.13406120756335405,4.59999999999999964,1.01358150259678714,-2.30665262948993366,1.61158550968562353,0.06358075876666262,0.11762991990991101,0.00000000000000000,0.06215810103704199,0.00000000000000000,1.46648228633844013,0.41439575984338911,-1.16675633301170056,-0.03209368503966138,0.04079569758140637,0.00000000000000000,-0.03632487597781163,0.00000000000000000,0.28906427614223035,0.17706707065711738
19,-3.55673662352046538,0.46828010016098232,-5.03418513332539419,-2.99573227355399085,-4.13046021836411459,4.59999999999999964,1.31759576607670215,-2.34534324840099595,-3.72751527650783343,0.44522681360683536,-5.00491880939092315,-2.99573227355399085,-4.11128531508158002,4.59999999999999964,1.56646733689236162,-2.36436521844538250,-3.59796744387638556,0.45037450900470100,-4.99955215980269152,-2.99573227355399085,-4.11810322413053509,4.59999999999999964,0.82534585319881115,-2.37346645939495282,0.76639552119384191,0.06352943258558832,0.09410790427288350,0.00000000000000000,0.04505502607959182,0.00000000000000000,1.52693044317256477,0.47385268697022137,1.13870337061995408,-0.01522252621326489,0.01434831972704793,0.00000000000000000,-0.04068609595111494,0.00000000000000000,0.49658900573017323,0.25667131422862266
20,-4.14105586842280715,0.45532656871887739,-5.00262324651861690,-2.99573227355399085,-4.12752124833198675,4.59999999999999964,-0.28053567721148664,-2.38500481833257405,-4.68836508310789668,0.43991725928288711,-4.98477703676118100,-2.99573227355399085,-4.12766205163994204,4.59999999999999964,0.25299751521463570,-2.33752988840720777,-3.94750569404764873,0.44987390131702687,-4.99751163273654520,-2.99573227355399085,-4.11834498603929688,4.59999999999999964,-0.68787893036236936,-2.68819047828956670,1.34936676644104647,0.06069973863465782,0.09705821463561488,0.00000000000000000,0.05423875521884831,0.00000000000000000,1.37226359094816019,0.48829143464832730,0.17785356401989283,-0.02053208053721330,0.03449009235679043,0.00000000000000000,-0.05706283250947705,0.00000000000000000,-0.81688081594755257,0.28350664426679772
