iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
60,1120.71,1,0.117912,1.59868,2.22045e-16,0.865675,0.0070882,-4.99392,-4.05083,0.0652764,2.43793,0.104006,3.00086,0.0726632,0.644712,0.0783809
61,1105.99,1,0.116339,1.59114,2.22045e-16,0.879825,0.00713019,-5.16895,-4.037,0.0636236,2.51235,0.101372,3.06743,0.0745717,0.679698,0.0745993
62,1088.62,1,0.114892,1.60192,2.22045e-16,0.848809,0.00696955,-4.81971,-4.04213,0.0630287,2.49312,0.0988055,2.98977,0.0754354,0.662488,0.0731243
63,1099.79,1,0.117484,1.60888,2.22045e-16,0.794296,0.00691654,-5.05784,-4.05143,0.0614328,2.42999,0.0963037,2.97253,0.0906607,0.645713,0.0706297
64,1096.45,1,0.115459,1.59946,2.22045e-16,0.80955,0.00701065,-4.62507,-4.04588,0.0613761,2.36846,0.103106,2.89726,0.0883651,0.629363,0.0778353
65,1082.63,1,0.114759,1.59621,2.22045e-16,0.80386,0.00693635,-4.66695,-4.05597,0.059822,2.30849,0.100956,2.8239,0.0861276,0.684755,0.0780507
66,1104.5,1,0.117124,1.62431,2.22045e-16,0.82078,0.00690493,-4.68575,-4.05256,0.0610091,2.25004,0.107056,2.7524,0.0839468,0.72673,0.074882
67,1090.78,1,0.115503,1.63856,2.22045e-16,0.802551,0.00684851,-4.83951,-4.06186,0.0675558,2.19307,0.104346,2.80357,0.0818212,0.708329,0.0717621
68,1092.97,1,0.119284,1.62214,2.22045e-16,0.793191,0.00684196,-5.00198,-4.07083,0.0669589,2.13754,0.101704,2.81652,0.0797495,0.690393,0.0695007
69,1091.48,1,0.118117,1.62662,2.22045e-16,0.802308,0.00688791,-5.11885,-4.07359,0.0652634,2.08341,0.103179,2.7452,0.0777302,0.708296,0.0735045
70,1127.44,1,0.120012,1.62678,2.22045e-16,0.755482,0.00692832,-4.95915,-4.06996,0.0636109,2.03066,0.102783,2.72384,0.0763033,0.738184,0.068364
71,1082.8,1,0.117037,1.63138,2.22045e-16,0.786642,0.00683026,-5.18816,-4.07237,0.0622058,1.97924,0.100181,2.76622,0.0743713,0.719493,0.0630284
72,1134.89,1,0.119275,1.61785,2.22045e-16,0.833142,0.00691416,-5.24717,-4.07776,0.0707631,2.23103,0.111581,2.69618,0.0724882,0.701275,0.0728558
73,1085.7,1,0.11344,1.63448,2.22045e-16,0.861425,0.00688847,-5.34301,-4.07353,0.0710908,2.25654,0.108755,2.62791,0.0706527,0.696805,0.0705738
74,1088.06,1,0.116352,1.64216,2.22045e-16,0.86718,0.00697766,-5.10882,-4.0674,0.0692907,2.42866,0.106001,2.56137,0.0694155,0.679161,0.0694341
75,1103.42,1,0.116815,1.66277,2.22045e-16,0.833297,0.00691913,-4.87396,-4.07091,0.0675362,2.54095,0.103317,2.58461,0.0736823,0.661965,0.068713
76,1141.33,1,0.118857,1.67998,2.22045e-16,0.884186,0.00693354,-5.28431,-4.08037,0.0690497,2.56528,0.108662,2.63001,0.0718276,0.645203,0.0678968
77,1101.15,1,0.118489,1.68837,2.22045e-16,0.880244,0.00689415,-5.37229,-4.0854,0.0673014,2.5159,0.10591,2.59771,0.0732086,0.628866,0.0680636
78,1116.34,1,0.120309,1.68764,2.22045e-16,0.854474,0.00691994,-5.20883,-4.08749,0.0717927,2.45219,0.103229,2.64245,0.0713549,0.612943,0.0702099
79,1123.7,1,0.121229,1.70113,2.22045e-16,0.773284,0.00690505,-5.06771,-4.0842,0.0699749,2.3901,0.114034,2.66118,0.0695482,0.597423,0.0622983
80,1121.65,1,0.119999,1.70019,2.22045e-16,0.834145,0.00696259,-5.38805,-4.0875,0.0723897,2.51369,0.111146,2.6629,0.0677872,0.582296,0.0632011
81,1098.52,1,0.117443,1.71627,2.22045e-16,0.786778,0.00703813,-5.20889,-4.08373,0.0733326,2.45004,0.111401,2.59547,0.073176,0.567552,0.0562613
82,1127.38,1,0.118835,1.71351,2.22045e-16,0.799576,0.00702646,-5.17542,-4.07995,0.0774078,2.38801,0.10858,2.60808,0.0798824,0.553181,0.0614124
83,1098.75,1,0.114784,1.70658,2.22045e-16,0.824314,0.00698228,-5.22804,-4.08376,0.0789005,2.32754,0.106219,2.54204,0.083497,0.539174,0.0612045
84,1116.68,1,0.114838,1.68945,2.22045e-16,0.826271,0.00709939,-5.19655,-4.08092,0.0868791,2.48767,0.104513,2.47768,0.084067,0.554145,0.0646278
85,1117.59,1,0.115651,1.70399,2.22045e-16,0.828102,0.00703023,-5.15728,-4.08186,0.0846793,2.42468,0.101866,2.45369,0.0868711,0.583854,0.0710518
86,1098.29,1,0.116207,1.68958,2.22045e-16,0.780728,0.0070877,-4.94566,-4.07877,0.0825352,2.36328,0.0992871,2.39157,0.0887905,0.569071,0.0682901
87,1120.73,1,0.117121,1.71939,2.22045e-16,0.840591,0.00702381,-4.94098,-4.07628,0.0886092,2.41996,0.0967731,2.33153,0.0865423,0.565501,0.0686577
88,1087.18,1,0.114843,1.73619,2.22045e-16,0.833747,0.00695648,-4.96702,-4.08344,0.0863656,2.35868,0.0943227,2.51521,0.084351,0.551182,0.0665172
89,1069.03,1,0.114769,1.74974,2.22045e-16,0.78473,0.00692373,-4.95375,-4.08761,0.0841787,2.29896,0.0985122,2.45152,0.0822151,0.550615,0.0679676
90,1098.33,1,0.118626,1.74152,2.22045e-16,0.808628,0.00695055,-4.8359,-4.07992,0.0820473,2.47526,0.0960178,2.38945,0.0801334,0.536673,0.0648585
