rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,split,color,filter
6,2,3.65464,0.00449529,-0.027282,0,-0.000566556,0,0,-0.14382,All,#4682B4,0
7,2,3.68396,0.00926248,-0.0392439,0,-0.00502963,0,0,0.132496,All,#4682B4,0
8,2,1.14357,-0.0207373,-0.00182639,0,-0.00243703,0,0,-0.188417,All,#4682B4,0
9,2,0.813051,-0.00961604,0.0758457,0,0.00149951,0,0,0.502234,All,#4682B4,0
10,2,0.880745,-0.00764405,-0.000500601,0,-0.0050718,0,0,-0.532073,All,#4682B4,0
1,3,0.751097,-0.0200529,0.0188555,0,0.00522968,0,0,-0.0254458,All,#4682B4,0
2,3,0.712556,-0.0254524,-0.0113628,0,-0.00344344,0,0,0.380449,All,#4682B4,0
3,3,-0.641229,-0.0087635,0.043097,0,0.00254175,0,0,0.162422,All,#4682B4,0
4,3,2.61645,0.00547793,0.011203,0,0.0064731,0,0,0.029619,All,#4682B4,0
5,3,2.8928,0.0054239,-0.0126126,0,0.00404617,0,0,-0.00650459,All,#4682B4,0
6,3,-0.395991,0.00765249,0.0120269,0,-0.00813726,0,0,0.491046,All,#4682B4,0
7,3,2.86176,0.014916,-0.0249517,0,-0.0119814,0,0,-0.25846,All,#4682B4,0
8,3,1.15337,0.00695155,-0.00395497,0,-0.00690066,0,0,-0.281602,All,#4682B4,0
9,3,0.1609,0.0274454,0.0259702,0,-0.00551178,0,0,-0.573097,All,#4682B4,0
10,3,0.60265,0.0368527,0.0453518,0,-0.00277178,0,0,-0.36146,All,#4682B4,0
1,4,-2.19958,-0.0382746,0.0234508,0,0.00251452,0,0,0.396377,All,#4682B4,0
2,4,-0.0741645,0.00373414,-0.00631088,0,-0.00341105,0,0,-0.18023,All,#4682B4,0
3,4,1.25711,0.00862242,-0.0402987,0,0.00649918,0,0,0.48646,All,#4682B4,0
4,4,-0.326426,-0.00390356,-0.0380362,0,-0.00605184,0,0,-0.0785969,All,#4682B4,0
5,4,1.92514,0.00740053,0.0233037,0,0.00463572,0,0,0.279098,All,#4682B4,0
6,4,1.60098,0.0234361,-0.00029499,0,0.0106205,0,0,0.378796,All,#4682B4,0
7,4,-0.156651,-0.00598054,0.00495986,0,-0.00663801,0,0,-0.213672,All,#4682B4,0
8,4,-4.19697,-0.00300898,0.00791014,0,0.000797236,0,0,0.418824,All,#4682B4,0
9,4,1.80837,-0.0119876,0.0106524,0,0.000226979,0,0,-0.0110388,All,#4682B4,0
10,4,0.884332,0.0137273,-0.0355825,0,0.00594135,0,0,0.749162,All,#4682B4,0
1,5,-0.796588,0.00968268,0.0098781,0,-0.00261776,0,0,-0.780096,All,#4682B4,0
2,5,0.325196,-0.00909643,-0.0133906,0,-0.00855227,0,0,-0.211058,All,#4682B4,0
3,5,2.09305,-0.00434513,-0.0444025,0,0.0156118,0,0,-0.015353,All,#4682B4,0
4,5,-0.104231,7.31077e-05,-0.0103292,0,0.00511223,0,0,0.187314,All,#4682B4,0
5,5,0.102497,0.0192642,0.0143258,0,-0.00294523,0,0,0.21291,All,#4682B4,0
6,5,-2.2072,-0.00932659,-0.0292642,0,-0.00284098,0,0,-0.316045,All,#4682B4,0
7,5,0.2825,0.0069635,-0.00127091,0,-0.00717343,0,0,0.103589,All,#4682B4,0
8,5,0.672272,-0.00109673,-0.00284403,0,-0.00135991,0,0,0.298314,All,#4682B4,0
9,5,-0.912706,-0.00789715,0.0246181,0,0.00128435,0,0,0.0910695,All,#4682B4,0
10,5,-3.63319,-0.00529393,0.0408729,0,-0.00325587,0,0,-0.119541,All,#4682B4,0
1,6,-2.78431,-0.00461946,0.0215299,0,-0.00639119,0,0,0.422516,All,#4682B4,0
2,6,-5.57369,-0.0156138,0.00400116,0,-0.00628138,0,0,1.17049,All,#4682B4,0
3,6,-3.0482,0.000561833,-0.0378948,0,-0.00972615,0,0,0.456111,All,#4682B4,0
4,6,-2.72732,-0.00279267,-0.0463331,0,-0.00783907,0,0,0.34754,All,#4682B4,0
5,6,-1.03741,0.0112121,0.0139256,0,0.00660833,0,0,0.367033,All,#4682B4,0
6,6,-2.1133,0.0333905,-0.0560843,0,-0.0023701,0,0,0.217243,All,#4682B4,0
7,6,-3.9296,-0.0273207,-0.00830781,0,0.00996659,0,0,0.0621111,All,#4682B4,0
8,6,-3.18471,0.0102292,0.00978829,0,-0.00790802,0,0,0.648652,All,#4682B4,0
9,6,-4.57695,0.0205207,-0.00800829,0,0.0112141,0,0,0.0853449,All,#4682B4,0
10,6,-2.13937,0.0143719,0.030331,0,1.94634e-05,0,0,0.229081,All,#4682B4,0
1,7,0.428484,-0.00759066,-0.0274297,0,-0.000789028,0,0,0.719823,All,#4682B4,0
2,7,-1.4219,-0.0193985,-0.00443561,0,0.00231692,0,0,0.94206,All,#4682B4,0
3,7,-3.74693,-0.00340545,0.00667953,0,0.0011102,0,0,0.915916,All,#4682B4,0
4,7,-5.64342,-0.0220964,-0.00131821,0,-0.00809334,0,0,0.905131,All,#4682B4,0
5,7,-3.05954,0.0135803,0.0214788,0,-0.000809476,0,0,0.738362,All,#4682B4,0
6,7,-4.81851,-0.0134844,0.006893,0,-0.00199701,0,0,0.936056,All,#4682B4,0
7,7,-6.53618,0.00654171,0.0403218,0,0.00486013,0,0,0.691433,All,#4682B4,0
8,7,-2.35082,0.00441247,0.00127984,0,0.00479124,0,0,0.686987,All,#4682B4,0
9,7,-5.50666,-0.00958329,-0.00914752,0,0.00173316,0,0,0.780808,All,#4682B4,0
10,7,-4.76978,-0.0104584,0.0248313,0,-0.00955927,0,0,0.672616,All,#4682B4,0
1,8,-2.61643,-0.000302895,0.0103227,0,0.00125261,0,0,0.427968,All,#4682B4,0
2,8,-1.21543,-0.019197,-0.00872761,0,0.00470824,0,0,-0.670076,All,#4682B4,0
3,8,-1.10809,0.00946082,0.0144078,0,-0.003014,0,0,-0.722098,All,#4682B4,0
4,8,0.083241,-0.0148572,-0.023317,0,0.011815,0,0,0.726678,All,#4682B4,0
5,8,-0.764383,-0.018383,0.00588147,0,0.0117076,0,0,0.0642583,All,#4682B4,0
6,8,-0.783177,-0.00368157,0.000356255,0,0.00571566,0,0,-0.165028,All,#4682B4,0
7,8,-1.25689,-0.0060735,-0.012938,0,-0.00603675,0,0,-0.266442,All,#4682B4,0
8,8,-0.995213,0.00222019,-0.011531,0,-0.0124956,0,0,-0.73643,All,#4682B4,0
9,8,-1.59675,-0.00671041,-0.015593,0,-0.00480569,0,0,-0.778426,All,#4682B4,0
10,8,-1.00718,0.0558752,0.0151052,0,-0.00298772,0,0,-0.981158,All,#4682B4,0
1,9,-6.32584,0.0242077,0.0113775,0,0.00210799,0,0,0.657619,All,#4682B4,0
2,9,-2.5379,0.0204372,0.0203888,0,-0.00592496,0,0,0.318676,All,#4682B4,0
3,9,-0.705448,-0.00329706,-0.00139649,0,-0.0065533,0,0,0.0276635,All,#4682B4,0
4,9,-5.76976,-0.00452799,0.0556745,0,-0.0121986,0,0,0.0949578,All,#4682B4,0
5,9,-0.496483,0.00283617,-0.00584263,0,0.00483857,0,0,0.278973,All,#4682B4,0
6,9,-3.5462,-0.0156304,0.0154862,0,0.0094759,0,0,0.432066,All,#4682B4,0
7,9,-1.54084,0.0114966,0.00637672,0,-0.00318577,0,0,0.168821,All,#4682B4,0
8,9,-2.28602,0.0028752,0.0109451,0,-0.0105081,0,0,0.47741,All,#4682B4,0
9,9,1.0976,-0.00328455,-0.0422053,0,0.011306,0,0,0.0363918,All,#4682B4,0
10,9,-1.11587,0.00229939,0.0306182,0,0.00193065,0,0,0.0593614,All,#4682B4,0
1,10,-1.84414,0.0128375,-0.0266709,0,-0.00466734,0,0,-0.372621,All,#4682B4,0
