rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,doseTCID50
4,N462,0,2.0216258180069,2.22263959556119e-5,1,0.000355759883856711,1.7766700028551,23,0.08,0.167637452594007,3.05816803962473e-5,300
5,N462,0,1.6600981637549,1.92701214986052e-5,1,0.000439660750003496,1.77408267764425,23,0.08,0.181908949852686,2.87880268307062e-5,300
6,N462,0,1.89675495240031,8.68058730602578e-6,1,0.000372124085676351,1.81589669006539,23,0.08,0.0796392022580213,1.48911096516825e-5,300
7,N462,0,7.23781894505008,1.21518565752793e-5,1,0.000333024509951336,1.76991981016516,23,0.08,0.196868964974818,3.12192702706468e-5,300
8,N462,0,1.22924667082332,1.6202224729632e-5,1,0.000438990118844376,1.83250478479215,23,0.08,0.0414367513648311,1.83556655593806e-5,300
9,N462,0,1.9061848879572,1.43668927517146e-5,1,0.000340251721784253,1.8730349184075,23,0.08,0.0583932815857894,3.04369168905039e-5,300
10,N462,0,2.3798959650236,1.8079090987375e-5,1,0.000339268535049703,1.81431430447918,23,0.08,0.153608731095638,2.07946922390471e-5,300
1,N321,0,2.95889055978735,8.31213355635821e-6,1,0.000259244677907968,1.74724521576022,23,0.08,0.0142840984398788,2.97366604840875e-5,300
2,N321,0,12.4439253578111,1.29589454639913e-5,1,0.000329211934692239,1.78770618730328,23,0.08,0.0265135749236318,1.98224742218158e-5,300
3,N321,0,11.3148906154,1.31591076102055e-5,1,0.000425058208829263,1.77333480122281,23,0.08,0.0192263931199616,2.59181778623877e-5,300
4,N321,0,9.3425888166175,8.57088279751124e-6,1,0.000200797461800746,1.83270649222493,23,0.08,0.0208956637383703,1.71229348913746e-5,300
5,N321,0,12.6380902564006,8.08140181406567e-6,1,0.00042162608224714,1.76511829838025,23,0.08,0.0140083572202916,2.29276585163043e-5,300
6,N321,0,7.25251739497143,8.89818796527267e-6,1,0.000376744118102449,1.81353408766565,23,0.08,0.0192786801443873,1.52236388563946e-5,300
7,N321,0,21.7900858068126,1.70947142213269e-5,1,0.000273949070252585,1.76263717385251,23,0.08,0.0107706440470796,3.21749367984761e-5,300
