rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0,doseTCID50
10,I806,0,-0.21670527377929,-0.0120832059524167,0,0.221707927607707,-0.00249527438124347,0,0,0.587084084437312,-0.304582127899265,600
1,N462,0,-1.01805943561261,0.10720016598217,0,-0.404837209885163,0.0269180489363457,0,0,-0.316940054414102,-0.152734509280097,300
2,N462,0,-0.796007107176836,0.493549356796679,0,-0.139694952935039,0.0385558296440833,0,0,0.542995851580367,0.0284924423752755,300
3,N462,0,0.0975534824918862,-0.21758022409498,0,0.26489415223006,0.0179551118002542,0,0,1.13495311698754,0.0754030114697885,300
4,N462,0,-1.36499432803538,0.556120599228324,0,0.0975420818285737,-0.0210268404561413,0,0,0.772929992376061,0.373367246153362,300
5,N462,0,-1.56201964070934,0.4133957971211,0,0.309289468893561,-0.0224841797312659,0,0,0.854632651490304,0.312925661991775,300
6,N462,0,-1.42875186989622,-0.384070801982605,0,0.142513424390736,0.000811722086736105,0,0,0.028632827423023,-0.346269536461323,300
7,N462,0,-0.0895764657926788,-0.0476780276875642,0,0.0315021528207759,-0.0248334271756301,0,0,0.933664720141646,0.394001637372557,300
8,N462,0,-1.86249485711437,0.239988571448772,0,0.307762966586163,0.0099160981051106,0,0,-0.624705433699775,-0.137095626986265,300
9,N462,0,-1.4237925724685,0.119766454745616,0,0.0529717639607263,0.0317923985811141,0,0,-0.281672792995047,0.368622339394356,300
10,N462,0,-1.20183960156849,0.349596086102693,0,0.0500779946852607,-6.00650842110264e-5,0,0,0.685535027296385,-0.0123361303353604,300
1,N321,0,-0.984081988927348,-0.427443668785791,0,-0.218941619812051,-0.0377272825263964,0,0,-1.68972671354528,0.345346740683168,300
2,N321,0,0.452336204648633,0.0166263287439147,0,0.0199877838588645,-0.0148343292695548,0,0,-1.07121677177196,-0.0602175479505522,300
3,N321,0,0.357223235696761,0.0319541224728278,0,0.275512183588663,-0.0229058253013078,0,0,-1.39258965812873,0.207910666830599,300
4,N321,0,0.165687012939997,-0.396789252834585,0,-0.474417190605378,0.0100261640291396,0,0,-1.30933197406073,-0.206615117071425,300
