iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
43,933.528,1,0.43249,15.8129,0.0147898,0.258784,0.00937839,-8.37692,-4.91173,-1.78077,-4.02253,2.7056,0.0415098,1.74033,0.0914787,1.01381,0.0186478,1.58406,0.404958,0.850802
44,962.573,1,0.41325,15.8765,0.0198661,0.238468,0.00939643,-8.34713,-4.91078,-2.18782,-4.04314,2.74911,0.0427398,1.69695,0.0891624,1.06087,0.021426,1.54395,0.403576,0.829259
45,962.326,1,0.402519,15.8835,0.0228849,0.216341,0.00944558,-8.44007,-4.91005,-2.2288,-4.0611,2.75325,0.0421718,1.71821,0.0869047,1.03401,0.0215763,1.50486,0.415747,0.808262
46,968.892,1,0.4637,15.9863,0.00902434,0.208003,0.0095012,-8.34355,-4.91111,-2.0258,-4.11356,2.75625,0.042864,1.6747,0.0850457,1.04698,0.0244095,1.51435,0.423685,0.787796
47,940.746,1,0.46294,16.0741,0.00499751,0.20356,0.00956867,-8.59403,-4.91017,-2.21171,-4.13788,2.82161,0.0453027,1.63478,0.0828923,1.02047,0.0243205,1.68256,0.426502,0.818715
48,968.104,1,0.511208,16.0296,2.22045e-16,0.211313,0.00959818,-8.64775,-4.91143,-2.025,-4.1348,2.77117,0.046932,1.64392,0.0807934,0.994631,0.0237047,1.64831,0.415703,0.813041
49,972.861,1,0.476195,15.9252,0.00657907,0.214847,0.00969844,-8.78258,-4.90603,-2.08395,-4.09582,2.78228,0.0492703,1.65041,0.0787477,0.969447,0.0231045,1.60658,0.439979,0.85419
50,962.546,1,0.501178,15.9999,0.00325493,0.215685,0.00979738,-8.97491,-4.90457,-1.87035,-4.07195,2.75317,0.0480228,1.63425,0.076949,0.9449,0.0225194,1.69584,0.428838,0.832562
51,952.074,1,0.506842,16.0392,2.22045e-16,0.207033,0.00981406,-8.89645,-4.90619,-2.04945,-4.07269,2.77754,0.0483811,1.59287,0.0750006,1.00845,0.0219492,1.7169,0.41798,0.831623
52,935.061,1,0.485963,16.1268,0.00385442,0.206302,0.00984857,-8.86586,-4.90466,-1.92702,-4.05464,2.80187,0.0489213,1.55253,0.0731016,0.982915,0.0221385,1.67343,0.432906,0.821471
53,964.299,1,0.469869,16.1924,0.00874875,0.21587,0.00991387,-9.12753,-4.90767,-1.80083,-4.10482,2.81304,0.0476826,1.55653,0.0712506,1.13665,0.0221809,1.63106,0.421945,0.821092
54,973.324,1,0.505774,16.1652,0.00289825,0.173457,0.00992299,-9.16046,-4.90624,-2.07935,-4.08638,2.79944,0.0470475,1.51712,0.0694465,1.14903,0.0253158,1.58976,0.424617,0.898575
55,967.58,1,0.497627,16.1001,0.00368272,0.17871,0.009941,-8.94186,-4.90304,-2.25745,-4.14097,2.83795,0.0460287,1.4787,0.067688,1.12401,0.0262301,1.5495,0.469492,0.875822
56,934.792,1,0.482259,16.1531,0.00647708,0.174903,0.00999956,-9.08004,-4.90334,-2.39559,-4.16988,2.89549,0.0448632,1.44126,0.0659741,1.13838,0.0255659,1.51027,0.457604,0.853646
57,869.621,1,0.458146,16.0416,0.00615323,0.1662,0.00998191,-9.24785,-4.90182,-2.76492,-4.14596,2.91538,0.0437272,1.40477,0.0643036,1.11724,0.0249186,1.57504,0.446017,0.832031
58,881.528,1,0.458254,16.0544,0.00659899,0.157774,0.00993324,-9.24615,-4.90435,-2.38477,-4.163,2.9254,0.04262,1.3692,0.0626754,1.34928,0.0257975,1.55521,0.434724,0.810964
59,890.104,1,0.497256,16.0391,2.22045e-16,0.167895,0.00992745,-9.29621,-4.90534,-2.50704,-4.18431,2.91246,0.0415409,1.34349,0.0610885,1.40607,0.0251443,1.51583,0.423716,0.79043
60,891.039,1,0.485007,16.0611,0.00135164,0.174571,0.00995487,-9.13601,-4.90349,-2.59806,-4.17966,2.90499,0.040489,1.49293,0.0595417,1.41196,0.0277911,1.47745,0.412988,0.795743
61,917.54,1,0.475341,16.1058,0.0060132,0.172609,0.00997526,-9.24391,-4.90422,-2.45671,-4.22305,2.91482,0.0394638,1.45513,0.058034,1.37621,0.0277848,1.44004,0.407199,0.775595
62,886.019,1,0.492438,16.0604,0.00221555,0.15364,0.00996935,-9.31392,-4.90622,-2.20323,-4.25971,2.96506,0.0406102,1.41829,0.0565646,1.34908,0.0270812,1.40358,0.396889,0.764386
63,915.767,1,0.509737,16.0562,2.22045e-16,0.154175,0.00995699,-9.44383,-4.90623,-2.16494,-4.27217,2.953,0.0395819,1.38237,0.0551323,1.37347,0.0265732,1.36804,0.41097,0.834351
64,875.677,1,0.472472,16.0886,0.00445045,0.171148,0.0099201,-9.39892,-4.90747,-2.25268,-4.23221,2.9602,0.0390414,1.40432,0.0537364,1.5983,0.0267317,1.3334,0.40594,0.813225
65,925.912,1,0.471642,16.0013,0.00659842,0.183207,0.0099354,-9.64346,-4.90944,-2.39193,-4.17836,2.86653,0.0391683,1.50486,0.0523757,1.70416,0.0260548,1.40982,0.407959,0.792634
66,888.639,1,0.471241,15.9699,0.00449919,0.170151,0.00987394,-9.59164,-4.90986,-2.45651,-4.21466,2.91401,0.0381765,1.54659,0.0562162,1.71154,0.0253951,1.37412,0.397629,0.772564
67,869.271,1,0.449762,15.9641,0.00826688,0.158131,0.00988964,-9.59633,-4.909,-2.42756,-4.17788,2.84595,0.0402897,1.50743,0.0586064,1.92458,0.0247521,1.33933,0.387561,0.753002
68,893.186,1,0.389796,15.9847,0.0209243,0.163501,0.00993904,-9.44078,-4.90668,-2.22077,-4.1953,2.85348,0.0392695,1.46926,0.0571224,2.12373,0.0241254,1.3786,0.383909,0.739579
69,880.816,1,0.421064,16.0532,0.0149823,0.15785,0.00999798,-9.47238,-4.90689,-2.26449,-4.23247,2.92966,0.0419462,1.43205,0.055676,2.20923,0.0235145,1.3437,0.413013,0.720852
