initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-9.27791,0.536735,0.000772067,0.536735,-4.56532,0.534694,2.52482,0.534694,0.107698,0.534694,All
-9.26102,0.538776,0.00078278,0.538776,-4.56465,0.536735,2.52992,0.536735,0.108504,0.536735,All
-9.25871,0.540816,0.000805314,0.540816,-4.55497,0.538776,2.54326,0.538776,0.108958,0.538776,All
-9.24175,0.542857,0.00081137,0.542857,-4.55468,0.540816,2.55552,0.540816,0.109944,0.540816,All
-9.20943,0.544898,0.000817734,0.544898,-4.55363,0.542857,2.56424,0.542857,0.110327,0.542857,All
-9.1984,0.546939,0.000818116,0.546939,-4.55273,0.544898,2.57502,0.544898,0.11082,0.544898,All
-9.19341,0.54898,0.000831128,0.54898,-4.55005,0.546939,2.58907,0.546939,0.111042,0.546939,All
-9.18598,0.55102,0.000835245,0.55102,-4.54865,0.54898,2.62361,0.54898,0.111423,0.54898,All
-9.18577,0.553061,0.000838539,0.553061,-4.54819,0.55102,2.65151,0.55102,0.111461,0.55102,All
-9.16523,0.555102,0.000841836,0.555102,-4.54712,0.553061,2.65392,0.553061,0.111687,0.553061,All
-9.1614,0.557143,0.000848181,0.557143,-4.54676,0.555102,2.66469,0.555102,0.1118,0.555102,All
-9.1449,0.559184,0.000848626,0.559184,-4.54401,0.557143,2.67943,0.557143,0.112635,0.557143,All
-9.1446,0.561224,0.000849761,0.561224,-4.53998,0.559184,2.68991,0.559184,0.112692,0.559184,All
-9.14406,0.563265,0.000870857,0.563265,-4.53693,0.561224,2.69309,0.561224,0.113055,0.561224,All
-9.14307,0.565306,0.000887314,0.565306,-4.53568,0.563265,2.70758,0.563265,0.113149,0.563265,All
-9.14282,0.567347,0.000893388,0.567347,-4.53346,0.565306,2.70826,0.565306,0.113414,0.565306,All
-9.13791,0.569388,0.000894955,0.569388,-4.53342,0.567347,2.71239,0.567347,0.113553,0.567347,All
