rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
3,6,-4.87195582567603,0.718961264039781,-3.71284925353045,0,-11.0697000457983,10.428937250533,3.13549421592915,-0.22314355131421,-2.41249662973536,-13.8155105579643,-6.28906811751776,0.0717919112038976,2.58278900588349,0,0.735743708682328,1.4475441665009,0,0,-0.480526085976594,0
1,7,2.25912348833768,0.380209243310061,-7.44574566893699,0,-11.9857525723951,8.35131030697317,3.13549421592915,-0.22314355131421,-1.93159246982681,-13.8155105579643,0.84201119649596,-0.266960109525823,-1.15010740952305,0,-0.180308817914499,-0.630082777058957,0,0,0.000378073931954992,0
2,7,1.61798389987722,0.811444431076118,-7.08460609908332,0,-12.062695332804,8.28891098230484,3.13549421592915,-0.22314355131421,-2.0680223210122,-13.8155105579643,0.200871608035496,0.164275078240235,-0.788967839669384,0,-0.257251578323428,-0.692482101727288,0,0,-0.136051777253435,0
3,7,0.767537446298287,-0.487484208909772,-6.63094056735189,0,-12.1300025916039,10.0259551256274,3.13549421592915,-0.22314355131421,-2.03821550733792,-13.8155105579643,-0.649574845543434,-1.13465356174566,-0.335302307937955,0,-0.324558837123311,1.04456204159526,0,0,-0.10624496357915,0
1,8,-2.68287302264974,0.160844215018426,-5.85449819970664,0,-13.0206027373447,10.8128647329245,3.13549421592915,-0.22314355131421,-1.91750521476746,-13.8155105579643,-4.09998531449146,-0.486325137817457,0.441140059707294,0,-1.21515898286409,1.83147164889234,0,0,0.0144653289913137,0
2,8,-0.36339903290816,1.29547629102553,-6.82746147585753,0,-13.1159203028261,8.9696288457758,3.13549421592915,-0.22314355131421,-1.9488271392746,-13.8155105579643,-1.78051132474988,0.648306938189646,-0.531823216443595,0,-1.31047654834552,-0.0117642382563226,0,0,-0.0168565955158355,0
3,8,-2.19213797429286,1.20879841759161,-6.88446359953458,0,-13.1962939020005,8.98011360032201,3.13549421592915,-0.22314355131421,-1.88872418185944,-13.8155105579643,-3.60925026613458,0.561629064755724,-0.588825340120648,0,-1.39085014751991,-0.00127948371011399,0,0,0.0432463618993291,0
1,9,5.83667992894775,-0.0420841556374058,-9.30504502169995,0,-13.1064990974251,8.03390044405075,3.13549421592915,-0.22314355131421,-2.01576162178771,-13.8155105579643,4.41956763710602,-0.689253508473289,-3.00940676228602,0,-1.30105534294449,-0.947492639981371,0,0,-0.0837910780289413,0
2,9,5.98941989285301,0.411944037347035,-6.73333085104063,0,-12.3874406995784,9.31110475433966,3.13549421592915,-0.22314355131421,-1.80611983758479,-13.8155105579643,4.57230760101129,-0.235225315488848,-0.437692591626701,0,-0.581996945097794,0.329711670307532,0,0,0.125850706173982,0
3,9,5.58535140381248,1.21026873325803,-6.45986141427503,0,-12.0229680696564,8.5042722056844,3.13549421592915,-0.22314355131421,-1.86604105309818,-13.8155105579643,4.16823911197076,0.563099380422148,-0.164223154861101,0,-0.217524315175854,-0.477120878347725,0,0,0.0659294906605938,0
1,10,0.163106017613687,1.55417565722485,-6.05356644465131,0,-13.0924506563673,9.34792147080045,3.13549421592915,-0.22314355131421,-2.08782803017347,-13.8155105579643,-1.25400627422803,0.907006304388963,0.242071814762627,0,-1.28700690188673,0.366528386768328,0,0,-0.155857486414704,0
